file,module,name,line,type,attrs,dims,is_parameter,has_init,doc
src/contaminant/CMmod.f90,CMmod,JBK,78,INTEGER,,,False,False,"Current bank side, 1 or 2, shared by the column preparation and solve paths."
src/contaminant/CMmod.f90,CMmod,JFLINK,79,INTEGER,,,False,False,Face of the adjacent link for the current bank column.
src/contaminant/CMmod.f90,CMmod,JSOL,80,INTEGER,,(LLEE),False,False,Soil-type number for each current local column cell.
src/contaminant/CMmod.f90,CMmod,NWORK,81,INTEGER,,(4),False,False,Adjacent element number for each face of the current column.
src/contaminant/CMmod.f90,CMmod,NLINKA,82,INTEGER,,,False,False,"Link adjacent to the current bank column, or zero for an ordinary land column."
src/contaminant/CMmod.f90,CMmod,NCWELL,83,INTEGER,,,False,False,"Well/spring element associated with the current column, or zero."
src/contaminant/CMmod.f90,CMmod,VELDUM,84,DOUBLEPRECISION,,(LLEE),False,False,Bank-width correction applied to current local vertical-flow terms.
src/contaminant/CMmod.f90,CMmod,QQQWEL,85,DOUBLEPRECISION,,,False,False,Current well/spring water rate used by [[colmsm]].
src/contaminant/CMmod.f90,CMmod,QQQWL1,86,DOUBLEPRECISION,,,False,False,New well/spring water rate prepared by [[colmw]].
src/contaminant/CMmod.f90,CMmod,QQRV,87,DOUBLEPRECISION,,(LLEE),False,False,Bank-to-link lateral water rates by local cell.
src/contaminant/CMmod.f90,CMmod,ROH,88,DOUBLEPRECISION,,(LLEE),False,False,Fraction of a bank/link composite cell assigned to the bank column.
src/contaminant/CMmod.f90,CMmod,ISBDY,89,LOGICAL,,(4),False,False,True where the corresponding current-column face is a catchment boundary.
src/contaminant/CMmod.f90,CMmod,count,90,INTEGER,,,False,True,Unused legacy module counter; [[snl3]] owns its active saved warning counter.
src/contaminant/CMmod.f90,CMmod,LWORK,91,INTEGER,,(6),False,False,Up to three adjacent-link entries at each end of the current link.
src/contaminant/CMmod.f90,CMmod,NBK,92,INTEGER,,(2),False,False,Bank-column element numbers on the two sides of the current link.
src/contaminant/CMmod.f90,CMmod,nwell,93,INTEGER,,,False,False,Intended current link irrigation-well number; shadowed in [[linkw]].
src/contaminant/CMmod.f90,CMmod,islk,94,LOGICAL,,(2),False,False,True where the corresponding end of the current link connects to another link.
src/contaminant/CMmod.f90,CMmod,qqqdum,95,DOUBLEPRECISION,,,False,False,Intended current link well inflow rate; shadowed in [[linkw]].
src/contaminant/CMmod.f90,CMmod,QQQSL1,96,DOUBLEPRECISION,,,False,False,"Current effective rainfall input rate to the link, using the contaminant sign convention."
src/contaminant/CONT_CC.F90,CONT_CC,CCAPB,35,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,False,Base concentration boundary by element and contaminant.
src/contaminant/CONT_CC.F90,CONT_CC,CCPBO,36,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,False,Legacy companion to `CCAPB`; not referenced by current source.
src/contaminant/CONT_CC.F90,CONT_CC,CCAPE,37,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,False,External-inflow concentration by element and contaminant.
