name,module,owner_file,kind,start,end,nested,n_refs_confirmed,refs_confirmed,n_refs_possible,refs_possible
CMRD,CMmod,src/contaminant/CMmod.f90,subroutine,146,610,False,1,src/frame/FRmod.f90,0,
CMSIM,CMmod,src/contaminant/CMmod.f90,subroutine,650,744,False,1,src/driver/run_sim.f90,0,
COLM,CMmod,src/contaminant/CMmod.f90,subroutine,787,1041,False,0,,0,
COLMSM,CMmod,src/contaminant/CMmod.f90,subroutine,1086,1421,False,0,,0,
COLMW,CMmod,src/contaminant/CMmod.f90,subroutine,1468,1810,False,0,,0,
DISP,CMmod,src/contaminant/CMmod.f90,function,1821,1838,False,0,,0,
LINKSM,CMmod,src/contaminant/CMmod.f90,subroutine,1881,2145,False,0,,0,
LINKW,CMmod,src/contaminant/CMmod.f90,subroutine,2189,2458,False,0,,0,
LINK,CMmod,src/contaminant/CMmod.f90,subroutine,2489,2663,False,0,,0,
PHI,CMmod,src/contaminant/CMmod.f90,function,2674,2693,False,0,,0,
PLCOLM,CMmod,src/contaminant/CMmod.f90,subroutine,2728,2848,False,0,,0,
SLVCLM,CMmod,src/contaminant/CMmod.f90,subroutine,2871,2917,False,0,,0,
RET,CMmod,src/contaminant/CMmod.f90,subroutine,2942,2992,False,0,,0,
SNL3,CMmod,src/contaminant/CMmod.f90,subroutine,3026,3136,False,0,,0,
FRET,CMmod,src/contaminant/CMmod.f90,subroutine,3162,3226,False,0,,0,
PLANT,CMmod,src/contaminant/CMmod.f90,subroutine,3248,3302,False,0,,0,
PLPREP,CMmod,src/contaminant/CMmod.f90,subroutine,3314,3340,False,0,,0,
initialise_cont_cc,CONT_CC,src/contaminant/CONT_CC.F90,subroutine,108,141,False,1,src/driver/run_sim.f90,0,
initialise_colm_cg,COLM_CG,src/contaminant/column/colm_cg.f90,subroutine,109,136,False,1,src/driver/run_sim.f90,0,
deallocate_colm_cg,COLM_CG,src/contaminant/column/colm_cg.f90,subroutine,159,174,False,1,src/driver/run_sim.f90,0,
initialise_colm_co,COLM_CO,src/contaminant/column/colm_co.f90,subroutine,128,167,False,1,src/driver/run_sim.f90,0,
initialise_al_c,AL_C,src/core/state/AL_C.F90,subroutine,209,242,False,1,src/subsurface/VSmod.f90,0,
initialise_al_c2,AL_C,src/core/state/AL_C.F90,subroutine,267,290,False,1,src/subsurface/VSmod.f90,0,
initialise_al_c3,AL_C,src/core/state/AL_C.F90,subroutine,311,321,False,1,src/frame/FRmod.f90,0,
get_dir_and_catch,GETDIRQQ,src/driver/getdirqq.f90,subroutine,137,408,False,1,src/Shetran.f90,0,
derive_catch_from_filename,GETDIRQQ,src/driver/getdirqq.f90,function,337,355,True,0,,0,
print_usage_and_stop,GETDIRQQ,src/driver/getdirqq.f90,subroutine,370,377,True,0,,0,
set_error_mode_from_arguments,GETDIRQQ,src/driver/getdirqq.f90,subroutine,395,406,True,0,,0,
get_current_dir,GETDIRQQ,src/driver/getdirqq.f90,subroutine,422,435,False,0,,0,
handle_command_line_error,GETDIRQQ,src/driver/getdirqq.f90,subroutine,449,458,False,0,,0,
comdlger,GETDIRQQ,src/driver/getdirqq.f90,subroutine,489,537,False,0,,0,
extra_output,rest,src/driver/rest.f90,subroutine,114,171,False,1,src/Shetran.f90,0,
BALWAT,rest,src/driver/rest.f90,subroutine,239,321,False,1,src/driver/run_sim.f90,0,
READ_DATED_RECORD,rest,src/driver/rest.f90,subroutine,363,440,False,0,,0,
RESIZE_MET_RECORD,rest,src/driver/rest.f90,subroutine,453,472,False,0,,0,
METIN,rest,src/driver/rest.f90,subroutine,566,1020,False,0,,0,
TMSTEP,rest,src/driver/rest.f90,subroutine,1079,1388,False,1,src/driver/run_sim.f90,0,
SIMULATION,run_sim,src/driver/run_sim.f90,subroutine,191,413,False,1,src/Shetran.f90,0,
INITIALISE_ETMOD,ETmod,src/evapotranspiration/ETmod.f90,subroutine,178,259,False,1,src/frame/FRmod.f90,0,
ET,ETmod,src/evapotranspiration/ETmod.f90,subroutine,381,655,False,0,,0,
ETCHK2,ETmod,src/evapotranspiration/ETmod.f90,subroutine,691,707,False,0,,0,
ETIN,ETmod,src/evapotranspiration/ETmod.f90,subroutine,777,863,False,0,,0,
ETSIM,ETmod,src/evapotranspiration/ETmod.f90,subroutine,918,962,False,1,src/driver/run_sim.f90,0,
FRDIM,FRmod,src/frame/FRmod.f90,subroutine,258,533,False,0,,0,
FRIND,FRmod,src/frame/FRmod.f90,subroutine,621,1228,False,0,,0,
FRINIT,FRmod,src/frame/FRmod.f90,subroutine,1272,1409,False,1,src/driver/run_sim.f90,0,
FRLTL,FRmod,src/frame/FRmod.f90,subroutine,1445,1496,False,0,,0,
FRMB,FRmod,src/frame/FRmod.f90,subroutine,1636,1775,False,1,src/driver/run_sim.f90,0,
FROPEN,FRmod,src/frame/FRmod.f90,subroutine,1838,2136,False,1,src/Shetran.f90,0,
read_rundata_record,FRmod,src/frame/FRmod.f90,subroutine,2062,2086,True,0,,0,
unit_context,FRmod,src/frame/FRmod.f90,function,2095,2101,True,0,,0,
stop_eof_error,FRmod,src/frame/FRmod.f90,subroutine,2111,2115,True,0,,0,
stop_rundata_open_error,FRmod,src/frame/FRmod.f90,subroutine,2128,2134,True,0,,0,
FROUTPUT,FRmod,src/frame/FRmod.f90,subroutine,2210,3057,False,2,src/Shetran.f90;src/driver/run_sim.f90,0,
initialise_output,FRmod,src/frame/FRmod.f90,subroutine,2281,2339,True,0,,0,
initialise_extra_discharge_points,FRmod,src/frame/FRmod.f90,subroutine,2357,2381,True,0,,0,
allocate_extra_discharge,FRmod,src/frame/FRmod.f90,subroutine,2394,2431,True,0,,0,
initialise_extra_water_table_output,FRmod,src/frame/FRmod.f90,subroutine,2451,2502,True,0,,0,
find_mass_balance_outlet,FRmod,src/frame/FRmod.f90,subroutine,2515,2531,True,0,,0,
