name,module,owner_file,line,type,is_parameter,n_refs_confirmed,refs_confirmed,n_refs_possible,refs_possible
JBK,CMmod,src/contaminant/CMmod.f90,78,INTEGER,False,0,,0,
JFLINK,CMmod,src/contaminant/CMmod.f90,79,INTEGER,False,0,,0,
JSOL,CMmod,src/contaminant/CMmod.f90,80,INTEGER,False,0,,0,
NWORK,CMmod,src/contaminant/CMmod.f90,81,INTEGER,False,0,,0,
NLINKA,CMmod,src/contaminant/CMmod.f90,82,INTEGER,False,0,,0,
NCWELL,CMmod,src/contaminant/CMmod.f90,83,INTEGER,False,0,,0,
VELDUM,CMmod,src/contaminant/CMmod.f90,84,DOUBLEPRECISION,False,0,,0,
QQQWEL,CMmod,src/contaminant/CMmod.f90,85,DOUBLEPRECISION,False,0,,0,
QQQWL1,CMmod,src/contaminant/CMmod.f90,86,DOUBLEPRECISION,False,0,,0,
QQRV,CMmod,src/contaminant/CMmod.f90,87,DOUBLEPRECISION,False,0,,0,
ROH,CMmod,src/contaminant/CMmod.f90,88,DOUBLEPRECISION,False,0,,0,
ISBDY,CMmod,src/contaminant/CMmod.f90,89,LOGICAL,False,0,,0,
count,CMmod,src/contaminant/CMmod.f90,90,INTEGER,False,0,,0,
LWORK,CMmod,src/contaminant/CMmod.f90,91,INTEGER,False,0,,0,
NBK,CMmod,src/contaminant/CMmod.f90,92,INTEGER,False,0,,0,
nwell,CMmod,src/contaminant/CMmod.f90,93,INTEGER,False,0,,0,
islk,CMmod,src/contaminant/CMmod.f90,94,LOGICAL,False,0,,0,
qqqdum,CMmod,src/contaminant/CMmod.f90,95,DOUBLEPRECISION,False,0,,0,
QQQSL1,CMmod,src/contaminant/CMmod.f90,96,DOUBLEPRECISION,False,0,,0,
CCAPB,CONT_CC,src/contaminant/CONT_CC.F90,35,DOUBLEPRECISION,False,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90
CCPBO,CONT_CC,src/contaminant/CONT_CC.F90,36,DOUBLEPRECISION,False,0,,0,
CCAPE,CONT_CC,src/contaminant/CONT_CC.F90,37,DOUBLEPRECISION,False,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90
CCAPI,CONT_CC,src/contaminant/CONT_CC.F90,38,DOUBLEPRECISION,False,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90
CCAPIO,CONT_CC,src/contaminant/CONT_CC.F90,39,DOUBLEPRECISION,False,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90
