function_name,kind,source_file,source_module,starting_line,ending_line,doc_block_start_line,move_block_start_line,nested_in_parent,target_file,target_module,target_module_purpose,referenced_by_n_files,referenced_by,possibly_referenced_by_n_files,possibly_referenced_by,documentation
CMRD,subroutine,src/contaminant/CMmod.f90,CMmod,146,610,102,102,False,src/contaminant/cm_input.f90,cm_input,Reads the contaminant data file.,1,src/frame/FRmod.f90,0,,"!> @brief Reads the contaminant data file and initialises contaminant controls.
!>
!> The record sequence is the one documented in the user manual's
!> *Contaminant Migration Components* section:
!>
!> | Records | Current destination |
!> |:--------|:--------------------|
!> | `CM1`--`CM5` | Title, `NCON`, and the local base-boundary selector `ISFLXB`. |
!> | `CM7`--`CM11` | Default and exceptional bottom contaminant cells in `NCOLMB`; `-1` selects `NLYRBE`. |
!> | `CM13`--`CM23` | Local nonlinear flag, bed depths, and property-table counts. |
!> | `CM25`--`CM26e` | Uniform or category/depth-dependent initial concentrations. |
!> | `CM27`--`CM39` | Rain, external-flow, base, and dry-deposition boundary data. |
!> | `CM41`--`CM55` | Soil fractions, reaction/exchange constants, distribution coefficients, and adsorption-site fractions. |
!> | `CM57`--`CM61` | Local mobile-water, diffusion, and dispersivity tables which are read but not retained. |
!>
!> With the local `ISFLXB` true, `CM33` and `CM37` populate `CCAPR`, the
!> concentration convected by base flux. Otherwise they populate the prescribed
!> base-cell concentration `CCAPB`. Spatial initial conditions retain the link
!> default in `CCAPIN`; the assignment of link entries in `NCATTY` remains
!> commented out in current code.
!>
!> `CMD` is opened/closed through `ALRED2`; the title is echoed on `CPR`.
!> Invalid dimensions, element/soil/contaminant indices, or workspace demands
!> call `ERROR` with fatal codes 2101, 2102, or 3001--3008. `IDUM` and `DUMMY`
!> are caller-owned work arrays and their contents are not preserved.
!>
!> @warning The local `ISFLXB` and `ISADNL` declarations shadow the flags in
!> [[is_cc]]. Only the former affects this read routine; neither value reaches
!> the later transport solvers. Likewise `PHIDAT`, `DIFDAT`, and `DISPDT` are
!> local arrays and are discarded. See [[phi]] and [[disp]].
!> @endwarning
!>
!> @note The manual requires `DBDI>DBS` and also records an unexplained legacy
!> restriction that `DBDI` must not equal twice `DBI`. This routine reads both
!> bed depths but validates neither condition.
!> @endnote
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1995-02-01 | RAH | 3.4.2 | Created the CM reader represented by this routine. |
!> | 1995-03-22 | RAH | 3.4.2 | Recorded the routine in the legacy modification header. |
!> | 1997-05-01 | SB | 4.2 | Added the spatially distributed initial-condition input path. |
!> @endhistory"
CMSIM,subroutine,src/contaminant/CMmod.f90,CMmod,650,744,612,612,False,src/contaminant/cm_driver.f90,cm_driver,Advances every active contaminant for one subsurface timestep.,1,src/driver/run_sim.f90,0,,"!> @brief Advances every active contaminant through the catchment for one timestep.
!>
!> If `ISSDON` is false, the routine first reconstructs the two link-end flows
!> from `QOC`: north--south links use `(-QOC(:,2),QOC(:,4))`, and east--west
!> links use `(-QOC(:,1),QOC(:,3))`. It then establishes the dimensionless
!> contaminant timestep
!>
!> \[
!> TSE = D0\,DTUZ/Z2SQ .
!> \]
!>
!> When `ISMN` is true, the first call performs [[mnmod:mninitialise]] but does
!> not advance the MN processes; later calls run [[mnmod:mncont]]. The optional
!> plant preparation follows, after which `ISORT` determines the serial sweep:
!> land elements call [[colmw]] then [[colmsm]], and links call [[linkw]] then
!> [[linksm]]. Finally the current link and column concentrations are copied to
!> `CCCCO`/`SSSSO` for the next time level. `RSZWLO` is refreshed from `QVSWEL`
!> inside every contaminant pass, so the same assignment is repeated `NCON`
!> times for each land element.
!>
!> @note The initialization-only first MN call is intentional legacy behaviour.
!> That contaminant solve uses the zero source/sink terms produced by
!> `MNINITIALISE`; the first MN process timestep occurs on the following
!> `CMSIM` call.
!> @endnote
!>
!> @warning Plant preparation is gated by the currently unassigned `ISPLT`
!> module flag described in [[is_cc]].
!> @endwarning
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1994-10-03 | RAH | 3.4.1 | Brought the former `AL.P` implicit declarations into the routine. |
!> | 1995-03-22 | RAH | 4.0 | Replaced `RSZWEL` with `QVSWEL` for VSS. |
!> | 1997-03-13 | RAH | 4.1 | Added explicit typing. |
!> | 2025-09-23 | SB | - | Added the mineral-nitrogen call and source/sink coupling. |
!> @endhistory"
COLM,subroutine,src/contaminant/CMmod.f90,CMmod,787,1041,746,746,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,0,,0,,"!> @brief Assembles and solves one contaminant balance for one soil column.
!>
!> Shared state prepared by [[colmw]] and [[colmsm]] defines cells
!> `NCEBOT:NCETOP`. For each cell, `COLM` assembles vertical advection and
!> dispersion, four-face lateral transport, dynamic/dead-space exchange,
!> dissolved and sorbed storage, decay/generation, plant and nitrate terms,
!> surface-water coupling, and the selected lower boundary condition.
!>
!> With mobile concentration (C_i), dead-space concentration (S_i), water
!> content \(\theta_i\), mobile fraction \(\phi_i\), dynamic sorption fraction
!> \(f_i\), distribution coefficient \(K_{d,i}\), and Freundlich power \(n\),
!> the old-state storage factors represented by the code are
!>
!> \[
!> F_C=\phi_i\theta_i+f_iK_{d,i}C_i^{n-1},\qquad
!> F_S=(1-\phi_i)\theta_i+(1-f_i)K_{d,i}S_i^{n-1}.
!> \]
!>
!> After mapping physical cells onto local indices, the two linearised rate
!> equations passed to [[slvclm]] are
!>
!> \[
!> FLT_i\Omega_{i-1}+ELT_i\Omega_i+DLT_i\Omega_{i+1}
!>       -GLT_i\epsilon_i=SLT_i,
!> \]
!> \[
!> PLT_i\epsilon_i-TLT_i\Omega_i=QLT_i.
!> \]
!>
!> The solved rates advance `CCAP` and `SCAP` by `TSE`; `WORKA` and `WORKB`
!> then correct the generation/storage terms for the solved nonlinear rates.
!> A flux lower boundary uses the convected `CCPRF`; the alternative replaces
!> the bottom mobile equation with the prescribed `CCAPB` concentration.
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1994-10-03 | RAH | 3.4.1 | Brought the former `AL.P` implicit declarations into the routine. |
!> | 1995-05-09 | RAH | 4.0 | Incorporated `KSP` in `OCAPP` and `OCAPP1`. |
!> | 1997-03-13 | RAH | 4.1 | Added explicit typing and generic intrinsics. |
!> @endhistory"
COLMSM,subroutine,src/contaminant/CMmod.f90,CMmod,1086,1421,1043,1043,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,0,,0,,"!> @brief Prepares and updates every contaminant in one land or bank column.
!>
!> For column `NCL`, the routine copies the preceding mobile/dead-space state
!> from `CCCCO`/`SSSSO`, prepares soil properties and the effective dispersion
!> \(DDOD=DISP/D0\), and constructs face concentrations. Internal faces use a
!> water-flow-weighted adjacent concentration; catchment boundaries use
!> `CCAPE`; exposed bank faces use the bank column below the bed and link water
!> above it. [[ret]] supplies loose-sediment and surface-water retardation.
!>
!> Rainfall, wells, lower-boundary flow, bank exchange, dry deposition,
!> sediment and parent-contaminant generation are combined with optional plant
!> uptake before [[colm]] is called. If `ISMN` is true, the nitrate process
!> arrays `SSS1` and `SSS2` replace the ordinary plant source terms. For
!> contaminant 1 the direct surface inputs are then suppressed because nitrate
!> inputs are already represented by the MN component.
!>
!> The result is stored with the legacy positive floor
!>
!> \[
!> CCCC=\max(10^{-16},CCAP),\qquad SSSS=\max(10^{-16},SCAP).
!> \]
!>
!> Bank columns additionally populate `FCPBKO` and `GCPBKO`, which [[link]]
!> consumes later in the ordered element sweep. Linear adsorption uses
!> \(\phi\theta+fK_d\) and \((1-\phi)\theta+(1-f)K_d\); the nonlinear branch
!> multiplies each sorption term by the corresponding old concentration raised
!> to `GNN-1`.
!>
!> @warning The module flags `ISFLXB`, `ISADNL`, and `ISPLT` used here are not
!> assigned by current [[cmrd]]. The locally initialised `CDUM` also has implicit
!> `SAVE`; only bank calls recalculate it before element-1 concentration storage.
!> @endwarning
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1993-09-30 | GP | 3.4 | Initialised the plant uptake arrays for the inactive-plant case. |
!> | 1994-10-03 | RAH | 3.4.1 | Brought the former `AL.P` implicit declarations into the routine. |
!> | 1996-07-17 | GP | 4.0 | Revised lateral averaging and incorporated well flow in surface inputs. |
!> | 1997-03-14 | RAH | 4.1 | Added explicit typing and split the former mixed-type work common block. |
!> | 1997-05-21 | RAH | 4.1 | Removed redundant shared workspace. |
!> | 2025-09-23 | SB | 4.5.3 | Changed the source terms when the nitrate component is in use. |
!> @endhistory"
COLMW,subroutine,src/contaminant/CMmod.f90,CMmod,1468,1810,1423,1423,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,0,,0,,"!> @brief Maps current hydrology and geometry into the one-column contaminant workspace.
!>
!> `COLMW` is called immediately before [[colmsm]] for element `NCL`. It sets
!> the active interval, soil types and nondimensional cell dimensions; moves
!> current hydrological values into their old-state arrays; and prepares
!> old/new water contents, mobile fractions, vertical velocities, lateral
!> flows, surface-water flows, rain, wells, ET, plant withdrawal, and bank/link
!> exchange. The resulting module-scope and `COLM_*` work arrays are valid only
!> for this column.
!>
!> Cell geometry uses the reference length `Z2`:
!>
!> \[
!> KSP_i=\Delta z_i/Z2,\qquad
!> KSPP_i=(z_{i+1}-z_i)/Z2,\qquad
!> ZONE=(ZGRUND-ZCOLMB)/Z2.
!> \]
!>
!> For an explicit bank, `ROH` is the bank share of the bank/link composite
!> width and `VELDUM=1/ROH`; overlapping water contents and vertical flows are
!> width-weighted between bank and link. Ordinary columns use both factors as
!> one. [[phi]] supplies `PPHI` and `PPHI1`. Surface flow signs are
!> `-QOC` on faces 1--2 and `+QOC` on faces 3--4.
!>
!> The top vertical velocity is reconstructed from the surface storage change,
!> evaporation, rainfall, and lateral surface flow. A downward recurrence then
!> balances storage change, wells, root extraction, and lateral subsurface flow.
!> `EMULT` applies correction factors of 0, 0.1, 0.5, and 1 from the top five,
!> next three, next twelve, and remaining cells respectively. The prepared base
!> rate is `QQRF1=AREA(NCL)*UUAJP1(NCEBOT-1)`.
!>
!> @note `NCL` intentionally retains the current declaration without `INTENT`;
!> this documentation-only transfer does not import old-branch attributes.
!> @endnote
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1994-10-03 | RAH | 3.4.1 | Brought former include declarations into the routine and removed `INTEGER*2`. |
!> | 1996-07-17 | GP | 4.0 | Reworked bank, well, layer-flow, irrigation, and correction-damping setup. |
!> | 1997-02-18 | RAH | 4.1 | Swapped the principal VSS array subscripts. |
!> | 1997-03-14--1997-05-21 | RAH | 4.1 | Added explicit typing, simplified the shared workspace, and condensed well handling. |
!> | 1998-11-03 | RAH | 4.2 | Removed obsolete `ERUZO` output. |
!> | 2026-04-03 | SvB | - | Modernised the routine's loops and array operations with Gemini assistance. |
!> @endhistory"
DISP,function,src/contaminant/CMmod.f90,CMmod,1821,1838,1812,1812,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,0,,0,,"!> @brief Returns the effective longitudinal soil-water dispersion coefficient.
!>
!> This pure placeholder ignores contaminant `NCONT`, soil `JSOIL`, water
!> content `THETA`, and the bounding velocities `UM`/`UP`, and always returns
!> `3.0D-8` m2/s. [[colmsm]] divides the result by reference dispersion `D0`.
!>
!> @warning The manual's `CM59` diffusion and `CM61` dispersivity data are
!> currently discarded by [[cmrd]] and have no effect here.
!> @endwarning"
LINKSM,subroutine,src/contaminant/CMmod.f90,CMmod,1881,2145,1840,1840,False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,0,,0,,"!> @brief Prepares and updates every contaminant in one channel link.
!>
!> For `NLINK`, this routine loads the preceding concentrations of the deep
!> bed, bed surface, and stream water; gathers adjacent-link or boundary
!> concentrations; normalises deposited and suspended sediment fractions; and
!> calls [[fret]] for each storage compartment. A link with `USCP<=0.5` starts
!> from `CCAPIN` and omits stream/bed-surface infiltration; a wet link uses its
!> old stream concentration.
!>
!> The main scaled source terms are
!>
!> \[
!> ICP1=-IIICF\,AREA/(D0\,CLENTH),
!> \]
!> \[
!> QCP1=\frac{(QQQSL1-QQQDUM)CCAPI+QQQDUM\,C_{well}}
!>             {D0\,Z2\,KS},
!> \]
!>
!> and channel-bed exchange uses
!> \(ACSBD1=CWIDTH\,ALPHBD/D0\) and
!> \(ACSBS1=CWIDTH\,ALPHBS/D0\). [[link]] returns the three updated
!> concentrations, which are stored in cells `NCETOP-2:NCETOP`. Their
!> linearised retardation and concentration values are retained for the next
!> contaminant in the decay chain.
!>
!> @warning The `NWELL` and `QQQDUM` referenced here are unassigned
!> module-scope values because [[linkw]] shadows them with locals. The current
!> irrigation source calculation is therefore undefined under standard
!> Fortran.
!> @endwarning
!>
!> @warning `FCPSW1(JBK)` indexes `CCPBK(JBK,NCONT)` as though the contaminant
!> number were a bank-cell number. This can select the wrong cell and can exceed
!> the cell extent when `NCONT` is large; behaviour is retained unchanged.
!> @endwarning
!>
!> @note Both deep-bed and bed-surface infiltration magnitudes currently use
!> `SUMD`, the total `GINFD` rate. `SUMS` is used only to normalise `FBTAS`
!> from `GINFS`; this potentially surprising current distinction is retained.
!> @endnote"
LINKW,subroutine,src/contaminant/CMmod.f90,CMmod,2189,2458,2147,2147,False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,0,,0,,"!> @brief Maps hydrology, topology, banks, and sediment geometry into the link workspace.
!>
!> `LINKW` is called immediately before [[linksm]] for `NLINK`. It maps the
!> link's two ends onto up to six adjacent links, identifies the two bank
!> columns, non-dimensionalises stream and bed storage, and prepares link-end,
!> bank-subsurface, bank-surface, rainfall, and bed-exchange flows. `KS` is the
!> half-link scale `CLENTH/Z2` used by the subsequent equations.
!>
!> A link is treated as wet only when `ACPSF1=ARXL/Z2SQ` is nonzero. The wet
!> path calculates `ACPBDT`, `ACPSFT`, and `WCPBD1`; the dry path zeros those
!> derivatives, its end-flow Peclet terms, and both `QBKB` bank flows. End and
!> bank terms use the current sign/scaling conventions
!>
!> \[
!> PCSFM1=QLINK_1/(D0\,Z2\,ACPSF1),\qquad
!> PCSFP1=QLINK_2/(D0\,Z2\,ACPSF1),
!> \]
!> \[
!> PCPBK1_{b,k}=-QVSH_{b,k}/(D0\,Z2\,KS),\qquad
!> PCPSB1_b=-QBKB_b/(D0\,Z2\,KS).
!> \]
!>
!> It also recalculates `THBED` as a thickness-weighted mean of the adjacent
!> bank water contents, including fractional end cells, capped at `PBSED`.
!> `QQQSL1=-PNETTO*AREA` is the effective rainfall input using the contaminant
!> convention that upward water flow is positive.
!>
!> @warning Local `NWELL` and `QQQDUM` declarations shadow the module values
!> consumed by [[linksm]], so the intended irrigation hand-off does not occur.
!> @endwarning
!>
!> @warning During the final bed-moisture loop, both banks start from the single
!> `NDUM` left by the preceding loop (the bank-2 value). When bank base cells
!> differ, bank 1 is consequently integrated from bank 2's base. The final
!> `SUM/SUMK` also has no zero guard.
!> @endwarning
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1997-02-18 | RAH | 4.1 | Swapped the `QVSH`, `DELTAZ`, and `VSTHE` subscripts. |
!> @endhistory"
LINK,subroutine,src/contaminant/CMmod.f90,CMmod,2489,2663,2460,2460,False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,0,,0,,"!> @brief Solves the fully implicit three-compartment contaminant balance for one link.
!>
!> Shared coefficients prepared by [[linkw]] and [[linksm]] couple stream
!> water, bed surface, deeper bed, both banks, adjacent links, sediment,
!> rainfall/well input, decay/generation, and external sinks. The unknowns are
!> rates `WMESF`, `WMEBS`, and `WMEBD`, used after the solve as
!>
!> \[
!> C_{sf}^{n+1}=C_{sf}^n+TSE\,W_{sf},\quad
!> C_{bs}^{n+1}=C_{bs}^n+TSE\,W_{bs},\quad
!> C_{bd}^{n+1}=C_{bd}^n+TSE\,W_{bd}.
!> \]
!>
!> The coefficient groups `ALT`, `BLT`, `DLT`, `ELT`, `FLT`, `HLT`, and
!> `GYLT` and their nonlinear starred forms are mapped onto [[snl3]]'s system
!>
!> \[
!> (A+A_sX_1)X_1-(B+B_sX_2)X_2-CX_3=P,
!> \]
!> \[
!> -(D+D_sX_1)X_1+(E+E_sX_2)X_2-(F+F_sX_3)X_3=Q,
!> \]
!> \[
!> -(H+H_sX_2)X_2+(Y+Y_sX_3)X_3=S.
!> \]
!>
!> For a wet link (`USCP>=0.5`) all three equations are solved. For a dry link,
!> the first row is replaced by `WMESF=0`; the bed-surface and deep-bed
!> equations remain coupled and continue to advance."
PHI,function,src/contaminant/CMmod.f90,CMmod,2674,2693,2665,2665,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,0,,0,,"!> @brief Returns the fraction of soil water treated as mobile.
!>
!> This pure placeholder ignores soil type `JSOIL` and water content `THETA`
!> and always returns `0.5D0`. [[colmw]] uses the result for both old and new
!> water states.
!>
!> @warning The `CM57` mobile-water fractions are read into a local array by
!> [[cmrd]] and discarded, so they do not affect this function.
!> @endwarning"
