variable_name,source_file,source_module,line,declared_type,attributes,dimensions,is_parameter,target_file,target_module,target_module_purpose,proposed_rename,referenced_by_n_files,referenced_by,possibly_referenced_by_n_files,possibly_referenced_by,documentation
JBK,src/contaminant/CMmod.f90,CMmod,78,INTEGER,,,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,"Current bank side, 1 or 2, shared by the column preparation and solve paths."
JFLINK,src/contaminant/CMmod.f90,CMmod,79,INTEGER,,,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,Face of the adjacent link for the current bank column.
JSOL,src/contaminant/CMmod.f90,CMmod,80,INTEGER,,(LLEE),False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,Soil-type number for each current local column cell.
NWORK,src/contaminant/CMmod.f90,CMmod,81,INTEGER,,(4),False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,Adjacent element number for each face of the current column.
NLINKA,src/contaminant/CMmod.f90,CMmod,82,INTEGER,,,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,"Link adjacent to the current bank column, or zero for an ordinary land column."
NCWELL,src/contaminant/CMmod.f90,CMmod,83,INTEGER,,,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,"Well/spring element associated with the current column, or zero."
VELDUM,src/contaminant/CMmod.f90,CMmod,84,DOUBLEPRECISION,,(LLEE),False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,Bank-width correction applied to current local vertical-flow terms.
QQQWEL,src/contaminant/CMmod.f90,CMmod,85,DOUBLEPRECISION,,,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,Current well/spring water rate used by [[colmsm]].
QQQWL1,src/contaminant/CMmod.f90,CMmod,86,DOUBLEPRECISION,,,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,New well/spring water rate prepared by [[colmw]].
QQRV,src/contaminant/CMmod.f90,CMmod,87,DOUBLEPRECISION,,(LLEE),False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,Bank-to-link lateral water rates by local cell.
