Simulated discharge(m3/s) at the outlet - regular timestep   24.00 hours. Simulated discharge is the mean value over the timestep with the date at the end of the timestep
Date_yyyy/mm/dd_hours(iso8601format),Time(hours),Outlet-Discharge
2002-01-02T00:00:00,24.000,.73184
2002-01-03T00:00:00,48.000,1.03254
2002-01-04T00:00:00,72.000,.95122
2002-01-05T00:00:00,96.000,.88086
2002-01-06T00:00:00,120.000,.81978
2002-01-07T00:00:00,144.000,.76816
2002-01-08T00:00:00,168.000,.72419
2002-01-09T00:00:00,192.000,.68587
2002-01-10T00:00:00,216.000,.65287
2002-01-11T00:00:00,240.000,.64696
2002-01-12T00:00:00,264.000,.64156
2002-01-13T00:00:00,288.000,.60082
2002-01-14T00:00:00,312.000,.57529
2002-01-15T00:00:00,336.000,.57714
2002-01-16T00:00:00,360.000,.58693
2002-01-17T00:00:00,384.000,.54807
2002-01-18T00:00:00,408.000,.55368
2002-01-19T00:00:00,432.000,.58716
2002-01-20T00:00:00,456.000,.55314
2002-01-21T00:00:00,480.000,.54650
2002-01-22T00:00:00,504.000,.56657
2002-01-23T00:00:00,528.000,.54947
2002-01-24T00:00:00,552.000,.65334
2002-01-25T00:00:00,576.000,.65503
2002-01-26T00:00:00,600.000,.79614
2002-01-27T00:00:00,624.000,1.77514
2002-01-28T00:00:00,648.000,1.58798
2002-01-29T00:00:00,672.000,.89019
2002-01-30T00:00:00,696.000,.65878
2002-01-31T00:00:00,720.000,.61438
2002-02-01T00:00:00,744.000,.63346
2002-02-02T00:00:00,768.000,.85787
2002-02-03T00:00:00,792.000,.81126
2002-02-04T00:00:00,816.000,1.58112
2002-02-05T00:00:00,840.000,2.23443
2002-02-06T00:00:00,864.000,1.29053
2002-02-07T00:00:00,888.000,.74699
2002-02-08T00:00:00,912.000,.65399
2002-02-09T00:00:00,936.000,.62409
2002-02-10T00:00:00,960.000,.59161
2002-02-11T00:00:00,984.000,.56558
2002-02-12T00:00:00,1008.000,.57432
2002-02-13T00:00:00,1032.000,.59074
2002-02-14T00:00:00,1056.000,.53917
2002-02-15T00:00:00,1080.000,.51535
2002-02-16T00:00:00,1104.000,.49570
2002-02-17T00:00:00,1128.000,.47775
2002-02-18T00:00:00,1152.000,.46404
2002-02-19T00:00:00,1176.000,.44901
2002-02-20T00:00:00,1200.000,.48936
2002-02-21T00:00:00,1224.000,.56795
2002-02-22T00:00:00,1248.000,.50183
2002-02-23T00:00:00,1272.000,.47009
2002-02-24T00:00:00,1296.000,.45072
