          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,        6620.510,           0.000,           0.008
          24.378,           0.053,           0.004,           0.060,           0.187,           0.000,           2.634,           0.041,           0.000,        6616.326,           0.067,           1.288
          48.315,           0.053,           0.011,           0.119,           0.340,           0.000,           6.252,           0.034,           0.000,        6612.589,           0.081,           1.216
          72.315,           0.056,           0.017,           0.180,           0.496,           0.000,           9.594,           0.031,           0.000,        6609.132,           0.080,           1.149
          96.315,           0.307,           0.044,           0.238,           0.640,           0.000,          12.689,           0.211,           0.000,        6605.972,           0.079,           1.091
         120.315,           0.470,           0.102,           0.296,           0.781,           0.000,          15.570,           0.287,           0.000,        6603.011,           0.074,           1.039
         144.315,           0.901,           0.216,           0.357,           0.920,           0.000,          18.270,           0.527,           0.000,        6600.270,           0.072,           0.994
         168.315,           1.234,           0.365,           0.407,           1.021,           0.000,          20.815,           0.652,           0.000,        6597.708,           0.070,           0.955
         192.315,           1.235,           0.498,           0.452,           1.118,           0.000,          23.226,           0.520,           0.000,        6595.229,           0.064,           0.921
         216.315,           1.370,           0.609,           0.498,           1.228,           0.000,          25.521,           0.519,           0.000,        6592.867,           0.061,           0.891
         240.315,           5.405,           0.894,           0.533,           1.247,           0.000,          27.798,           1.542,           0.000,        6593.067,           0.237,           0.912
         264.315,           5.408,           1.154,           0.573,           1.263,           0.000,          30.052,           1.178,           0.000,        6591.061,           0.112,           0.867
         288.315,           5.589,           1.396,           0.619,           1.306,           0.000,          32.164,           1.085,           0.000,        6588.981,           0.081,           0.839
         312.315,           5.745,           1.637,           0.673,           1.378,           0.000,          34.187,           0.970,           0.000,        6586.929,           0.066,           0.817
         336.315,           9.582,           2.034,           0.718,           1.384,           0.000,          36.218,           1.568,           0.000,        6587.412,           0.297,           0.855
         360.315,           9.823,           2.401,           0.771,           1.395,           0.000,          38.281,           1.279,           0.000,        6585.675,           0.139,           0.813
         384.315,          10.076,           2.677,           0.818,           1.425,           0.000,          40.208,           1.214,           0.000,        6583.814,           0.092,           0.787
         408.315,          13.891,           3.035,           0.860,           1.425,           0.000,          42.157,           1.584,           0.000,        6584.555,           0.382,           0.839
         432.315,          15.768,           3.379,           0.906,           1.426,           0.000,          44.222,           1.440,           0.000,        6584.189,           0.335,           0.825
         456.315,          15.870,           3.709,           0.968,           1.448,           0.000,          46.166,           1.178,           0.000,        6582.454,           0.147,           0.779
         480.315,          19.713,           4.137,           1.023,           1.450,           0.000,          48.090,           1.569,           0.000,        6583.107,           0.469,           0.836
         504.315,          20.296,           4.605,           1.088,           1.454,           0.000,          50.081,           1.401,           0.000,        6581.671,           0.205,           0.782
         528.315,          23.649,           5.044,           1.146,           1.454,           0.000,          52.016,           1.582,           0.000,        6582.085,           0.480,           0.825
