 channel number, x value, y value, elevation
1,   389000.00,   443500.00,    139.00
2,   389000.00,   444500.00,    135.00
3,   389500.00,   445000.00,    134.00
4,   390500.00,   445000.00,    132.50
5,   391500.00,   445000.00,    149.00
6,   391000.00,   445500.00,    131.00
7,   391000.00,   446500.00,    128.00
8,   399000.00,   446500.00,     85.00
9,   391000.00,   447500.00,    123.00
10,   399000.00,   447500.00,     88.00
11,   391000.00,   448500.00,    115.00
12,   399000.00,   448500.00,     89.00
13,   391500.00,   449000.00,    113.00
14,   398500.00,   449000.00,     90.00
15,   392000.00,   449500.00,    110.00
16,   398000.00,   449500.00,     91.00
17,   392500.00,   450000.00,    109.00
18,   393500.00,   450000.00,    103.00
19,   392000.00,   450500.00,    111.00
20,   394000.00,   450500.00,    101.00
21,   398000.00,   450500.00,     91.50
22,   390500.00,   451000.00,    122.00
23,   391500.00,   451000.00,    113.00
24,   394500.00,   451000.00,     96.00
25,   397500.00,   451000.00,     92.00
26,   398500.00,   451000.00,     93.25
27,   395000.00,   451500.00,     95.25
28,   397000.00,   451500.00,     93.00
29,   399000.00,   451500.00,     95.00
30,   395500.00,   452000.00,     94.50
31,   396500.00,   452000.00,     94.00
32,   399500.00,   452000.00,    103.00
33,   395000.00,   452500.00,     95.00
34,   400000.00,   452500.00,    109.00
35,   389500.00,   453000.00,    133.00
36,   400500.00,   453000.00,    125.00
37,   390000.00,   453500.00,    123.00
38,   392000.00,   453500.00,    109.00
39,   395000.00,   453500.00,     96.00
40,   401000.00,   453500.00,    132.00
41,   394500.00,   454000.00,     97.00
42,   395500.00,   454000.00,    101.00
43,   396500.00,   454000.00,    106.00
44,   397500.00,   454000.00,    135.00
45,   390000.00,   454500.00,    121.50
46,   392000.00,   454500.00,    107.50
47,   394000.00,   454500.00,    100.00
48,   398000.00,   454500.00,    148.00
49,   401000.00,   454500.00,    152.00
50,   390500.00,   455000.00,    120.00
51,   391500.00,   455000.00,    114.00
52,   392500.00,   455000.00,    106.00
53,   393500.00,   455000.00,    101.00
54,   390000.00,   455500.00,    123.00
55,   394000.00,   455500.00,    106.50
56,   398000.00,   455500.00,    166.00
57,   390000.00,   456500.00,    129.00
58,   394000.00,   456500.00,    113.00
59,   392500.00,   457000.00,    130.00
60,   393500.00,   457000.00,    121.50
61,   394500.00,   457000.00,    117.50
62,   395500.00,   457000.00,    122.00
63,   396500.00,   457000.00,    156.00
64,   397500.00,   457000.00,    178.00
65,   390000.00,   457500.00,    132.00
66,   394000.00,   457500.00,    126.00
67,   388500.00,   458000.00,    145.00
68,   389500.00,   458000.00,    138.50
69,   388000.00,   458500.00,    150.00
70,   390000.00,   458500.00,    143.00
71,   394000.00,   458500.00,    140.00
72,   387500.00,   459000.00,    166.00
73,   392500.00,   459000.00,    141.00
74,   393500.00,   459000.00,    140.50
75,   394500.00,   459000.00,    140.50
76,   395500.00,   459000.00,    141.00
77,   396500.00,   459000.00,    151.00
78,   397500.00,   459000.00,    189.00
79,   387000.00,   459500.00,    179.00
80,   390000.00,   459500.00,    153.00
81,   394000.00,   459500.00,    152.00
82,   387000.00,   460500.00,    232.00
83,   390000.00,   460500.00,    161.00
84,   394000.00,   460500.00,    172.00
85,   389500.00,   461000.00,    162.00
86,   389000.00,   461500.00,    170.00
87,   394000.00,   461500.00,    196.00
88,   389500.00,   462000.00,    176.00
89,   389000.00,   462500.00,    186.00
90,   390000.00,   462500.00,    182.00
91,   394000.00,   462500.00,    214.00
92,   389000.00,   463500.00,    196.00
93,   394000.00,   463500.00,    234.00
94,   389500.00,   464000.00,    209.00
95,   390500.00,   464000.00,    226.00
96,   389000.00,   464500.00,    222.00
97,   390000.00,   464500.00,    222.00
98,   391000.00,   464500.00,    243.00
99,   394000.00,   464500.00,    259.00
100,   389000.00,   465500.00,    358.00
101,   394000.00,   465500.00,    331.00
102,   388500.00,   466000.00,    371.00
103,   389500.00,   466000.00,    361.00
104,   390500.00,   466000.00,    364.00
105,   389000.00,   466500.00,    365.50
106,   391000.00,   466500.00,    366.00
107,   389000.00,   467500.00,    373.00
