Simulated discharge(m3/s) at the outlet - regular timestep    1.00 hours. Simulated discharge is the mean value over the timestep with the date at the end of the timestep
Date_yyyy/mm/dd_hours(iso8601format),Time(hours),Outlet-8,Channel-12,Channel-31,Channel-38,Channel-51,Channel-85,Channel-105
1980-01-01T01:00:00,1.000,.00000,.06203,.03604,.07596,.04729,.09419,.04305
1980-01-01T02:00:00,2.000,.00000,.21161,.15823,.14400,.44220,.84508,.11222
1980-01-01T03:00:00,3.000,.28128,.36267,.52048,.13286,1.50265,1.47504,.12962
1980-01-01T04:00:00,4.000,.62152,.59096,1.93630,.11293,2.60296,1.62234,.12418
1980-01-01T05:00:00,5.000,.93156,1.07412,4.53702,.09658,3.10187,1.62480,.11349
1980-01-01T06:00:00,6.000,1.77162,2.53288,6.54375,.08406,3.17477,1.59614,.10282
1980-01-01T07:00:00,7.000,3.92769,5.09067,7.33853,.07484,3.11258,1.56687,.09382
1980-01-01T08:00:00,8.000,6.32822,7.00693,7.46363,.06788,3.03056,1.54363,.08645
1980-01-01T09:00:00,9.000,7.62479,7.80084,7.33027,.06262,2.95841,1.52723,.08054
1980-01-01T10:00:00,10.000,8.04935,7.96828,7.13432,.05861,2.90109,1.51669,.07578
1980-01-01T11:00:00,11.000,8.06615,7.88007,6.94094,.05551,2.85706,1.51085,.07189
1980-01-01T12:00:00,12.000,7.94374,7.72345,6.78183,.05326,2.82613,1.50882,.06886
1980-01-01T13:00:00,13.000,7.79042,7.56309,6.65341,.05156,2.80438,1.50950,.06640
1980-01-01T14:00:00,14.000,7.64472,7.42121,6.55244,.05027,2.78987,1.51223,.06440
1980-01-01T15:00:00,15.000,7.52165,7.30569,6.47621,.04932,2.78128,1.51646,.06279
1980-01-01T16:00:00,16.000,7.42450,7.21666,6.42097,.04866,2.77730,1.52163,.06150
1980-01-01T17:00:00,17.000,7.35130,7.15090,6.38270,.04822,2.77665,1.52724,.06048
1980-01-01T18:00:00,18.000,7.29493,7.10145,6.35627,.04793,2.77856,1.53343,.05963
1980-01-01T19:00:00,19.000,7.25672,7.06903,6.34137,.04779,2.78249,1.53976,.05897
1980-01-01T20:00:00,20.000,7.23288,7.04984,6.33494,.04775,2.78753,1.54580,.05846
1980-01-01T21:00:00,21.000,7.21931,7.04031,6.33522,.04780,2.79400,1.55220,.05804
1980-01-01T22:00:00,22.000,7.21515,7.03928,6.34076,.04791,2.80097,1.55825,.05774
1980-01-01T23:00:00,23.000,7.21787,7.04435,6.34974,.04806,2.80795,1.56374,.05753
1980-01-02T00:00:00,24.000,7.22799,7.05646,6.36417,.04830,2.81667,1.56993,.05740
1980-01-02T01:00:00,25.000,7.24620,7.07537,6.38451,.04866,2.82740,1.57504,.05746
1980-01-02T02:00:00,26.000,7.26830,7.09825,6.40828,.04898,2.83710,1.57670,.05757
1980-01-02T03:00:00,27.000,7.29428,7.12508,6.43322,.04930,2.84546,1.58025,.05767
1980-01-02T04:00:00,28.000,7.32358,7.15472,6.45781,.04961,2.85321,1.58572,.05778
1980-01-02T05:00:00,29.000,7.35083,7.18179,6.47895,.04989,2.86039,1.59093,.05789
1980-01-02T06:00:00,30.000,7.38063,7.21105,6.50149,.05021,2.86858,1.59638,.05805
1980-01-02T07:00:00,31.000,7.40859,7.23839,6.52273,.05051,2.87646,1.60114,.05822
1980-01-02T08:00:00,32.000,7.43482,7.26404,6.54286,.05080,2.88380,1.60533,.05841
1980-01-02T09:00:00,33.000,7.46459,7.29316,6.56580,.05114,2.89186,1.60975,.05871
1980-01-02T10:00:00,34.000,7.49020,7.31819,6.58542,.05143,2.89851,1.61331,.05898
1980-01-02T11:00:00,35.000,7.51682,7.34417,6.60561,.05174,2.90517,1.61679,.05927
1980-01-02T12:00:00,36.000,7.54428,7.37091,6.62616,.05206,2.91179,1.62016,.05960
1980-01-02T13:00:00,37.000,7.56882,7.39475,6.64432,.05236,2.91753,1.62304,.05991
1980-01-02T14:00:00,38.000,7.59529,7.42041,6.66370,.05268,2.92356,1.62601,.06029
1980-01-02T15:00:00,39.000,7.61994,7.44426,6.68160,.05298,2.92905,1.62864,.06067
1980-01-02T16:00:00,40.000,7.64289,7.46641,6.69815,.05326,2.93406,1.63102,.06105
1980-01-02T17:00:00,41.000,7.66857,7.49116,6.71655,.05359,2.93957,1.63356,.06151
