          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.100,           0.000,           0.000,           0.000,           0.000,           0.002,           0.000,           0.000,           0.000,        1729.084,           0.552,           0.023
          24.615,           0.147,           0.000,           0.001,           0.000,           0.515,           1.754,           0.000,           0.146,        1726.541,           1.157,           0.795
          48.173,           5.852,           0.000,           0.002,           0.000,           1.007,           4.011,           0.000,           5.712,        1724.510,           1.560,           0.828
          72.000,          22.072,           0.000,           0.004,           0.000,           1.505,           7.407,           0.000,           5.688,        1731.680,           6.775,           1.388
          96.197,          26.202,           0.007,           0.011,           0.002,           2.011,          13.487,           0.137,           2.572,        1732.904,           6.808,           1.401
         120.393,          28.024,           0.169,           0.111,           0.034,           2.516,          19.144,           1.029,           0.000,        1732.401,           5.718,           1.252
         144.732,          28.243,           0.453,           0.209,           0.064,           3.025,          23.424,           0.882,           0.000,        1730.189,           4.446,           1.051
         168.732,          28.322,           0.670,           0.307,           0.103,           3.527,          26.816,           0.740,           0.000,        1728.047,           3.802,           0.968
         192.732,          28.387,           0.838,           0.408,           0.149,           4.029,          29.870,           0.636,           0.000,        1725.900,           3.454,           0.927
         216.732,          28.392,           0.970,           0.512,           0.205,           4.530,          32.748,           0.508,           0.000,        1723.776,           3.230,           0.903
         240.732,          28.398,           1.070,           0.618,           0.268,           5.032,          35.513,           0.408,           0.007,        1721.674,           3.073,           0.885
         264.732,          28.611,           1.070,           0.620,           0.269,           5.533,          38.213,           0.408,           0.207,        1719.625,           3.018,           0.877
         288.232,          28.615,           1.076,           0.634,           0.278,           6.025,          40.793,           0.402,           0.211,        1717.704,           2.939,           0.870
         313.059,          29.175,           1.076,           0.636,           0.278,           6.544,          43.540,           0.405,           0.676,        1715.610,           2.897,           0.859
         336.059,          31.620,           1.083,           0.639,           0.278,           7.024,          46.093,           0.442,           1.124,        1715.037,           3.353,           0.902
         360.059,          32.304,           1.093,           0.641,           0.278,           7.526,          48.935,           0.430,           1.031,        1713.540,           3.293,           0.896
         384.059,          32.387,           1.168,           0.730,           0.333,           8.028,          51.740,           0.407,           0.412,        1712.057,           3.187,           0.884
         408.059,          32.394,           1.247,           0.834,           0.400,           8.529,          54.412,           0.335,           0.412,        1710.125,           2.942,           0.854
         432.059,          32.402,           1.292,           0.917,           0.450,           9.031,          56.956,           0.297,           0.413,        1708.235,           2.793,           0.836
         456.059,          32.975,           1.341,           0.970,           0.477,           9.533,          59.427,           0.466,           0.746,        1706.380,           2.709,           0.826
         480.049,          40.016,           1.510,           0.977,           0.479,          10.034,          62.175,           0.991,           0.736,        1708.335,           4.479,           0.993
         504.037,          56.226,           1.754,           0.982,           0.480,          10.535,          66.670,           1.422,           0.606,        1716.008,           7.531,           1.433
         528.127,          79.376,           2.071,           0.986,           0.480,          11.039,          74.605,           1.741,           0.518,        1725.988,          11.348,           1.924
         552.027,          85.886,           2.463,           0.993,           0.481,          11.539,          83.332,           1.836,           0.000,        1726.691,           9.050,           1.558
         577.089,          88.000,           2.920,           0.999,           0.481,          12.062,          89.751,           1.520,           0.000,        1725.189,           6.956,           1.255
         601.881,          88.021,           3.310,           1.037,           0.494,          12.581,          94.292,           1.139,           0.000,        1722.990,           5.428,           1.068
         624.623,          88.172,           3.562,           1.107,           0.525,          13.056,          97.647,           1.036,           0.000,        1721.056,           4.635,           0.978
         648.405,          93.921,           3.938,           1.114,           0.526,          13.553,         101.044,           1.804,           0.000,        1721.690,           5.626,           1.088
         672.117,          98.477,           4.359,           1.119,           0.526,          14.049,         105.102,           1.795,           0.000,        1721.968,           5.907,           1.128
         696.221,         111.251,           4.839,           1.125,           0.526,          14.553,         110.104,           1.965,           0.000,        1726.439,           8.468,           1.455
         720.256,         122.221,           5.355,           1.131,           0.526,          15.055,         116.925,           1.898,           0.000,        1729.555,           9.184,           1.530
         744.289,         127.677,           5.789,           1.137,           0.526,          15.557,         123.585,           1.796,           0.090,        1729.813,           7.873,           1.366
         768.349,         133.804,           5.789,           1.138,           0.526,          16.060,         128.754,           1.796,           6.165,        1727.585,           5.817,           1.127
         792.122,         139.175,           5.789,           1.139,           0.526,          16.557,         132.765,           1.796,           9.951,        1726.248,           5.326,           1.068
         816.049,         145.566,           5.789,           1.141,           0.526,          17.057,         136.896,           1.796,           9.891,        1727.651,           6.502,           1.190
         840.070,         169.616,           5.822,           1.143,           0.526,          17.559,         144.579,           1.882,           7.177,        1739.092,          12.897,           2.107
         864.148,         175.072,           5.970,           1.147,           0.526,          18.063,         154.791,           1.793,           3.764,        1740.812,          10.378,           1.721
         888.148,         179.367,           6.197,           1.150,           0.526,          18.564,         162.144,           1.784,           2.577,        1741.029,           8.627,           1.451
         912.154,         189.130,           6.577,           1.155,           0.526,          19.066,         169.265,           1.918,           0.000,        1744.857,           9.846,           1.611
         936.024,         197.671,           7.048,           1.161,           0.526,          19.565,         176.545,           1.875,           0.000,        1746.666,           9.302,           1.564
         960.243,         200.782,           7.571,           1.167,           0.526,          20.071,         182.986,           1.618,           0.000,        1745.654,           7.485,           1.346
         985.513,         201.628,           8.088,           1.176,           0.527,          20.599,         188.176,           1.447,           0.000,        1743.356,           5.953,           1.153
