Sediment discharge at the outlet - All Sediments
Date_yyyy/mm/dd_hours(iso8601format),Time(hours),Outlet-Discharge(kg/s)
1980-01-01T01:00:00,1.000,.00000
1980-01-01T02:00:00,2.000,.00000
1980-01-01T03:00:00,3.000,.43089
1980-01-01T04:00:00,4.000,.79904
1980-01-01T05:00:00,5.000,1.05901
1980-01-01T06:00:00,6.000,2.05794
1980-01-01T07:00:00,7.000,5.36127
1980-01-01T08:00:00,8.000,9.02416
1980-01-01T09:00:00,9.000,8.19164
1980-01-01T10:00:00,10.000,6.35277
1980-01-01T11:00:00,11.000,4.91616
1980-01-01T12:00:00,12.000,4.02079
1980-01-01T13:00:00,13.000,3.45373
1980-01-01T14:00:00,14.000,3.05718
1980-01-01T15:00:00,15.000,2.76057
1980-01-01T16:00:00,16.000,2.54055
1980-01-01T17:00:00,17.000,2.37910
1980-01-01T18:00:00,18.000,2.24083
1980-01-01T19:00:00,19.000,2.13830
1980-01-01T20:00:00,20.000,2.06566
1980-01-01T21:00:00,21.000,2.00685
1980-01-01T22:00:00,22.000,1.96356
1980-01-01T23:00:00,23.000,1.93450
1980-01-02T00:00:00,24.000,1.91457
1980-01-02T01:00:00,25.000,1.91028
1980-01-02T02:00:00,26.000,1.91362
1980-01-02T03:00:00,27.000,1.91857
1980-01-02T04:00:00,28.000,1.92263
1980-01-02T05:00:00,29.000,1.92276
1980-01-02T06:00:00,30.000,1.92062
1980-01-02T07:00:00,31.000,1.92193
1980-01-02T08:00:00,32.000,1.92927
1980-01-02T09:00:00,33.000,1.94147
1980-01-02T10:00:00,34.000,1.78369
1980-01-02T11:00:00,35.000,1.32945
1980-01-02T12:00:00,36.000,1.14900
1980-01-02T13:00:00,37.000,1.09493
1980-01-02T14:00:00,38.000,1.07591
1980-01-02T15:00:00,39.000,1.07127
1980-01-02T16:00:00,40.000,1.06977
1980-01-02T17:00:00,41.000,1.06825
1980-01-02T18:00:00,42.000,1.06635
1980-01-02T19:00:00,43.000,1.06402
1980-01-02T20:00:00,44.000,1.06153
1980-01-02T21:00:00,45.000,1.05937
1980-01-02T22:00:00,46.000,1.05708
1980-01-02T23:00:00,47.000,1.05496
1980-01-03T00:00:00,48.000,1.05302
1980-01-03T01:00:00,49.000,1.07999
1980-01-03T02:00:00,50.000,1.06300
1980-01-03T03:00:00,51.000,1.05624
1980-01-03T04:00:00,52.000,1.06027
1980-01-03T05:00:00,53.000,1.07175
1980-01-03T06:00:00,54.000,1.09290
1980-01-03T07:00:00,55.000,1.12682
1980-01-03T08:00:00,56.000,1.17535
1980-01-03T09:00:00,57.000,1.23912
1980-01-03T10:00:00,58.000,1.31641
1980-01-03T11:00:00,59.000,1.39569
1980-01-03T12:00:00,60.000,1.45712
1980-01-03T13:00:00,61.000,1.52546
1980-01-03T14:00:00,62.000,1.68497
1980-01-03T15:00:00,63.000,1.92416
1980-01-03T16:00:00,64.000,2.16760
1980-01-03T17:00:00,65.000,2.39060
1980-01-03T18:00:00,66.000,2.60533
1980-01-03T19:00:00,67.000,2.82176
1980-01-03T20:00:00,68.000,3.04766
1980-01-03T21:00:00,69.000,3.28033
1980-01-03T22:00:00,70.000,3.51683
1980-01-03T23:00:00,71.000,3.76355
1980-01-04T00:00:00,72.000,4.02207
1980-01-04T01:00:00,73.000,4.26532
1980-01-04T02:00:00,74.000,4.53339
1980-01-04T03:00:00,75.000,4.82479
1980-01-04T04:00:00,76.000,5.10584
1980-01-04T05:00:00,77.000,5.30759
1980-01-04T06:00:00,78.000,5.41542
1980-01-04T07:00:00,79.000,5.43023
1980-01-04T08:00:00,80.000,5.34662
1980-01-04T09:00:00,81.000,5.15289
1980-01-04T10:00:00,82.000,4.82916
1980-01-04T11:00:00,83.000,4.76952
1980-01-04T12:00:00,84.000,4.83024
1980-01-04T13:00:00,85.000,4.73381
1980-01-04T14:00:00,86.000,3.97162
1980-01-04T15:00:00,87.000,3.63128
1980-01-04T16:00:00,88.000,3.55215
1980-01-04T17:00:00,89.000,3.55049
1980-01-04T18:00:00,90.000,3.57664
1980-01-04T19:00:00,91.000,3.60129
1980-01-04T20:00:00,92.000,3.61069
1980-01-04T21:00:00,93.000,3.60343
1980-01-04T22:00:00,94.000,3.52363
1980-01-04T23:00:00,95.000,3.23472
1980-01-05T00:00:00,96.000,2.90045
1980-01-05T01:00:00,97.000,2.67585
1980-01-05T02:00:00,98.000,2.56867
1980-01-05T03:00:00,99.000,2.53704
1980-01-05T04:00:00,100.000,2.54242
1980-01-05T05:00:00,101.000,2.55743
1980-01-05T06:00:00,102.000,2.57462
1980-01-05T07:00:00,103.000,2.59140
1980-01-05T08:00:00,104.000,2.60002
1980-01-05T09:00:00,105.000,2.58843
1980-01-05T10:00:00,106.000,2.55180
1980-01-05T11:00:00,107.000,2.49925
1980-01-05T12:00:00,108.000,2.45330
1980-01-05T13:00:00,109.000,2.42810
1980-01-05T14:00:00,110.000,2.41621
1980-01-05T15:00:00,111.000,2.40228
1980-01-05T16:00:00,112.000,2.38487
1980-01-05T17:00:00,113.000,2.36557
1980-01-05T18:00:00,114.000,2.34090
1980-01-05T19:00:00,115.000,2.30449
1980-01-05T20:00:00,116.000,2.25301
1980-01-05T21:00:00,117.000,2.18950
1980-01-05T22:00:00,118.000,2.11847
1980-01-05T23:00:00,119.000,2.04411
1980-01-06T00:00:00,120.000,1.96219
1980-01-06T01:00:00,121.000,1.88848
1980-01-06T02:00:00,122.000,1.82796
1980-01-06T03:00:00,123.000,1.77282
1980-01-06T04:00:00,124.000,1.69494
1980-01-06T05:00:00,125.000,1.66446
1980-01-06T06:00:00,126.000,1.58531
1980-01-06T07:00:00,127.000,1.55946
1980-01-06T08:00:00,128.000,1.48876
1980-01-06T09:00:00,129.000,1.46327
1980-01-06T10:00:00,130.000,1.39356
1980-01-06T11:00:00,131.000,1.36874
1980-01-06T12:00:00,132.000,1.30086
1980-01-06T13:00:00,133.000,1.27809
1980-01-06T14:00:00,134.000,1.21584
1980-01-06T15:00:00,135.000,1.19592
1980-01-06T16:00:00,136.000,1.14147
1980-01-06T17:00:00,137.000,1.12454
1980-01-06T18:00:00,138.000,1.07826
1980-01-06T19:00:00,139.000,1.06389
1980-01-06T20:00:00,140.000,1.02459
1980-01-06T21:00:00,141.000,1.01208
1980-01-06T22:00:00,142.000,.97788
1980-01-06T23:00:00,143.000,.96653
1980-01-07T00:00:00,144.000,.93552
1980-01-07T01:00:00,145.000,.92489
1980-01-07T02:00:00,146.000,.89585
1980-01-07T03:00:00,147.000,.88581
1980-01-07T04:00:00,148.000,.85835
1980-01-07T05:00:00,149.000,.84899
1980-01-07T06:00:00,150.000,.82338
1980-01-07T07:00:00,151.000,.81481
1980-01-07T08:00:00,152.000,.79137
1980-01-07T09:00:00,153.000,.78365
1980-01-07T10:00:00,154.000,.76253
1980-01-07T11:00:00,155.000,.75553
1980-01-07T12:00:00,156.000,.73638
1980-01-07T13:00:00,157.000,.72981
1980-01-07T14:00:00,158.000,.71184
1980-01-07T15:00:00,159.000,.70554
1980-01-07T16:00:00,160.000,.68829
1980-01-07T17:00:00,161.000,.68231
1980-01-07T18:00:00,162.000,.66594
1980-01-07T19:00:00,163.000,.66051
1980-01-07T20:00:00,164.000,.64565
1980-01-07T21:00:00,165.000,.64070
1980-01-07T22:00:00,166.000,.62714
1980-01-07T23:00:00,167.000,.62259
1980-01-08T00:00:00,168.000,.61013
1980-01-08T01:00:00,169.000,.60589
1980-01-08T02:00:00,170.000,.59428
1980-01-08T03:00:00,171.000,.59028
1980-01-08T04:00:00,172.000,.57936
1980-01-08T05:00:00,173.000,.57561
1980-01-08T06:00:00,174.000,.56534
1980-01-08T07:00:00,175.000,.56182
1980-01-08T08:00:00,176.000,.55219
1980-01-08T09:00:00,177.000,.54889
1980-01-08T10:00:00,178.000,.53987
1980-01-08T11:00:00,179.000,.53672
1980-01-08T12:00:00,180.000,.52811
1980-01-08T13:00:00,181.000,.52510
1980-01-08T14:00:00,182.000,.51687
1980-01-08T15:00:00,183.000,.51405
1980-01-08T16:00:00,184.000,.50636
1980-01-08T17:00:00,185.000,.50372
1980-01-08T18:00:00,186.000,.49650
1980-01-08T19:00:00,187.000,.49400
1980-01-08T20:00:00,188.000,.48716
1980-01-08T21:00:00,189.000,.48456
1980-01-08T22:00:00,190.000,.47745
1980-01-08T23:00:00,191.000,.47477
1980-01-09T00:00:00,192.000,.46744
1980-01-09T01:00:00,193.000,.46495
1980-01-09T02:00:00,194.000,.45813
1980-01-09T03:00:00,195.000,.45595
1980-01-09T04:00:00,196.000,.44998
1980-01-09T05:00:00,197.000,.44803
1980-01-09T06:00:00,198.000,.44271
1980-01-09T07:00:00,199.000,.44088
1980-01-09T08:00:00,200.000,.43588
1980-01-09T09:00:00,201.000,.43411
