Water_Table_depth(m_below_ground). A negative number means there is surface water with the absolute value the depth of surface water
Time(hours), Element-368, Element-382, Element-395, Element-409
      0.10,      0.75,      0.93,     -0.00,     -0.00
     24.62,      0.78,      0.95,     -0.01,     -0.00
     48.17,      0.80,      0.96,     -0.01,     -0.00
     72.00,      0.75,      0.90,     -0.02,     -0.01
     96.20,      0.76,      0.89,     -0.02,     -0.01
    120.39,      0.75,      0.87,     -0.02,     -0.01
    144.73,      0.77,      0.89,     -0.02,     -0.01
    168.73,      0.80,      0.90,     -0.02,     -0.01
    192.73,      0.83,      0.92,     -0.01,     -0.01
    216.73,      0.85,      0.94,     -0.01,     -0.01
    240.73,      0.88,      0.96,     -0.01,     -0.01
    264.73,      0.90,      0.97,     -0.01,     -0.01
    288.23,      0.93,      0.99,     -0.01,     -0.01
    313.06,      0.95,      1.01,     -0.01,     -0.01
    336.06,      0.98,      1.03,     -0.02,     -0.01
    360.06,      1.00,      1.04,     -0.02,     -0.01
    384.06,      1.01,      1.05,     -0.01,     -0.01
    408.06,      1.04,      1.07,     -0.01,     -0.01
    432.06,      1.06,      1.09,     -0.01,     -0.01
    456.06,      1.09,      0.93,     -0.01,     -0.01
    480.05,      1.06,      1.08,     -0.02,     -0.01
    504.04,      0.99,      1.01,     -0.02,     -0.01
    528.13,      0.88,      0.90,     -0.03,     -0.02
    552.03,      0.86,      0.86,     -0.03,     -0.02
    577.09,      0.87,      0.87,     -0.02,     -0.01
    601.88,      0.89,      0.88,     -0.02,     -0.01
    624.62,      0.92,      0.90,     -0.02,     -0.01
    648.41,      0.91,      0.89,     -0.02,     -0.01
    672.12,      0.92,      0.88,     -0.02,     -0.01
    696.22,      0.88,      0.84,     -0.03,     -0.01
    720.26,      0.83,      0.78,     -0.03,     -0.02
    744.29,      0.82,      0.77,     -0.03,     -0.01
    768.35,      0.85,      0.78,     -0.02,     -0.01
    792.12,      0.87,      0.80,     -0.02,     -0.01
    816.05,      0.87,      0.79,     -0.02,     -0.01
