Channel_number,x_value,y_value,elevation(m),width(m),Strickler_Coeff,Upstream_Accumulated_River_Grid_Cells
1,389000.00,443500.00,139.00,3.08,40.00,3
2,389000.00,444500.00,135.00,5.34,40.00,9
3,389500.00,445000.00,134.00,6.17,40.00,12
4,390500.00,445000.00,132.50,7.76,40.00,19
5,391500.00,445000.00,149.00,2.52,40.00,2
6,391000.00,445500.00,131.00,7.76,40.00,19
7,391000.00,446500.00,128.00,8.16,40.00,21
8,399000.00,446500.00,85.00,29.96,40.00,283
9,391000.00,447500.00,123.00,9.25,40.00,27
10,399000.00,447500.00,88.00,29.64,40.00,277
11,391000.00,448500.00,115.00,9.75,40.00,30
12,399000.00,448500.00,89.00,29.48,40.00,274
13,391500.00,449000.00,113.00,10.38,40.00,34
14,398500.00,449000.00,90.00,29.04,40.00,266
15,392000.00,449500.00,110.00,11.12,40.00,39
16,398000.00,449500.00,91.00,28.93,40.00,264
17,392500.00,450000.00,109.00,12.21,40.00,47
18,393500.00,450000.00,103.00,12.47,40.00,49
19,392000.00,450500.00,111.00,12.21,40.00,47
20,394000.00,450500.00,101.00,12.96,40.00,53
21,398000.00,450500.00,91.50,28.71,40.00,260
22,390500.00,451000.00,122.00,2.52,40.00,2
23,391500.00,451000.00,113.00,4.36,40.00,6
24,394500.00,451000.00,96.00,13.33,40.00,56
25,397500.00,451000.00,92.00,27.24,40.00,234
26,398500.00,451000.00,93.25,28.71,40.00,260
27,395000.00,451500.00,95.25,26.71,40.00,225
28,397000.00,451500.00,93.00,26.95,40.00,229
29,399000.00,451500.00,95.00,8.72,40.00,24
30,395500.00,452000.00,94.50,26.71,40.00,225
31,396500.00,452000.00,94.00,26.83,40.00,227
32,399500.00,452000.00,103.00,7.76,40.00,19
33,395000.00,452500.00,95.00,23.01,40.00,167
34,400000.00,452500.00,109.00,6.90,40.00,15
35,389500.00,453000.00,133.00,2.52,40.00,2
36,400500.00,453000.00,125.00,5.91,40.00,11
37,390000.00,453500.00,123.00,4.36,40.00,6
38,392000.00,453500.00,109.00,5.63,40.00,10
39,395000.00,453500.00,96.00,22.80,40.00,164
40,401000.00,453500.00,132.00,4.71,40.00,7
41,394500.00,454000.00,97.00,22.10,40.00,154
42,395500.00,454000.00,101.00,22.80,40.00,164
43,396500.00,454000.00,106.00,4.71,40.00,7
44,397500.00,454000.00,135.00,3.98,40.00,5
45,390000.00,454500.00,121.50,15.42,40.00,75
46,392000.00,454500.00,107.50,15.93,40.00,80
47,394000.00,454500.00,100.00,21.14,40.00,141
48,398000.00,454500.00,148.00,3.56,40.00,4
49,401000.00,454500.00,152.00,2.52,8.00,2
50,390500.00,455000.00,120.00,15.42,40.00,75
51,391500.00,455000.00,114.00,15.73,40.00,78
52,392500.00,455000.00,106.00,15.93,40.00,80
53,393500.00,455000.00,101.00,16.13,40.00,82
54,390000.00,455500.00,123.00,15.11,8.00,72
55,394000.00,455500.00,106.50,13.44,40.00,57
56,398000.00,455500.00,166.00,3.08,40.00,3
57,390000.00,456500.00,129.00,14.79,40.00,69
58,394000.00,456500.00,113.00,13.09,40.00,54
59,392500.00,457000.00,130.00,4.71,40.00,7
60,393500.00,457000.00,121.50,10.07,40.00,32
61,394500.00,457000.00,117.50,13.09,40.00,54
62,395500.00,457000.00,122.00,7.55,40.00,18
63,396500.00,457000.00,156.00,3.08,40.00,3
64,397500.00,457000.00,178.00,2.52,40.00,2
65,390000.00,457500.00,132.00,14.36,40.00,65
66,394000.00,457500.00,126.00,9.75,40.00,30
67,388500.00,458000.00,145.00,6.17,40.00,12
68,389500.00,458000.00,138.50,6.66,40.00,14
69,388000.00,458500.00,150.00,5.63,40.00,10
70,390000.00,458500.00,143.00,12.47,40.00,49
71,394000.00,458500.00,140.00,8.16,40.00,21
72,387500.00,459000.00,166.00,5.04,40.00,8
73,392500.00,459000.00,141.00,3.98,40.00,5
74,393500.00,459000.00,140.50,8.16,40.00,21
75,394500.00,459000.00,140.50,7.55,40.00,18
76,395500.00,459000.00,141.00,5.91,40.00,11
77,396500.00,459000.00,151.00,5.34,40.00,9
78,397500.00,459000.00,189.00,2.52,40.00,2
79,387000.00,459500.00,179.00,4.36,40.00,6
80,390000.00,459500.00,153.00,12.34,40.00,48
81,394000.00,459500.00,152.00,7.96,40.00,20
82,387000.00,460500.00,232.00,3.08,40.00,3
83,390000.00,460500.00,161.00,12.08,40.00,46
84,394000.00,460500.00,172.00,7.34,8.00,17
85,389500.00,461000.00,162.00,8.54,40.00,23
86,389000.00,461500.00,170.00,8.16,40.00,21
87,394000.00,461500.00,196.00,6.90,8.00,15
88,389500.00,462000.00,176.00,8.16,40.00,21
89,389000.00,462500.00,186.00,7.55,40.00,18
90,390000.00,462500.00,182.00,7.55,40.00,18
91,394000.00,462500.00,214.00,6.17,40.00,12
92,389000.00,463500.00,196.00,6.90,40.00,15
93,394000.00,463500.00,234.00,5.34,40.00,9
94,389500.00,464000.00,209.00,6.90,40.00,15
95,390500.00,464000.00,226.00,6.90,40.00,15
96,389000.00,464500.00,222.00,6.17,40.00,12
97,390000.00,464500.00,222.00,6.17,40.00,12
98,391000.00,464500.00,243.00,4.71,40.00,7
99,394000.00,464500.00,259.00,4.36,40.00,6
100,389000.00,465500.00,358.00,5.34,40.00,9
101,394000.00,465500.00,331.00,2.52,40.00,2
102,388500.00,466000.00,371.00,2.52,8.00,2
103,389500.00,466000.00,361.00,5.34,8.00,9
104,390500.00,466000.00,364.00,3.56,40.00,4
105,389000.00,466500.00,365.50,4.36,8.00,6
106,391000.00,466500.00,366.00,3.08,40.00,3
107,389000.00,467500.00,373.00,2.52,8.00,2
