 channel number, x value, y value, elevation
1,   389500.00,   445000.00,    148.90
2,   390000.00,   445500.00,    147.90
3,   400000.00,   445500.00,     86.50
4,   390000.00,   446500.00,    146.90
5,   400000.00,   446500.00,    102.15
6,   390500.00,   447000.00,    145.90
7,   399500.00,   447000.00,    103.15
8,   391000.00,   447500.00,    144.90
9,   399000.00,   447500.00,    104.15
10,   391000.00,   448500.00,    120.75
11,   399000.00,   448500.00,    105.15
12,   391500.00,   449000.00,    119.12
13,   392000.00,   449500.00,    117.85
14,   399000.00,   449500.00,    106.15
15,   392500.00,   450000.00,    116.85
16,   393500.00,   450000.00,    115.85
17,   394500.00,   450000.00,    114.85
18,   398500.00,   450000.00,    107.15
19,   395000.00,   450500.00,    113.00
20,   398000.00,   450500.00,    108.15
21,   395500.00,   451000.00,    111.15
22,   396500.00,   451000.00,    110.15
23,   397500.00,   451000.00,    109.15
24,   398500.00,   451000.00,    112.30
25,   395000.00,   451500.00,    112.15
26,   399000.00,   451500.00,    116.45
27,   399500.00,   452000.00,    117.45
28,   395000.00,   452500.00,    113.15
29,   400000.00,   452500.00,    157.00
30,   400500.00,   453000.00,    164.35
31,   393000.00,   453500.00,    117.95
32,   395000.00,   453500.00,    114.15
33,   393500.00,   454000.00,    116.55
34,   394500.00,   454000.00,    115.15
35,   394000.00,   454500.00,    116.15
36,   390500.00,   455000.00,    142.80
37,   391500.00,   455000.00,    136.75
38,   392500.00,   455000.00,    118.15
39,   393500.00,   455000.00,    117.15
40,   390000.00,   455500.00,    143.80
41,   393000.00,   455500.00,    127.62
42,   393500.00,   456000.00,    129.81
43,   394500.00,   456000.00,    132.00
44,   390000.00,   456500.00,    144.80
45,   393000.00,   456500.00,    138.10
46,   387500.00,   457000.00,    152.50
47,   388500.00,   457000.00,    151.00
48,   389500.00,   457000.00,    147.90
49,   390000.00,   457500.00,    145.80
50,   393000.00,   457500.00,    148.75
51,   393500.00,   458000.00,    150.25
52,   394500.00,   458000.00,    151.75
53,   395500.00,   458000.00,    152.75
54,   390000.00,   458500.00,    157.25
55,   393000.00,   458500.00,    177.35
56,   396000.00,   458500.00,    171.50
57,   393500.00,   459000.00,    178.35
58,   390000.00,   459500.00,    180.00
59,   394000.00,   459500.00,    197.00
60,   389500.00,   460000.00,    191.50
61,   389000.00,   460500.00,    204.25
62,   394000.00,   460500.00,    198.00
63,   389000.00,   461500.00,    214.10
64,   394000.00,   461500.00,    231.00
65,   389000.00,   462500.00,    215.10
66,   394000.00,   462500.00,    254.75
67,   389000.00,   463500.00,    262.00
68,   394000.00,   463500.00,    262.00
69,   389000.00,   464500.00,    329.00
70,   394000.00,   464500.00,    305.75
71,   389000.00,   465500.00,    371.75
72,   389000.00,   466500.00,    373.00
