Simulated discharge(m3/s) at the outlet - regular timestep   24.00 hours. Simulated discharge is the mean value over the timestep with the date at the end of the timestep
Date_yyyy/mm/dd_hours(iso8601format),Time(hours),Outlet-Discharge
1980-01-02T00:00:00,24.000,.12435
1980-01-03T00:00:00,48.000,1.04255
1980-01-04T00:00:00,72.000,4.40501
1980-01-05T00:00:00,96.000,11.44751
1980-01-06T00:00:00,120.000,8.97310
1980-01-07T00:00:00,144.000,7.22207
1980-01-08T00:00:00,168.000,6.19941
1980-01-09T00:00:00,192.000,5.32186
1980-01-10T00:00:00,216.000,4.84336
1980-01-11T00:00:00,240.000,4.42950
1980-01-12T00:00:00,264.000,4.03251
1980-01-13T00:00:00,288.000,3.70094
1980-01-14T00:00:00,312.000,3.42751
1980-01-15T00:00:00,336.000,4.73584
1980-01-16T00:00:00,360.000,9.17020
1980-01-17T00:00:00,384.000,8.98201
1980-01-18T00:00:00,408.000,7.93250
1980-01-19T00:00:00,432.000,6.63732
1980-01-20T00:00:00,456.000,5.79486
1980-01-21T00:00:00,480.000,6.70478
1980-01-22T00:00:00,504.000,9.19389
1980-01-23T00:00:00,528.000,10.07112
1980-01-24T00:00:00,552.000,9.86999
1980-01-25T00:00:00,576.000,8.05932
1980-01-26T00:00:00,600.000,6.68483
1980-01-27T00:00:00,624.000,5.68327
1980-01-28T00:00:00,648.000,5.48446
1980-01-29T00:00:00,672.000,7.15846
1980-01-30T00:00:00,696.000,9.20829
1980-01-31T00:00:00,720.000,13.91812
1980-02-01T00:00:00,744.000,21.42266
1980-02-02T00:00:00,768.000,23.46721
1980-02-03T00:00:00,792.000,20.06142
1980-02-04T00:00:00,816.000,16.30064
1980-02-05T00:00:00,840.000,16.82149
1980-02-06T00:00:00,864.000,21.05320
1980-02-07T00:00:00,888.000,18.58014
1980-02-08T00:00:00,912.000,18.26968
1980-02-09T00:00:00,936.000,17.95433
1980-02-10T00:00:00,960.000,13.86324
1980-02-11T00:00:00,984.000,10.76672
