          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.001,           0.000,           0.000,           0.001,           0.000,           0.000,           0.001,           0.000,         415.317,           0.002,           0.001
          24.378,           0.783,           0.082,           0.136,           0.137,           0.000,           0.042,           0.697,           0.000,         414.312,           0.472,           0.249
          48.315,           6.235,           0.438,           0.145,           0.142,           0.000,           0.360,           1.858,           0.000,         414.736,           3.602,           0.309
          72.483,          23.918,           0.899,           0.147,           0.142,           0.000,           1.761,           1.861,           0.000,         415.454,          17.937,           1.098
          96.500,          24.800,           1.377,           0.150,           0.142,           0.000,           5.241,           1.453,           0.000,         415.339,          15.495,           0.989
         120.500,          24.833,           1.799,           0.228,           0.151,           0.000,           7.957,           1.064,           0.000,         414.856,          13.329,           0.853
         144.500,          26.404,           2.294,           0.249,           0.154,           0.000,          10.146,           1.466,           0.000,         414.326,          12.419,           0.768
         168.500,          26.623,           2.742,           0.288,           0.163,           0.000,          12.026,           1.235,           0.000,         413.590,          11.323,           0.688
         192.500,          27.717,           3.188,           0.299,           0.165,           0.000,          13.640,           1.450,           0.000,         412.956,          10.821,           0.640
         216.500,          28.500,           3.625,           0.302,           0.165,           0.000,          15.111,           1.477,           0.000,         412.293,          10.373,           0.606
         240.500,          28.500,           4.017,           0.352,           0.179,           0.000,          16.456,           1.085,           0.000,         411.513,           9.791,           0.570
         264.500,          28.500,           4.289,           0.464,           0.213,           0.000,          17.680,           0.813,           0.000,         410.704,           9.270,           0.539
         288.500,          28.504,           4.500,           0.627,           0.266,           0.000,          18.804,           0.605,           0.000,         409.863,           8.806,           0.512
         312.500,          29.011,           4.679,           0.789,           0.323,           0.000,          19.845,           0.930,           0.000,         409.016,           8.422,           0.492
         336.702,          43.685,           5.122,           0.792,           0.323,           0.000,          21.335,           1.819,           0.000,         412.105,          16.832,           0.881
         360.501,          46.542,           5.605,           0.794,           0.323,           0.000,          24.113,           1.612,           0.000,         412.068,          16.622,           0.928
         384.501,          48.504,           6.102,           0.797,           0.323,           0.000,          26.841,           1.502,           0.000,         411.781,          15.804,           0.879
         408.501,          48.700,           6.553,           0.829,           0.328,           0.000,          29.246,           1.246,           0.000,         411.140,          14.108,           0.783
         432.501,          48.748,           6.878,           0.924,           0.349,           0.000,          31.257,           0.969,           0.000,         410.415,          12.792,           0.703
         456.501,          51.173,           7.300,           0.939,           0.352,           0.000,          33.018,           1.674,           0.000,         410.064,          12.691,           0.676
         480.501,          59.388,           7.778,           0.941,           0.352,           0.000,          35.074,           1.812,           0.000,         411.144,          16.957,           0.876
         504.501,          63.600,           8.285,           0.944,           0.352,           0.000,          37.879,           1.718,           0.000,         411.288,          17.734,           0.944
         528.501,          68.302,           8.793,           0.947,           0.352,           0.000,          40.948,           1.671,           0.000,         411.486,          18.653,           0.995
         552.501,          68.400,           9.273,           0.999,           0.358,           0.000,          43.940,           1.142,           0.000,         410.968,          16.385,           0.882
         576.501,          68.402,           9.615,           1.150,           0.384,           0.000,          46.382,           0.803,           0.000,         410.291,          14.555,           0.777
         600.501,          68.504,           9.859,           1.339,           0.433,           0.000,          48.408,           0.660,           0.000,         409.519,          13.153,           0.695
         624.501,          68.834,          10.072,           1.529,           0.488,           0.000,          50.131,           0.774,           0.000,         408.717,          12.055,           0.635
         648.501,          75.213,          10.542,           1.538,           0.490,           0.000,          51.805,           1.789,           0.000,         409.426,          14.474,           0.721
         672.501,          80.640,          11.060,           1.541,           0.490,           0.000,          53.995,           1.780,           0.000,         409.908,          16.594,           0.845
         696.501,          87.488,          11.638,           1.544,           0.490,           0.000,          56.811,           1.883,           0.000,         410.459,          19.237,           0.999
         720.892,         101.476,          12.272,           1.547,           0.490,           0.000,          61.184,           1.945,           0.000,         411.876,          26.332,           1.412
         744.377,         113.878,          12.805,           1.550,           0.490,           0.000,          67.611,           1.897,           0.000,         412.795,          30.652,           1.668
         768.377,         118.858,          13.173,           1.552,           0.490,           0.000,          74.738,           1.741,           0.000,         412.879,          28.343,           1.531
         792.377,         122.516,          13.561,           1.554,           0.490,           0.000,          80.824,           1.657,           0.000,         412.814,          25.843,           1.361
         816.377,         123.734,          13.980,           1.557,           0.490,           0.000,          85.763,           1.591,           0.000,         412.498,          22.294,           1.152
         840.578,         138.501,          14.452,           1.559,           0.490,           0.000,          90.968,           1.867,           0.000,         413.327,          29.913,           1.524
         864.377,         142.668,          14.925,           1.562,           0.490,           0.000,          97.311,           1.712,           0.000,         413.287,          27.554,           1.425
         888.377,         147.038,          15.403,           1.564,           0.490,           0.000,         102.952,           1.762,           0.000,         413.246,          25.898,           1.320
         912.377,         155.720,          15.941,           1.567,           0.490,           0.000,         108.519,           1.807,           0.000,         413.484,          28.088,           1.423
         936.377,         157.003,          16.539,           1.570,           0.490,           0.000,         113.963,           1.447,           0.000,         413.256,          24.110,           1.226
         960.377,         157.200,          17.104,           1.660,           0.502,           0.000,         118.162,           1.078,           0.000,         412.728,          20.543,           1.033
         984.377,         157.200,          17.467,           1.853,           0.544,           0.000,         121.425,           0.715,           0.000,         411.984,          17.946,           0.888
