Channel_number,x_value,y_value,elevation(m),width(m),Strickler_Coeff,Upstream_Accumulated_River_Grid_Cells
1,389500.00,445000.00,148.90,8.86,50.00,11
2,390000.00,445500.00,147.90,11.33,50.00,18
3,400000.00,445500.00,86.50,44.93,50.00,283
4,390000.00,446500.00,146.90,11.95,50.00,20
5,400000.00,446500.00,102.15,44.86,50.00,282
6,390500.00,447000.00,145.90,12.24,50.00,21
7,399500.00,447000.00,103.15,44.70,50.00,280
8,391000.00,447500.00,144.90,13.88,50.00,27
9,399000.00,447500.00,104.15,44.46,50.00,277
10,391000.00,448500.00,120.75,14.38,50.00,29
11,399000.00,448500.00,105.15,44.21,50.00,274
12,391500.00,449000.00,119.12,15.80,50.00,35
13,392000.00,449500.00,117.85,16.25,50.00,37
14,399000.00,449500.00,106.15,43.73,50.00,268
15,392500.00,450000.00,116.85,18.12,50.00,46
16,393500.00,450000.00,115.85,18.89,50.00,50
17,394500.00,450000.00,114.85,19.63,50.00,54
18,398500.00,450000.00,107.15,43.40,50.00,264
19,395000.00,450500.00,113.00,39.71,50.00,221
20,398000.00,450500.00,108.15,43.24,50.00,262
21,395500.00,451000.00,111.15,39.71,50.00,221
22,396500.00,451000.00,110.15,39.98,50.00,224
23,397500.00,451000.00,109.15,40.07,50.00,225
24,398500.00,451000.00,112.30,43.24,50.00,262
25,395000.00,451500.00,112.15,34.10,50.00,163
26,399000.00,451500.00,116.45,15.80,50.00,35
27,399500.00,452000.00,117.45,11.64,50.00,19
28,395000.00,452500.00,113.15,33.79,50.00,160
29,400000.00,452500.00,157.00,10.35,50.00,15
30,400500.00,453000.00,164.35,8.45,50.00,10
31,393000.00,453500.00,117.95,9.25,50.00,12
32,395000.00,453500.00,114.15,33.58,50.00,158
33,393500.00,454000.00,116.55,28.52,50.00,114
34,394500.00,454000.00,115.15,33.15,50.00,154
35,394000.00,454500.00,116.15,31.60,50.00,140
36,390500.00,455000.00,142.80,22.98,50.00,74
37,391500.00,455000.00,136.75,23.29,50.00,76
38,392500.00,455000.00,118.15,23.59,50.00,78
39,393500.00,455000.00,117.15,28.52,50.00,114
40,390000.00,455500.00,143.80,22.66,50.00,72
41,393000.00,455500.00,127.62,15.57,50.00,34
42,393500.00,456000.00,129.81,15.57,50.00,34
43,394500.00,456000.00,132.00,13.09,50.00,24
44,390000.00,456500.00,144.80,22.03,50.00,68
45,393000.00,456500.00,138.10,15.34,50.00,33
46,387500.00,457000.00,152.50,8.45,50.00,10
47,388500.00,457000.00,151.00,10.35,50.00,15
48,389500.00,457000.00,147.90,11.01,50.00,17
49,390000.00,457500.00,145.80,21.70,50.00,66
50,393000.00,457500.00,148.75,14.38,50.00,29
51,393500.00,458000.00,150.25,13.09,50.00,24
52,394500.00,458000.00,151.75,11.95,50.00,20
53,395500.00,458000.00,152.75,11.33,50.00,18
54,390000.00,458500.00,157.25,17.72,50.00,44
55,393000.00,458500.00,177.35,14.13,50.00,28
56,396000.00,458500.00,171.50,8.45,50.00,10
57,393500.00,459000.00,178.35,13.09,50.00,24
58,390000.00,459500.00,180.00,17.52,50.00,43
59,394000.00,459500.00,197.00,12.81,50.00,23
60,389500.00,460000.00,191.50,16.89,50.00,40
61,389000.00,460500.00,204.25,16.68,50.00,39
62,394000.00,460500.00,198.00,11.95,50.00,20
63,389000.00,461500.00,214.10,16.25,50.00,37
64,394000.00,461500.00,231.00,11.64,50.00,19
65,389000.00,462500.00,215.10,15.57,50.00,34
66,394000.00,462500.00,254.75,10.68,50.00,16
67,389000.00,463500.00,262.00,12.24,50.00,21
68,394000.00,463500.00,262.00,9.63,50.00,13
69,389000.00,464500.00,329.00,11.33,50.00,18
70,394000.00,464500.00,305.75,8.45,50.00,10
71,389000.00,465500.00,371.75,10.35,50.00,15
72,389000.00,466500.00,373.00,9.25,50.00,12
