Simulated discharge(m3/s) at the outlet - regular timestep    1.00 hours. Simulated discharge is the mean value over the timestep with the date at the end of the timestep
Date_yyyy/mm/dd_hours(iso8601format),Time(hours),Outlet-118,Channel-84,Channel-84,Channel-101,Channel-112
1977-10-01T01:00:00,1.000,.00000,.15491,.00000,.62979,1.01914
1977-10-01T02:00:00,2.000,.05559,.09888,.00000,.53618,.62752
1977-10-01T03:00:00,3.000,.39936,.07467,.00000,.51514,.55001
1977-10-01T04:00:00,4.000,.71742,.06198,.00000,.51096,.53609
1977-10-01T05:00:00,5.000,.89238,.05424,.00000,.50726,.53354
1977-10-01T06:00:00,6.000,.96652,.04873,.00000,.50418,.53042
1977-10-01T07:00:00,7.000,.98431,.04441,.00000,.50611,.52566
1977-10-01T08:00:00,8.000,.97561,.04069,.00000,.51691,.52045
1977-10-01T09:00:00,9.000,.95656,.03740,.00000,.53801,.51661
1977-10-01T10:00:00,10.000,.93523,.03439,.00000,.56910,.51592
1977-10-01T11:00:00,11.000,.91608,.03161,.00000,.60703,.52032
1977-10-01T12:00:00,12.000,.90171,.02911,.00000,.64576,.53093
1977-10-01T13:00:00,13.000,.89231,.02677,.00000,.68176,.54884
1977-10-01T14:00:00,14.000,.88869,.02468,.00000,.70871,.57231
1977-10-01T15:00:00,15.000,.89038,.02275,.00000,.72573,.60028
1977-10-01T16:00:00,16.000,.89718,.02097,.00000,.73155,.62964
1977-10-01T17:00:00,17.000,.90812,.01936,.00000,.72681,.65658
1977-10-01T18:00:00,18.000,.92146,.01791,.00000,.71354,.67785
1977-10-01T19:00:00,19.000,.93510,.01663,.00000,.69447,.69184
1977-10-01T20:00:00,20.000,.94814,.01540,.00000,.66967,.69864
1977-10-01T21:00:00,21.000,.95753,.01430,.00000,.64216,.69722
1977-10-01T22:00:00,22.000,.96233,.01332,.00000,.61362,.68946
1977-10-01T23:00:00,23.000,.96157,.01242,.00000,.58409,.67595
1977-10-02T00:00:00,24.000,.95471,.01156,.00000,.55325,.65734
1977-10-02T01:00:00,25.000,.94324,.01084,.00000,.52598,.63758
1977-10-02T02:00:00,26.000,.92656,.01016,.00000,.49831,.61494
1977-10-02T03:00:00,27.000,.90341,.00947,.00000,.46918,.58862
1977-10-02T04:00:00,28.000,.87933,.00891,.00000,.44448,.56453
1977-10-02T05:00:00,29.000,.85275,.00838,.00000,.42083,.54019
1977-10-02T06:00:00,30.000,.82435,.00790,.00000,.39832,.51599
1977-10-02T07:00:00,31.000,.79478,.00745,.00000,.37702,.49225
1977-10-02T08:00:00,32.000,.76465,.00703,.00000,.35695,.46919
1977-10-02T09:00:00,33.000,.73485,.00664,.00000,.33835,.44729
1977-10-02T10:00:00,34.000,.70559,.00629,.00000,.32103,.42648
1977-10-02T11:00:00,35.000,.67690,.00597,.00000,.30480,.40664
1977-10-02T12:00:00,36.000,.64897,.00566,.00000,.28959,.38777
1977-10-02T13:00:00,37.000,.62192,.00538,.00000,.27534,.36987
1977-10-02T14:00:00,38.000,.59584,.00512,.00000,.26197,.35290
1977-10-02T15:00:00,39.000,.57079,.00487,.00000,.24945,.33685
1977-10-02T16:00:00,40.000,.54679,.00464,.00000,.23770,.32166
1977-10-02T17:00:00,41.000,.52386,.00443,.00000,.22667,.30731
1977-10-02T18:00:00,42.000,.50197,.00423,.00000,.21632,.29375
1977-10-02T19:00:00,43.000,.48112,.00404,.00000,.20660,.28094
1977-10-02T20:00:00,44.000,.46126,.00386,.00000,.19746,.26884
1977-10-02T21:00:00,45.000,.44238,.00370,.00000,.18886,.25741
1977-10-02T22:00:00,46.000,.42443,.00354,.00000,.18076,.24661
1977-10-02T23:00:00,47.000,.40737,.00339,.00000,.17314,.23640
1977-10-03T00:00:00,48.000,.39117,.00326,.00000,.16596,.22674
1977-10-03T01:00:00,49.000,.37577,.00313,.00000,.15918,.21761
1977-10-03T02:00:00,50.000,.36114,.00300,.00000,.15279,.20897
1977-10-03T03:00:00,51.000,.34725,.00289,.00000,.14674,.20078
1977-10-03T04:00:00,52.000,.33405,.00278,.00000,.14103,.19303
1977-10-03T05:00:00,53.000,.32150,.00268,.00000,.13563,.18569
1977-10-03T06:00:00,54.000,.30957,.00258,.00000,.13052,.17872
1977-10-03T07:00:00,55.000,.29822,.00249,.00000,.12568,.17211
1977-10-03T08:00:00,56.000,.28743,.00240,.00000,.12109,.16584
1977-10-03T09:00:00,57.000,.27716,.00232,.00000,.11674,.15988
1977-10-03T10:00:00,58.000,.26739,.00224,.00000,.11261,.15422
1977-10-03T11:00:00,59.000,.25808,.00216,.00000,.10868,.14884
1977-10-03T12:00:00,60.000,.24921,.00209,.00000,.10495,.14371
1977-10-03T13:00:00,61.000,.24075,.00202,.00000,.10141,.13884
1977-10-03T14:00:00,62.000,.23269,.00196,.00000,.09804,.13420
1977-10-03T15:00:00,63.000,.22500,.00190,.00000,.09483,.12977
1977-10-03T16:00:00,64.000,.21765,.00184,.00000,.09177,.12555
1977-10-03T17:00:00,65.000,.21064,.00178,.00000,.08885,.12153
1977-10-03T18:00:00,66.000,.20395,.00173,.00000,.08607,.11769
1977-10-03T19:00:00,67.000,.19755,.00168,.00000,.08342,.11402
1977-10-03T20:00:00,68.000,.19143,.00163,.00000,.08089,.11052
1977-10-03T21:00:00,69.000,.18558,.00159,.00000,.07847,.10717
1977-10-03T22:00:00,70.000,.17997,.00154,.00000,.07616,.10397
1977-10-03T23:00:00,71.000,.17461,.00150,.00000,.07395,.10091
1977-10-04T00:00:00,72.000,.16948,.00146,.00000,.07184,.09797
1977-10-04T01:00:00,73.000,.16455,.00142,.00000,.06981,.09517
1977-10-04T02:00:00,74.000,.15984,.00139,.00000,.06787,.09247
1977-10-04T03:00:00,75.000,.15531,.00135,.00000,.06602,.08990
1977-10-04T04:00:00,76.000,.15097,.00132,.00000,.06424,.08742
1977-10-04T05:00:00,77.000,.14680,.00128,.00000,.06253,.08505
1977-10-04T06:00:00,78.000,.14280,.00125,.00000,.06090,.08277
1977-10-04T07:00:00,79.000,.13896,.00122,.00000,.05932,.08058
1977-10-04T08:00:00,80.000,.13527,.00119,.00000,.05782,.07848
1977-10-04T09:00:00,81.000,.13172,.00117,.00000,.05637,.07647
1977-10-04T10:00:00,82.000,.12830,.00114,.00000,.05498,.07452
1977-10-04T11:00:00,83.000,.12502,.00111,.00000,.05364,.07266
1977-10-04T12:00:00,84.000,.12186,.00109,.00000,.05235,.07086
1977-10-04T13:00:00,85.000,.11882,.00107,.00000,.05111,.06913
1977-10-04T14:00:00,86.000,.11589,.00104,.00000,.04992,.06747
1977-10-04T15:00:00,87.000,.11306,.00102,.00000,.04878,.06587
1977-10-04T16:00:00,88.000,.11034,.00100,.00000,.04767,.06433
1977-10-04T17:00:00,89.000,.10772,.00098,.00000,.04661,.06284
1977-10-04T18:00:00,90.000,.10519,.00096,.00000,.04558,.06140
1977-10-04T19:00:00,91.000,.10275,.00094,.00000,.04459,.06002
1977-10-04T20:00:00,92.000,.10039,.00092,.00000,.04364,.05869
1977-10-04T21:00:00,93.000,.09812,.00091,.00000,.04272,.05740
1977-10-04T22:00:00,94.000,.09593,.00089,.00000,.04183,.05615
1977-10-04T23:00:00,95.000,.09381,.00087,.00000,.04098,.05495
1977-10-05T00:00:00,96.000,.09176,.00086,.00000,.04015,.05379
1977-10-05T01:00:00,97.000,.08978,.00084,.00000,.03935,.05267
1977-10-05T02:00:00,98.000,.08787,.00083,.00000,.03858,.05159
1977-10-05T03:00:00,99.000,.08601,.00081,.00000,.03783,.05054
