          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.000,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,        1062.168,           0.000,           0.277
          24.378,           0.000,           0.000,           0.092,           1.337,           0.000,           0.103,           0.000,           0.000,        1060.750,           0.000,           0.166
          48.315,           0.000,           0.000,           0.177,           2.712,           0.000,           0.182,           0.000,           0.000,        1059.292,           0.000,           0.089
          72.315,           0.000,           0.000,           0.232,           3.593,           0.000,           0.213,           0.000,           0.000,        1058.357,           0.000,           0.059
          96.315,           0.000,           0.000,           0.279,           4.364,           0.000,           0.228,           0.000,           0.000,        1057.541,           0.000,           0.047
         120.033,          34.684,           0.213,           0.332,           4.913,           0.000,           0.238,           2.302,           0.000,        1079.784,           8.725,           0.555
         144.076,         138.791,           2.677,           0.876,           4.988,           0.000,          48.826,           0.749,           0.000,        1141.245,           0.388,           1.288
         168.594,         138.791,           3.383,           0.975,           5.867,           0.000,          49.978,           0.043,           0.000,        1140.120,           0.022,           0.206
         192.761,         141.456,           4.642,           1.095,           7.060,           0.000,          50.097,           0.289,           0.000,        1139.944,           0.000,           0.104
         216.060,         143.418,           5.384,           1.145,           7.526,           0.000,          50.135,           0.308,           0.000,        1140.592,           0.002,           0.080
         240.017,         143.418,           5.678,           1.223,           8.730,           0.000,          50.157,           0.014,           0.000,        1139.316,           0.000,           0.060
         264.017,         143.418,           5.692,           1.294,           9.982,           0.000,          50.171,           0.001,           0.000,        1138.001,           0.000,           0.049
         288.017,         143.418,           5.692,           1.369,          11.316,           0.000,          50.180,           0.000,           0.000,        1136.601,           0.000,           0.042
         312.017,         143.418,           5.692,           1.473,          13.143,           0.000,          50.187,           0.000,           0.000,        1134.686,           0.000,           0.038
         336.314,         163.077,           6.238,           1.562,          13.876,           0.000,          50.197,           0.686,           0.000,        1151.817,           0.107,           0.338
         360.197,         163.581,           7.267,           1.708,          15.569,           0.000,          50.400,           0.031,           0.000,        1150.006,           0.025,           0.169
         384.259,         168.245,           7.791,           1.797,          16.676,           0.000,          50.492,           0.954,           0.000,        1151.999,           0.013,           0.106
         408.178,         187.067,          10.029,           1.934,          16.801,           0.000,          50.552,           0.442,           0.000,        1168.095,           0.318,           0.334
         432.770,         187.213,          10.579,           2.333,          18.818,           0.000,          50.760,           0.016,           0.000,        1165.926,           0.046,           0.185
         456.054,         205.265,          10.984,           2.443,          19.594,           0.000,          50.863,           1.195,           0.000,        1178.935,           2.252,           0.413
         480.302,         209.123,          12.324,           3.047,          20.266,           0.000,          51.502,           0.218,           0.000,        1180.784,           1.427,           0.960
         504.078,         221.705,          12.994,           3.455,          20.595,           0.000,          52.617,           0.734,           0.000,        1187.726,           3.517,           1.486
         528.514,         221.705,          13.668,           4.531,          21.233,           0.000,          54.725,           0.060,           0.000,        1187.219,           0.959,           0.728
         552.514,         221.705,          13.721,           5.247,          22.253,           0.000,          55.331,           0.007,           0.000,        1186.027,           0.241,           0.308
         576.514,         221.705,          13.727,           5.545,          23.434,           0.000,          55.514,           0.001,           0.000,        1184.748,           0.032,           0.148
         600.514,         221.778,          13.753,           5.623,          24.233,           0.000,          55.580,           0.037,           0.000,        1183.916,           0.002,           0.086
         624.514,         221.778,          13.786,           5.687,          25.739,           0.000,          55.609,           0.004,           0.000,        1182.365,           0.000,           0.060
         648.514,         221.778,          13.789,           5.723,          26.633,           0.000,          55.624,           0.001,           0.000,        1181.443,           0.000,           0.048
         672.514,         221.778,          13.790,           5.777,          27.965,           0.000,          55.633,           0.000,           0.000,        1180.070,           0.000,           0.042
         696.514,         221.778,          13.790,           5.842,          29.525,           0.000,          55.640,           0.000,           0.000,        1178.461,           0.000,           0.039
         720.514,         221.778,          13.790,           5.882,          30.475,           0.000,          55.645,           0.000,           0.000,        1177.478,           0.000,           0.037
         744.514,         221.778,          13.790,           5.922,          31.415,           0.000,          55.649,           0.000,           0.000,        1176.505,           0.000,           0.037
         768.514,         221.778,          13.790,           5.944,          31.920,           0.000,          55.652,           0.000,           0.000,        1175.981,           0.000,           0.036
         792.514,         221.778,          13.790,           5.983,          32.817,           0.000,          55.656,           0.000,           0.000,        1175.050,           0.000,           0.036
         816.514,         221.778,          13.790,           6.042,          34.170,           0.000,          55.659,           0.000,           0.000,        1173.649,           0.000,           0.036
         840.514,         221.778,          13.790,           6.073,          34.865,           0.000,          55.663,           0.000,           0.000,        1172.925,           0.000,           0.036
         864.514,         221.805,          13.791,           6.130,          36.128,           0.000,          55.666,           0.021,           0.000,        1171.617,           0.000,           0.036
         888.382,         247.045,          14.526,           6.306,          36.158,           0.000,          58.241,           0.609,           0.000,        1190.482,           1.312,           0.922
         912.382,         247.057,          14.792,           6.501,          36.279,           0.000,          59.104,           0.351,           0.000,        1190.475,           0.634,           0.433
         936.382,         247.057,          15.059,           6.964,          36.870,           0.000,          59.404,           0.085,           0.000,        1189.784,           0.177,           0.233
         960.382,         247.057,          15.139,           7.275,          38.846,           0.000,          59.527,           0.004,           0.000,        1187.691,           0.001,           0.120
         984.382,         247.057,          15.143,           7.330,          40.223,           0.000,          59.577,           0.001,           0.000,        1186.276,           0.000,           0.073
        1008.382,         247.057,          15.144,           7.401,          42.046,           0.000,          59.599,           0.000,           0.000,        1184.406,           0.000,           0.054
        1032.382,         247.057,          15.144,           7.440,          43.026,           0.000,          59.611,           0.000,           0.000,        1183.397,           0.000,           0.045
        1056.382,         247.057,          15.144,           7.465,          43.643,           0.000,          59.618,           0.000,           0.000,        1182.760,           0.000,           0.041
        1080.382,         247.057,          15.144,           7.502,          44.545,           0.000,          59.624,           0.000,           0.000,        1181.830,           0.000,           0.038
        1104.382,         247.057,          15.144,           7.557,          45.894,           0.000,          59.629,           0.000,           0.000,        1180.438,           0.000,           0.037
        1128.382,         247.057,          15.144,           7.602,          46.975,           0.000,          59.632,           0.000,           0.000,        1179.320,           0.000,           0.036
        1152.382,         247.057,          15.144,           7.626,          47.542,           0.000,          59.636,           0.000,           0.000,        1178.732,           0.000,           0.036
        1176.382,         247.057,          15.144,           7.654,          48.185,           0.000,          59.640,           0.000,           0.000,        1178.066,           0.000,           0.036
        1200.167,         257.312,          16.341,           7.728,          49.100,           0.000,          59.652,           0.703,           0.000,        1185.325,           0.000,           0.092
        1224.665,         279.186,          17.325,           7.984,          49.100,           0.000,          62.953,           0.650,           0.000,        1196.950,           3.953,           1.945
        1248.620,         279.309,          17.685,           8.436,          49.115,           0.000,          65.598,           0.392,           0.000,        1197.117,           1.767,           0.873
        1272.620,         279.309,          17.835,           8.812,          49.140,           0.000,          66.465,           0.243,           0.000,        1197.069,           0.920,           0.500
        1296.620,         279.309,          18.065,           9.955,          50.707,           0.000,          66.809,           0.012,           0.000,        1195.215,           0.025,           0.214
        1320.620,         279.309,          18.074,          10.034,          51.902,           0.000,          66.920,           0.003,           0.000,        1193.978,           0.000,           0.106
        1344.620,         279.309,          18.076,          10.060,          52.608,           0.000,          66.961,           0.001,           0.000,        1193.253,           0.000,           0.068
        1368.620,         279.327,          18.081,          10.082,          53.224,           0.000,          66.980,           0.011,           0.000,        1192.626,           0.000,           0.053
        1392.620,         279.376,          18.104,          10.112,          54.023,           0.000,          66.991,           0.030,           0.000,        1191.814,           0.000,           0.045
        1416.003,         280.007,          18.267,          10.146,          54.811,           0.000,          66.999,           0.232,           0.000,        1191.265,           0.000,           0.044
        1440.342,         293.424,          18.646,          10.196,          55.029,           0.000,          67.031,           1.347,           0.000,        1196.292,           5.143,           1.697
        1464.196,         295.674,          19.253,          10.391,          55.030,           0.000,          70.448,           0.772,           0.000,        1197.170,           3.023,           1.547
