Simulated discharge at the outlet at every model timestep.
Date_yyyy-mm-dd_hours(iso8601format),Time(hours),Outlet_Discharge(m3/s)
1977-10-01T00:03:00,.05000,.00000
1977-10-01T00:06:05,.10150,.00000
1977-10-01T00:09:16,.15455,.00000
1977-10-01T00:12:33,.20918,.00000
1977-10-01T00:15:55,.26546,.00000
1977-10-01T00:19:24,.32342,.00000
1977-10-01T00:22:59,.38312,.00000
1977-10-01T00:26:40,.44462,.00000
1977-10-01T00:30:28,.50796,.00000
1977-10-01T00:34:23,.57319,.00000
1977-10-01T00:38:25,.64039,.00000
1977-10-01T00:42:34,.70960,.00000
1977-10-01T00:46:51,.78089,.00000
1977-10-01T00:51:15,.85432,.00000
1977-10-01T00:55:47,.92995,.00000
1977-10-01T01:00:28,1.00784,.00000
1977-10-01T01:05:17,1.08808,.00000
1977-10-01T01:10:14,1.17072,.00000
1977-10-01T01:15:21,1.25584,.00000
1977-10-01T01:20:36,1.34352,.00000
1977-10-01T01:26:01,1.43382,.00000
1977-10-01T01:31:36,1.52684,.02055
1977-10-01T01:37:21,1.62264,.04687
1977-10-01T01:43:16,1.72132,.07794
1977-10-01T01:49:22,1.82296,.11327
1977-10-01T01:55:39,1.92765,.15221
1977-10-01T02:02:07,2.03548,.19412
1977-10-01T02:08:47,2.14655,.23839
1977-10-01T02:15:39,2.26094,.28443
1977-10-01T02:22:43,2.37877,.33166
1977-10-01T02:30:00,2.50013,.37954
1977-10-01T02:37:30,2.62514,.42756
1977-10-01T02:45:14,2.75389,.47523
1977-10-01T02:53:11,2.88651,.52210
1977-10-01T03:01:23,3.02310,.56777
1977-10-01T03:09:49,3.16380,.61188
1977-10-01T03:18:31,3.30871,.65410
1977-10-01T03:27:28,3.45797,.69418
1977-10-01T03:36:42,3.61171,.73188
1977-10-01T03:46:12,3.77006,.76705
1977-10-01T03:55:59,3.93316,.79955
1977-10-01T04:06:04,4.10116,.82930
1977-10-01T04:16:27,4.27419,.85626
1977-10-01T04:27:08,4.45242,.88042
1977-10-01T04:38:09,4.63599,.90181
1977-10-01T04:49:30,4.82507,.92048
1977-10-01T05:01:11,5.01983,.93652
1977-10-01T05:13:13,5.22042,.95002
1977-10-01T05:25:37,5.42703,.96111
1977-10-01T05:38:23,5.63984,.96993
1977-10-01T05:51:32,5.85904,.97660
1977-10-01T06:05:05,6.08481,.98130
1977-10-01T06:19:02,6.31735,.98417
1977-10-01T06:33:24,6.55687,.98539
1977-10-01T06:48:12,6.80358,.98510
1977-10-01T07:03:27,7.05769,.98348
1977-10-01T07:19:09,7.31942,.98068
1977-10-01T07:35:20,7.58900,.97687
1977-10-01T07:52:00,7.86667,.97219
1977-10-01T08:09:09,8.15267,.96680
1977-10-01T08:26:50,8.44725,.96085
1977-10-01T08:45:02,8.75067,.95446
1977-10-01T09:03:47,9.06319,.94779
1977-10-01T09:23:06,9.38509,.94095
1977-10-01T09:42:59,9.71664,.93408
1977-10-01T10:03:29,10.05814,.92728
1977-10-01T10:24:35,10.40988,.92070
1977-10-01T10:46:19,10.77218,.91446
1977-10-01T11:08:43,11.14534,.90867
1977-10-01T11:31:46,11.52970,.90341
1977-10-01T11:55:32,11.92559,.89879
1977-10-01T12:20:00,12.33336,.89489
1977-10-01T12:45:12,12.75336,.89182
1977-10-01T13:11:09,13.18596,.88966
1977-10-01T13:37:53,13.63154,.88850
1977-10-01T14:05:25,14.09049,.88842
1977-10-01T14:33:47,14.56320,.88949
1977-10-01T15:03:00,15.05010,.89176
1977-10-01T15:33:05,15.55160,.89525
1977-10-01T16:04:05,16.06815,.89995
1977-10-01T16:36:00,16.60020,.90578
1977-10-01T17:08:53,17.14820,.91262
1977-10-01T17:42:45,17.71265,.92026
1977-10-01T18:17:38,18.29403,.92840
1977-10-01T18:53:34,18.89285,.93668
1977-10-01T19:30:34,19.50963,.94464
1977-10-01T20:08:41,20.14492,.95178
1977-10-01T20:47:57,20.79927,.95758
1977-10-01T21:28:23,21.47325,.96151
1977-10-01T22:10:02,22.16745,.96307
1977-10-01T22:52:56,22.88247,.96187
1977-10-01T23:37:08,23.61894,.95759
1977-10-02T00:22:39,24.37751,.95003
1977-10-02T01:09:31,25.15884,.93913
