Water_Table_depth(m_below_ground). A negative number means there is surface water with the absolute value the depth of surface water
Time(hours), Element-84, Element-84, Element-101, Element-112
      0.05,    -11.00,    -11.00,    -42.00,    -25.00
     24.38,    -10.98,    -10.98,    -41.98,    -24.98
     48.32,    -10.97,    -10.97,    -41.97,    -24.97
     72.32,    -10.96,    -10.96,    -41.96,    -24.96
     96.32,    -10.96,    -10.96,    -41.95,    -24.95
    120.03,    -10.95,    -10.95,    -41.95,    -24.95
    144.08,    -11.26,    -11.26,    -42.20,    -25.21
    168.59,    -11.76,    -11.76,    -42.64,    -25.71
    192.76,    -11.78,    -11.78,    -42.68,    -25.74
    216.06,    -11.80,    -11.80,    -42.68,    -25.74
    240.02,    -11.79,    -11.79,    -42.67,    -25.73
    264.02,    -11.77,    -11.77,    -42.65,    -25.71
    288.02,    -11.75,    -11.75,    -42.63,    -25.69
    312.02,    -11.72,    -11.72,    -42.61,    -25.66
    336.31,    -11.77,    -11.77,    -42.62,    -25.68
    360.20,    -12.09,    -12.09,    -42.75,    -25.81
    384.26,    -12.09,    -12.09,    -42.76,    -25.82
    408.18,    -12.41,    -12.41,    -42.86,    -25.93
    432.77,    -12.39,    -12.39,    -42.86,    -25.93
    456.05,    -12.44,    -12.44,    -42.88,    -25.94
    480.30,    -12.99,    -12.99,    -43.11,    -26.18
    504.08,    -12.89,    -12.89,    -43.23,    -26.31
    528.51,    -12.83,    -12.83,    -43.30,    -26.36
    552.51,    -12.79,    -12.79,    -43.28,    -26.34
    576.51,    -12.76,    -12.76,    -43.27,    -26.33
    600.51,    -12.74,    -12.74,    -43.26,    -26.32
    624.51,    -12.70,    -12.70,    -43.24,    -26.30
    648.51,    -12.68,    -12.68,    -43.23,    -26.29
    672.51,    -12.65,    -12.65,    -43.21,    -26.27
    696.51,    -12.62,    -12.62,    -43.19,    -26.25
    720.51,    -12.60,    -12.60,    -43.18,    -26.24
    744.51,    -12.59,    -12.59,    -43.17,    -26.23
    768.51,    -12.58,    -12.58,    -43.16,    -26.22
    792.51,    -12.56,    -12.56,    -43.15,    -26.21
    816.51,    -12.54,    -12.54,    -43.13,    -26.19
    840.51,    -12.53,    -12.53,    -43.12,    -26.18
    864.51,    -12.50,    -12.50,    -43.11,    -26.16
    888.38,    -12.90,    -12.90,    -43.45,    -26.51
    912.38,    -12.88,    -12.88,    -43.45,    -26.51
    936.38,    -12.85,    -12.85,    -43.44,    -26.49
    960.38,    -12.79,    -12.79,    -43.41,    -26.47
    984.38,    -12.76,    -12.76,    -43.39,    -26.45
   1008.38,    -12.71,    -12.71,    -43.37,    -26.42
   1032.38,    -12.69,    -12.69,    -43.36,    -26.41
   1056.38,    -12.68,    -12.68,    -43.35,    -26.41
   1080.38,    -12.66,    -12.66,    -43.34,    -26.39
   1104.38,    -12.63,    -12.63,    -43.32,    -26.37
   1128.38,    -12.61,    -12.61,    -43.31,    -26.36
   1152.38,    -12.60,    -12.60,    -43.30,    -26.35
   1176.38,    -12.59,    -12.59,    -43.29,    -26.34
   1200.17,    -12.71,    -12.71,    -43.43,    -26.49
   1224.66,    -13.00,    -13.00,    -43.99,    -27.00
   1248.62,    -13.00,    -13.00,    -43.96,    -27.00
   1272.62,    -13.00,    -13.00,    -43.95,    -27.00
   1296.62,    -12.91,    -12.91,    -43.88,    -26.92
   1320.62,    -12.87,    -12.87,    -43.84,    -26.88
   1344.62,    -12.85,    -12.85,    -43.82,    -26.86
   1368.62,    -12.83,    -12.83,    -43.81,    -26.84
   1392.62,    -12.81,    -12.81,    -43.79,    -26.82
   1416.00,    -12.79,    -12.79,    -43.77,    -26.80
   1440.34,    -13.00,    -13.00,    -43.99,    -27.00
   1464.20,    -13.00,    -13.00,    -44.00,    -27.00
