Date_dd/mm/yyyy_hours  Time(hours)  Outlet_Discharge(m3/s)
01/10/1977_00:03:00          0.05000000          0.00000000
01/10/1977_00:06:05          0.10150000          0.00000000
01/10/1977_00:09:16          0.15454500          0.00000000
01/10/1977_00:12:33          0.20918135          0.00000000
01/10/1977_00:15:55          0.26545679          0.00000000
01/10/1977_00:19:24          0.32342049          0.00000000
01/10/1977_00:22:59          0.38312311          0.00000000
01/10/1977_00:26:40          0.44461680          0.00000000
01/10/1977_00:30:28          0.50795531          0.00000000
01/10/1977_00:34:23          0.57319397          0.00000000
01/10/1977_00:38:25          0.64038978          0.00000000
01/10/1977_00:42:34          0.70960148          0.00000000
01/10/1977_00:46:51          0.78088952          0.00000000
01/10/1977_00:51:15          0.85431621          0.00000000
01/10/1977_00:55:47          0.92994569          0.00000000
01/10/1977_01:00:28          1.00784407          0.00000000
01/10/1977_01:05:17          1.08807939          0.00000000
01/10/1977_01:10:14          1.17072177          0.00000000
01/10/1977_01:15:21          1.25584342          0.00000000
01/10/1977_01:20:36          1.34351872          0.00000000
01/10/1977_01:26:01          1.43382429          0.00000000
01/10/1977_01:31:36          1.52683901          0.02054692
01/10/1977_01:37:21          1.62264419          0.04687174
01/10/1977_01:43:16          1.72132351          0.07794347
01/10/1977_01:49:22          1.82296322          0.11327476
01/10/1977_01:55:39          1.92765211          0.15221365
01/10/1977_02:02:07          2.03548168          0.19412363
01/10/1977_02:08:47          2.14654613          0.23839163
01/10/1977_02:15:39          2.26094251          0.28442627
01/10/1977_02:22:43          2.37877079          0.33165861
01/10/1977_02:30:00          2.50013391          0.37954289
01/10/1977_02:37:30          2.62513793          0.42756224
01/10/1977_02:45:14          2.75389206          0.47523195
01/10/1977_02:53:11          2.88650883          0.52210488
01/10/1977_03:01:23          3.02310409          0.56777438
01/10/1977_03:09:49          3.16379721          0.61187851
01/10/1977_03:18:31          3.30871113          0.65410141
01/10/1977_03:27:28          3.45797246          0.69417534
01/10/1977_03:36:42          3.61171164          0.73188142
01/10/1977_03:46:12          3.77006299          0.76704804
01/10/1977_03:55:59          3.93316488          0.79954880
01/10/1977_04:06:04          4.10115982          0.82930055
01/10/1977_04:16:27          4.27419462          0.85626012
01/10/1977_04:27:08          4.45242046          0.88042100
01/10/1977_04:38:09          4.63599307          0.90180991
01/10/1977_04:49:30          4.82507286          0.92048251
01/10/1977_05:01:11          5.01982505          0.93651975
01/10/1977_05:13:13          5.22041980          0.95002386
01/10/1977_05:25:37          5.42703239          0.96111473
01/10/1977_05:38:23          5.63984336          0.96992647
01/10/1977_05:51:32          5.85903867          0.97660383
01/10/1977_06:05:05          6.08480983          0.98129992
01/10/1977_06:19:02          6.31735412          0.98417315
01/10/1977_06:33:24          6.55687474          0.98538504
01/10/1977_06:48:12          6.80358099          0.98509873
01/10/1977_07:03:27          7.05768842          0.98347659
01/10/1977_07:19:09          7.31941907          0.98067970
01/10/1977_07:35:20          7.58900164          0.97686602
01/10/1977_07:52:00          7.86667169          0.97218996
01/10/1977_08:09:09          8.15267184          0.96680169
01/10/1977_08:26:50          8.44725200          0.96084620
01/10/1977_08:45:02          8.75066956          0.95446372
01/10/1977_09:03:47          9.06318964          0.94778908
01/10/1977_09:23:06          9.38508533          0.94095155
01/10/1977_09:42:59          9.71663789          0.93407544
01/10/1977_10:03:29         10.05813703          0.92728008
01/10/1977_10:24:35         10.40988114          0.92069855
01/10/1977_10:46:19         10.77217757          0.91446079
01/10/1977_11:08:43         11.14534290          0.90866520
01/10/1977_11:31:46         11.52970319          0.90340850
01/10/1977_11:55:32         11.92559428          0.89878608
01/10/1977_12:20:00         12.33336211          0.89489246
01/10/1977_12:45:12         12.75336297          0.89182040
01/10/1977_13:11:09         13.18596386          0.88966086
01/10/1977_13:37:53         13.63154278          0.88850088
01/10/1977_14:05:25         14.09048906          0.88842108
01/10/1977_14:33:47         14.56320373          0.88949032
01/10/1977_15:03:00         15.05009985          0.89175890
01/10/1977_15:33:05         15.55160284          0.89524953
01/10/1977_16:04:05         16.06815093          0.89994610
01/10/1977_16:36:00         16.60019546          0.90578056
01/10/1977_17:08:53         17.14820132          0.91262026
01/10/1977_17:42:45         17.71264736          0.92025675
01/10/1977_18:17:38         18.29402678          0.92839929
01/10/1977_18:53:34         18.89284758          0.93667523
01/10/1977_19:30:34         19.50963301          0.94463713
01/10/1977_20:08:41         20.14492200          0.95178285
01/10/1977_20:47:57         20.79926966          0.95758161
01/10/1977_21:28:23         21.47324775          0.96150744
01/10/1977_22:10:02         22.16744518          0.96307480
01/10/1977_22:52:56         22.88246854          0.96187195
01/10/1977_23:37:08         23.61894259          0.95758793
02/10/1977_00:22:39         24.37751087          0.95002969
02/10/1977_01:09:31         25.15883620          0.93912801
02/10/1977_01:57:48         25.96360128          0.92493454
02/10/1977_02:47:33         26.79250932          0.90760740
02/10/1977_03:38:46         27.64628460          0.88739432
02/10/1977_04:31:32         28.52567314          0.86460843
02/10/1977_05:25:53         29.43144333          0.83960564
02/10/1977_06:21:51         30.36438663          0.81276539
02/10/1977_07:19:31         31.32531823          0.78447054
02/10/1977_08:18:54         32.31507778          0.75509291
02/10/1977_09:18:54         33.31507778          0.72554286
02/10/1977_10:18:54         34.31507778          0.69641274
