          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.000,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,        1060.773,           0.000,           0.000
          24.378,           0.000,           0.000,           0.082,           1.345,           0.349,           0.000,           0.000,           0.000,        1059.689,           0.000,           0.000
          48.315,           0.000,           0.000,           0.166,           2.728,           1.116,           0.000,           0.000,           0.000,        1058.978,           0.000,           0.000
          72.315,           0.000,           0.000,           0.220,           3.615,           2.207,           0.000,           0.000,           0.000,        1059.117,           0.000,           0.000
          96.315,           0.000,           0.000,           0.267,           4.392,           3.584,           0.000,           0.000,           0.000,        1059.660,           0.000,           0.000
         120.033,          40.000,           0.221,           0.329,           4.945,           5.184,           0.000,           2.366,           0.000,        1074.092,          23.998,           0.000
         144.076,         160.277,           2.724,           1.187,           4.945,           6.893,           0.000,           0.760,           0.000,        1118.520,         100.163,           0.000
         168.594,         160.277,           3.440,           3.657,           4.945,           7.330,           0.000,           0.044,           0.000,        1144.258,          72.081,           0.000
         192.594,         160.277,           3.483,           8.153,           4.945,           4.552,           0.000,           0.001,           0.000,        1162.925,          45.741,           0.000
         216.594,         160.277,           3.483,          10.310,           4.945,          -1.605,           0.000,           0.000,           0.000,        1175.747,          24.363,           0.000
         240.594,         160.277,           3.484,          13.704,           4.945,         -10.123,           0.000,           0.000,           0.000,        1182.906,           5.188,           0.000
         264.594,         160.277,           3.484,          14.828,           6.045,         -19.418,           0.000,           0.000,           0.000,        1176.819,           0.000,           0.000
         288.594,         160.277,           3.484,          14.911,           7.704,         -27.801,           0.000,           0.000,           0.000,        1166.769,           0.000,           0.000
         312.594,         160.277,           3.484,          15.022,           9.782,         -34.780,           0.000,           0.000,           0.000,        1157.622,           0.000,           0.000
         336.594,         160.277,           3.484,          15.081,          10.846,         -40.674,           0.000,           0.000,           0.000,        1150.605,           0.000,           0.000
         360.594,         160.277,           3.484,          15.200,          12.916,         -45.358,           0.000,           0.000,           0.000,        1143.747,           0.000,           0.000
         384.324,         167.609,           4.006,          15.272,          13.893,         -49.105,           0.000,           0.972,           0.000,        1144.756,           0.000,           0.000
         408.823,         190.490,           6.298,          15.527,          14.032,         -52.691,           0.000,           0.383,           0.000,        1161.933,           0.000,           0.000
         432.808,         190.490,           6.677,          15.640,          15.791,         -56.976,           0.000,           0.004,           0.000,        1155.634,           0.000,           0.000
