Simulated discharge at the outlet at every model timestep.
Date_yyyy-mm-dd_hours(iso8601format),Time(hours),Outlet_Discharge(m3/s)
1990-01-01T00:03:00,.05000,.00000
1990-01-01T00:06:05,.10150,.00000
1990-01-01T00:09:16,.15455,.00000
1990-01-01T00:12:33,.20918,.00000
1990-01-01T00:15:55,.26546,.00000
1990-01-01T00:19:24,.32342,.00000
1990-01-01T00:22:59,.38312,.00000
1990-01-01T00:26:40,.44462,.00000
1990-01-01T00:30:28,.50796,.00000
1990-01-01T00:34:23,.57319,.00000
1990-01-01T00:38:25,.64039,.00000
1990-01-01T00:42:34,.70960,.00000
1990-01-01T00:46:51,.78089,.00000
1990-01-01T00:51:15,.85432,.00000
1990-01-01T00:55:47,.92995,.00000
1990-01-01T01:00:28,1.00784,.00000
1990-01-01T01:05:17,1.08808,.00000
1990-01-01T01:10:14,1.17072,.00000
1990-01-01T01:15:21,1.25584,.00000
1990-01-01T01:20:36,1.34352,.00000
1990-01-01T01:26:01,1.43382,.00000
1990-01-01T01:31:36,1.52684,.00000
1990-01-01T01:37:21,1.62264,.00000
1990-01-01T01:43:16,1.72132,.00000
1990-01-01T01:49:22,1.82296,.00000
1990-01-01T01:55:39,1.92765,.00000
1990-01-01T02:02:07,2.03548,.00000
1990-01-01T02:08:47,2.14655,.00000
1990-01-01T02:15:39,2.26094,.00000
1990-01-01T02:22:43,2.37877,.00000
1990-01-01T02:30:00,2.50013,.00000
1990-01-01T02:37:30,2.62514,.00000
1990-01-01T02:45:14,2.75389,.00000
1990-01-01T02:53:11,2.88651,.00000
1990-01-01T03:01:23,3.02310,.00000
1990-01-01T03:09:49,3.16380,.00000
1990-01-01T03:18:31,3.30871,.00000
1990-01-01T03:27:28,3.45797,.00000
1990-01-01T03:36:42,3.61171,.00000
1990-01-01T03:46:12,3.77006,.00000
1990-01-01T03:55:59,3.93316,.00000
1990-01-01T04:06:04,4.10116,.00000
1990-01-01T04:16:27,4.27419,.00000
1990-01-01T04:27:08,4.45242,.00000
1990-01-01T04:38:09,4.63599,.00000
1990-01-01T04:49:30,4.82507,.00000
1990-01-01T05:01:11,5.01983,.00000
1990-01-01T05:13:13,5.22042,.00000
1990-01-01T05:25:37,5.42703,.00000
1990-01-01T05:38:23,5.63984,.00000
1990-01-01T05:51:32,5.85904,.00000
1990-01-01T06:05:05,6.08481,.00000
1990-01-01T06:19:02,6.31735,.00000
1990-01-01T06:33:24,6.55687,.00000
1990-01-01T06:48:12,6.80358,.00000
1990-01-01T07:03:27,7.05769,.00000
1990-01-01T07:19:09,7.31942,.00000
1990-01-01T07:35:20,7.58900,.00000
1990-01-01T07:52:00,7.86667,.00000
1990-01-01T08:09:09,8.15267,.00000
1990-01-01T08:26:50,8.44725,.00000
1990-01-01T08:45:02,8.75067,.00000
1990-01-01T09:03:47,9.06319,.00000
1990-01-01T09:23:06,9.38509,.00000
1990-01-01T09:42:59,9.71664,.00000
1990-01-01T10:03:29,10.05814,.00000
1990-01-01T10:24:35,10.40988,.00000
1990-01-01T10:46:19,10.77218,.00000
1990-01-01T11:08:43,11.14534,.00000
1990-01-01T11:31:46,11.52970,.00000
1990-01-01T11:55:32,11.92559,.00000
1990-01-01T12:20:00,12.33336,.00000
1990-01-01T12:45:12,12.75336,.00000
1990-01-01T13:11:09,13.18596,.00000
1990-01-01T13:37:53,13.63154,.00000
1990-01-01T14:05:25,14.09049,.00000
1990-01-01T14:33:47,14.56320,.00000
1990-01-01T15:03:00,15.05010,.00000
1990-01-01T15:33:05,15.55160,.00000
1990-01-01T16:04:05,16.06815,.00000
1990-01-01T16:36:00,16.60020,.00000
1990-01-01T17:08:53,17.14820,.00000
1990-01-01T17:42:45,17.71265,.00000
1990-01-01T18:17:38,18.29403,.00000
1990-01-01T18:53:34,18.89285,.00000
1990-01-01T19:30:34,19.50963,.00000
1990-01-01T20:08:41,20.14492,.00000
1990-01-01T20:47:57,20.79927,.00000
1990-01-01T21:28:23,21.47325,.00000
1990-01-01T22:10:02,22.16745,.00000
1990-01-01T22:52:56,22.88247,.00000
1990-01-01T23:37:08,23.61894,.00000
1990-01-02T00:22:39,24.37751,.00000
1990-01-02T01:09:31,25.15884,.00000
1990-01-02T01:57:48,25.96360,.00000
1990-01-02T02:47:33,26.79251,.00000
1990-01-02T03:38:46,27.64628,.00000
1990-01-02T04:31:32,28.52567,.00000
1990-01-02T05:25:53,29.43144,.00000
1990-01-02T06:21:51,30.36439,.00000
1990-01-02T07:19:31,31.32532,.00000
1990-01-02T08:18:54,32.31508,.00000
1990-01-02T09:18:54,33.31508,.00000
1990-01-02T10:18:54,34.31508,.00000
1990-01-02T11:18:54,35.31508,.00000
1990-01-02T12:18:54,36.31508,.00000
1990-01-02T13:18:54,37.31508,.00000
1990-01-02T14:18:54,38.31508,.00000
1990-01-02T15:18:54,39.31508,.00000
1990-01-02T16:18:54,40.31508,.00000
1990-01-02T17:18:54,41.31508,.00000
1990-01-02T18:18:54,42.31508,.00000
1990-01-02T19:18:54,43.31508,.00000
1990-01-02T20:18:54,44.31508,.00000
1990-01-02T21:18:54,45.31508,.00000
1990-01-02T22:18:54,46.31508,.00000
1990-01-02T23:18:54,47.31508,.00000
1990-01-03T00:18:54,48.31508,.00000
1990-01-03T01:18:54,49.31508,.00000
1990-01-03T02:18:54,50.31508,.00000
1990-01-03T03:18:54,51.31508,.00000
1990-01-03T04:18:54,52.31508,.00000
1990-01-03T05:18:54,53.31508,.00000
1990-01-03T06:18:54,54.31508,.00000
1990-01-03T07:18:54,55.31508,.00000
1990-01-03T08:18:54,56.31508,.00000
1990-01-03T09:18:54,57.31508,.00000
1990-01-03T10:18:54,58.31508,.00000
1990-01-03T11:18:54,59.31508,.00000
1990-01-03T12:18:54,60.31508,.00000
1990-01-03T13:18:54,61.31508,.00000
1990-01-03T14:18:54,62.31508,.00000
1990-01-03T15:18:54,63.31508,.00000
1990-01-03T16:18:54,64.31508,.00000
1990-01-03T17:18:54,65.31508,.00000
1990-01-03T18:18:54,66.31508,.00000
1990-01-03T19:18:54,67.31508,.00000
1990-01-03T20:18:54,68.31508,.00000
1990-01-03T21:18:54,69.31508,.00000
1990-01-03T22:18:54,70.31508,.00000
1990-01-03T23:18:54,71.31508,.00000
1990-01-04T00:18:54,72.31508,.00000
1990-01-04T01:18:54,73.31508,.00000
1990-01-04T02:18:54,74.31508,.00000
1990-01-04T03:18:54,75.31508,.00000
1990-01-04T04:18:54,76.31508,.00000
1990-01-04T05:18:54,77.31508,.00000
1990-01-04T06:18:54,78.31508,.00000
1990-01-04T07:18:54,79.31508,.00000
1990-01-04T08:18:54,80.31508,.00000
1990-01-04T09:18:54,81.31508,.00000
1990-01-04T10:18:54,82.31508,.00000
1990-01-04T11:18:54,83.31508,.00000
1990-01-04T12:18:54,84.31508,.00000
1990-01-04T13:18:54,85.31508,.00000
1990-01-04T14:18:54,86.31508,.00000
1990-01-04T15:18:54,87.31508,.00000
1990-01-04T16:18:54,88.31508,.00000
1990-01-04T17:18:54,89.31508,.00000
1990-01-04T18:18:54,90.31508,.00000
1990-01-04T19:18:54,91.31508,.00000
1990-01-04T20:18:54,92.31508,.00000
1990-01-04T21:18:54,93.31508,.00000
1990-01-04T22:18:54,94.31508,.00000
1990-01-04T23:18:54,95.31508,.00000
1990-01-05T00:18:54,96.31508,.00000
1990-01-05T01:18:54,97.31508,.00000
1990-01-05T02:18:54,98.31508,.00000
1990-01-05T03:18:54,99.31508,.00000
1990-01-05T04:18:54,100.31508,.00000
1990-01-05T05:18:54,101.31508,.00000
1990-01-05T06:18:54,102.31508,.00000
1990-01-05T07:18:54,103.31508,.00000
1990-01-05T08:18:54,104.31508,.00000
1990-01-05T09:18:54,105.31508,.00000
1990-01-05T10:18:54,106.31508,.00000
1990-01-05T11:18:54,107.31508,.00000
1990-01-05T12:18:54,108.31508,.00000
1990-01-05T13:18:54,109.31508,.00000
1990-01-05T14:18:54,110.31508,.00000
1990-01-05T15:18:54,111.31508,.00000
1990-01-05T16:18:54,112.31508,.00000
1990-01-05T17:18:54,113.31508,.00000
1990-01-05T18:18:54,114.31508,.00000
1990-01-05T19:18:54,115.31508,.00000
1990-01-05T20:18:54,116.31508,.00000
1990-01-05T21:18:54,117.31508,.00000
1990-01-05T22:18:54,118.31508,.00000
1990-01-05T23:18:54,119.31508,.00000
1990-01-06T00:18:54,120.31508,.00000
1990-01-06T01:18:54,121.31508,.00000
1990-01-06T02:18:54,122.31508,.00000
1990-01-06T03:18:54,123.31508,.00000
1990-01-06T04:18:54,124.31508,.00000
1990-01-06T05:18:54,125.31508,.00000
1990-01-06T06:18:54,126.31508,.00000
1990-01-06T07:18:54,127.31508,.00000
1990-01-06T08:18:54,128.31508,.00000
1990-01-06T09:18:54,129.31508,.00000
1990-01-06T10:18:54,130.31508,.00000
1990-01-06T11:18:54,131.31508,.00000
1990-01-06T12:18:54,132.31508,.00000
1990-01-06T13:18:54,133.31508,.00000
1990-01-06T14:18:54,134.31508,.00000
1990-01-06T15:18:54,135.31508,.00000
1990-01-06T16:18:54,136.31508,.00000
1990-01-06T17:18:54,137.31508,.00000
1990-01-06T18:18:54,138.31508,.00000
1990-01-06T19:18:54,139.31508,.00000
1990-01-06T20:18:54,140.31508,.00000
1990-01-06T21:18:54,141.31508,.00000
1990-01-06T22:18:54,142.31508,.00000
1990-01-06T23:18:54,143.31508,.00000
1990-01-07T00:18:54,144.31508,.00000
1990-01-07T01:18:54,145.31508,.00000
1990-01-07T02:18:54,146.31508,.00000
1990-01-07T03:18:54,147.31508,.00000
1990-01-07T04:18:54,148.31508,.00000
1990-01-07T05:18:54,149.31508,.00000
1990-01-07T06:18:54,150.31508,.00000
1990-01-07T07:18:54,151.31508,.00000
1990-01-07T08:18:54,152.31508,.00000
1990-01-07T09:18:54,153.31508,.00000
1990-01-07T10:18:54,154.31508,.00000
1990-01-07T11:18:54,155.31508,.00000
1990-01-07T12:18:54,156.31508,.00000
1990-01-07T13:18:54,157.31508,.00000
1990-01-07T14:18:54,158.31508,.00000
1990-01-07T15:18:54,159.31508,.00000
1990-01-07T16:18:54,160.31508,.00000
1990-01-07T17:18:54,161.31508,.00000
1990-01-07T18:18:54,162.31508,.00000
1990-01-07T19:18:54,163.31508,.00000
1990-01-07T20:18:54,164.31508,.00000
1990-01-07T21:18:54,165.31508,.00000
1990-01-07T22:18:54,166.31508,.00000
1990-01-07T23:18:54,167.31508,.00000
1990-01-08T00:18:54,168.31508,.00000
1990-01-08T01:18:54,169.31508,.00000
1990-01-08T02:18:54,170.31508,.00000
1990-01-08T03:18:54,171.31508,.00000
1990-01-08T04:18:54,172.31508,.00000
1990-01-08T05:18:54,173.31508,.00000
1990-01-08T06:18:54,174.31508,.00000
1990-01-08T07:18:54,175.31508,.00000
1990-01-08T08:18:54,176.31508,.00000
1990-01-08T09:18:54,177.31508,.00000
1990-01-08T10:18:54,178.31508,.00000
