          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.004,           0.000,           0.000,           0.002,           0.000,           0.000,           0.004,           0.000,        4149.992,           0.000,           0.000
          24.378,           2.031,           0.778,           0.000,           0.226,           0.006,           0.000,           0.837,           0.000,        4150.193,           0.000,           0.000
          48.315,           4.026,           1.775,           0.000,           0.226,          -0.018,           0.000,           0.868,           0.000,        4151.144,           0.000,           0.000
          72.315,           6.026,           2.775,           0.000,           0.226,          -0.101,           0.000,           0.872,           0.000,        4152.064,           0.000,           0.000
          96.315,           8.026,           3.775,           0.000,           0.226,          -0.241,           0.000,           0.873,           0.000,        4152.931,           0.000,           0.000
         120.315,          10.026,           4.775,           0.000,           0.226,          -0.434,           0.000,           0.873,           0.000,        4153.745,           0.000,           0.000
         144.315,          12.026,           5.775,           0.000,           0.226,          -0.678,           0.000,           0.873,           0.000,        4154.508,           0.000,           0.000
         168.315,          14.026,           6.775,           0.000,           0.226,          -0.968,           0.000,           0.873,           0.000,        4155.223,           0.000,           0.000
         192.315,          16.026,           7.775,           0.000,           0.226,          -1.303,           0.000,           0.873,           0.000,        4155.894,           0.000,           0.000
         216.315,          18.026,           8.775,           0.000,           0.226,          -1.679,           0.000,           0.873,           0.000,        4156.524,           0.000,           0.000
         240.315,          20.026,           9.775,           0.000,           0.226,          -2.094,           0.000,           0.873,           0.000,        4157.114,           0.000,           0.000
         264.315,          22.000,          10.775,           0.000,           0.226,          -2.545,           0.000,           0.848,           0.000,        4157.658,           0.000,           0.000
         288.315,          22.000,          11.362,           0.000,           0.619,          -3.012,           0.000,           0.225,           0.000,        4156.834,           0.000,           0.000
         312.315,          22.000,          11.525,           0.000,           1.416,          -3.425,           0.000,           0.062,           0.000,        4155.614,           0.000,           0.000
         336.315,          22.000,          11.570,           0.000,           2.324,          -3.761,           0.000,           0.017,           0.000,        4154.358,           0.000,           0.000
         360.315,          22.000,          11.583,           0.000,           3.264,          -4.020,           0.000,           0.005,           0.000,        4153.150,           0.000,           0.000
         384.315,          22.000,          11.586,           0.000,           4.211,          -4.203,           0.000,           0.001,           0.000,        4152.009,           0.000,           0.000
         408.315,          22.000,          11.587,           0.000,           5.161,          -4.317,           0.000,           0.000,           0.000,        4150.935,           0.000,           0.000
         432.315,          22.000,          11.588,           0.000,           6.112,          -4.364,           0.000,           0.000,           0.000,        4149.929,           0.000,           0.000
         456.315,          22.000,          11.588,           0.000,           7.062,          -4.348,           0.000,           0.000,           0.000,        4148.985,           0.000,           0.000
         480.315,          22.000,          11.588,           0.000,           8.013,          -4.273,           0.000,           0.000,           0.000,        4148.102,           0.000,           0.000
         504.315,          22.026,          11.589,           0.000,           8.962,          -4.142,           0.000,           0.025,           0.000,        4147.275,           0.000,           0.000
         528.315,          24.026,          12.383,           0.000,           9.158,          -3.970,           0.000,           0.826,           0.000,        4147.661,           0.000,           0.000
         552.315,          26.026,          13.383,           0.000,           9.158,          -3.836,           0.000,           0.866,           0.000,        4148.766,           0.000,           0.000
         576.315,          28.026,          14.383,           0.000,           9.158,          -3.770,           0.000,           0.872,           0.000,        4149.835,           0.000,           0.000
         600.315,          30.026,          15.383,           0.000,           9.158,          -3.772,           0.000,           0.873,           0.000,        4150.841,           0.000,           0.000
         624.315,          32.026,          16.383,           0.000,           9.158,          -3.836,           0.000,           0.873,           0.000,        4151.785,           0.000,           0.000
         648.315,          34.026,          17.383,           0.000,           9.158,          -3.959,           0.000,           0.873,           0.000,        4152.670,           0.000,           0.000
         672.315,          36.026,          18.383,           0.000,           9.158,          -4.136,           0.000,           0.873,           0.000,        4153.500,           0.000,           0.000
         696.315,          38.026,          19.383,           0.000,           9.158,          -4.365,           0.000,           0.873,           0.000,        4154.278,           0.000,           0.000
         720.315,          40.026,          20.383,           0.000,           9.158,          -4.641,           0.000,           0.873,           0.000,        4155.008,           0.000,           0.000
         744.315,          42.026,          21.383,           0.000,           9.158,          -4.963,           0.000,           0.873,           0.000,        4155.693,           0.000,           0.000
         768.315,          44.026,          22.383,           0.000,           9.158,          -5.326,           0.000,           0.873,           0.000,        4156.334,           0.000,           0.000
         792.315,          46.026,          23.383,           0.000,           9.158,          -5.730,           0.000,           0.873,           0.000,        4156.936,           0.000,           0.000
         816.315,          48.026,          24.383,           0.000,           9.158,          -6.170,           0.000,           0.873,           0.000,        4157.495,           0.000,           0.000
         840.315,          50.026,          25.383,           0.000,           9.158,          -6.645,           0.000,           0.873,           0.000,        4158.016,           0.000,           0.000
         864.315,          52.026,          26.383,           0.000,           9.158,          -7.152,           0.000,           0.873,           0.000,        4158.505,           0.000,           0.000
         888.315,          54.026,          27.383,           0.000,           9.158,          -7.690,           0.000,           0.873,           0.000,        4158.965,           0.000,           0.000
         912.315,          56.026,          28.383,           0.000,           9.158,          -8.257,           0.000,           0.873,           0.000,        4159.385,           0.000,           0.000
         936.315,          58.026,          29.383,           0.000,           9.158,          -8.849,           0.000,           0.873,           0.000,        4159.797,           0.000,           0.000
         960.315,          60.026,          30.383,           0.000,           9.158,          -9.467,           0.000,           0.873,           0.000,        4160.183,           0.000,           0.000
         984.315,          62.026,          31.383,           0.000,           9.158,         -10.108,           0.000,           0.873,           0.000,        4160.545,           0.000,           0.000
        1008.315,          64.026,          32.383,           0.000,           9.158,         -10.771,           0.000,           0.873,           0.000,        4160.885,           0.000,           0.000
        1032.315,          66.026,          33.383,           0.000,           9.158,         -11.455,           0.000,           0.873,           0.000,        4161.205,           0.000,           0.000
        1056.315,          68.026,          34.383,           0.000,           9.158,         -12.158,           0.000,           0.873,           0.000,        4161.504,           0.000,           0.000
        1080.315,          70.026,          35.383,           0.000,           9.158,         -12.879,           0.000,           0.873,           0.000,        4161.786,           0.000,           0.000
