Water_Table_depth(m_below_ground). A negative number means there is surface water with the absolute value the depth of surface water
Time(hours), Element-1
      0.05,      2.00
     24.38,      2.00
     48.32,      1.99
     72.32,      1.99
     96.32,      1.98
    120.32,      1.98
    144.32,      1.97
    168.32,      1.97
    192.32,      1.97
    216.32,      1.96
    240.32,      1.96
    264.32,      1.96
    288.32,      1.96
    312.32,      1.97
    336.32,      1.97
    360.32,      1.98
    384.32,      1.99
    408.32,      1.99
    432.32,      2.00
    456.32,      2.01
    480.32,      2.01
    504.32,      2.02
    528.32,      2.01
    552.32,      2.01
    576.32,      2.00
    600.32,      2.00
    624.32,      1.99
    648.32,      1.99
    672.32,      1.98
    696.32,      1.98
    720.32,      1.97
    744.32,      1.97
    768.32,      1.96
    792.32,      1.96
    816.32,      1.96
    840.32,      1.95
    864.32,      1.95
    888.32,      1.95
    912.32,      1.95
    936.32,      1.94
    960.32,      1.94
    984.32,      1.94
   1008.32,      1.94
   1032.32,      1.94
   1056.32,      1.94
   1080.32,      1.93
   1104.32,      1.93
   1128.32,      1.93
   1152.32,      1.93
   1176.32,      1.93
   1200.32,      1.93
   1224.32,      1.93
   1248.32,      1.92
   1272.32,      1.92
   1296.32,      1.92
   1320.32,      1.92
   1344.32,      1.92
   1368.32,      1.92
   1392.32,      1.92
   1416.32,      1.92
   1440.32,      1.92
   1464.32,      1.92
   1488.32,      1.92
   1512.32,      1.92
   1536.32,      1.92
   1560.32,      1.92
   1584.32,      1.92
   1608.32,      1.92
   1632.32,      1.92
   1656.32,      1.91
   1680.32,      1.91
   1704.32,      1.91
   1728.32,      1.91
   1752.32,      1.91
   1776.32,      1.91
   1800.32,      1.91
   1824.32,      1.91
   1848.32,      1.91
   1872.32,      1.91
   1896.32,      1.91
   1920.32,      1.91
   1944.32,      1.91
   1968.32,      1.91
   1992.32,      1.91
   2016.32,      1.91
   2040.32,      1.91
   2064.32,      1.91
   2088.32,      1.91
   2112.32,      1.91
   2136.32,      1.91
   2160.32,      1.91
   2184.32,      1.91
   2208.32,      1.91
   2232.32,      1.91
   2256.32,      1.91
   2280.32,      1.91
   2304.32,      1.91
   2328.32,      1.91
   2352.32,      1.91
   2376.32,      1.91
   2400.32,      1.91
