Contaminant Relative Concentration (contaminant 1) at the outlet
Date_yyyy/mm/dd_hours(iso8601format),Time(hours),Relative_concentration
1989-11-16T01:00:00,1.000,.85467
1989-11-16T02:00:00,2.000,.51885
1989-11-16T03:00:00,3.000,.39283
1989-11-16T04:00:00,4.000,.33540
1989-11-16T05:00:00,5.000,.30008
1989-11-16T06:00:00,6.000,.29653
1989-11-16T07:00:00,7.000,.32041
1989-11-16T08:00:00,8.000,.35109
1989-11-16T09:00:00,9.000,.38613
1989-11-16T10:00:00,10.000,.42432
1989-11-16T11:00:00,11.000,.46390
1989-11-16T12:00:00,12.000,.50276
1989-11-16T13:00:00,13.000,.54299
1989-11-16T14:00:00,14.000,.58059
1989-11-16T15:00:00,15.000,.61446
1989-11-16T16:00:00,16.000,.64379
1989-11-16T17:00:00,17.000,.66922
1989-11-16T18:00:00,18.000,.69172
1989-11-16T19:00:00,19.000,.71155
1989-11-16T20:00:00,20.000,.73047
1989-11-16T21:00:00,21.000,.74706
1989-11-16T22:00:00,22.000,.76163
1989-11-16T23:00:00,23.000,.77478
1989-11-17T00:00:00,24.000,.78689
1989-11-17T01:00:00,25.000,.79662
1989-11-17T02:00:00,26.000,.80591
1989-11-17T03:00:00,27.000,.81529
1989-11-17T04:00:00,28.000,.82313
1989-11-17T05:00:00,29.000,.82980
1989-11-17T06:00:00,30.000,.83567
1989-11-17T07:00:00,31.000,.84121
1989-11-17T08:00:00,32.000,.84655
1989-11-17T09:00:00,33.000,.85146
1989-11-17T10:00:00,34.000,.85608
1989-11-17T11:00:00,35.000,.86065
1989-11-17T12:00:00,36.000,.86491
1989-11-17T13:00:00,37.000,.86912
1989-11-17T14:00:00,38.000,.87313
1989-11-17T15:00:00,39.000,.87707
1989-11-17T16:00:00,40.000,.88118
1989-11-17T17:00:00,41.000,.88524
1989-11-17T18:00:00,42.000,.88529
1989-11-17T19:00:00,43.000,.88026
1989-11-17T20:00:00,44.000,.87993
1989-11-17T21:00:00,45.000,.88214
1989-11-17T22:00:00,46.000,.87628
1989-11-17T23:00:00,47.000,.85530
1989-11-18T00:00:00,48.000,.84228
1989-11-18T01:00:00,49.000,.84081
1989-11-18T02:00:00,50.000,.84203
1989-11-18T03:00:00,51.000,.84405
1989-11-18T04:00:00,52.000,.84728
1989-11-18T05:00:00,53.000,.85138
1989-11-18T06:00:00,54.000,.85610
1989-11-18T07:00:00,55.000,.86144
1989-11-18T08:00:00,56.000,.86755
1989-11-18T09:00:00,57.000,.87472
1989-11-18T10:00:00,58.000,.88255
1989-11-18T11:00:00,59.000,.89068
1989-11-18T12:00:00,60.000,.89885
1989-11-18T13:00:00,61.000,.90656
1989-11-18T14:00:00,62.000,.91353
1989-11-18T15:00:00,63.000,.91862
1989-11-18T16:00:00,64.000,.92109
1989-11-18T17:00:00,65.000,.92220
1989-11-18T18:00:00,66.000,.92354
1989-11-18T19:00:00,67.000,.92552
1989-11-18T20:00:00,68.000,.92758
1989-11-18T21:00:00,69.000,.92928
1989-11-18T22:00:00,70.000,.93045
1989-11-18T23:00:00,71.000,.93132
1989-11-19T00:00:00,72.000,.93215
1989-11-19T01:00:00,73.000,.93284
1989-11-19T02:00:00,74.000,.93384
1989-11-19T03:00:00,75.000,.93565
1989-11-19T04:00:00,76.000,.93734
1989-11-19T05:00:00,77.000,.93835
1989-11-19T06:00:00,78.000,.93935
1989-11-19T07:00:00,79.000,.94062
1989-11-19T08:00:00,80.000,.94259
1989-11-19T09:00:00,81.000,.94553
1989-11-19T10:00:00,82.000,.94884
1989-11-19T11:00:00,83.000,.95237
1989-11-19T12:00:00,84.000,.95575
1989-11-19T13:00:00,85.000,.95908
1989-11-19T14:00:00,86.000,.96157
1989-11-19T15:00:00,87.000,.95965
1989-11-19T16:00:00,88.000,.95265
1989-11-19T17:00:00,89.000,.94771
1989-11-19T18:00:00,90.000,.94153
1989-11-19T19:00:00,91.000,.94017
1989-11-19T20:00:00,92.000,.94140
1989-11-19T21:00:00,93.000,.94212
1989-11-19T22:00:00,94.000,.94238
1989-11-19T23:00:00,95.000,.94210
1989-11-20T00:00:00,96.000,.94160
1989-11-20T01:00:00,97.000,.93892
1989-11-20T02:00:00,98.000,.93279
1989-11-20T03:00:00,99.000,.93213
1989-11-20T04:00:00,100.000,.93421
1989-11-20T05:00:00,101.000,.93524
1989-11-20T06:00:00,102.000,.92815
1989-11-20T07:00:00,103.000,.89683
1989-11-20T08:00:00,104.000,.85775
1989-11-20T09:00:00,105.000,.84427
1989-11-20T10:00:00,106.000,.84516
1989-11-20T11:00:00,107.000,.84900
1989-11-20T12:00:00,108.000,.85462
1989-11-20T13:00:00,109.000,.86122
1989-11-20T14:00:00,110.000,.86833
1989-11-20T15:00:00,111.000,.87542
1989-11-20T16:00:00,112.000,.88216
1989-11-20T17:00:00,113.000,.88839
1989-11-20T18:00:00,114.000,.89464
1989-11-20T19:00:00,115.000,.90071
1989-11-20T20:00:00,116.000,.90060
1989-11-20T21:00:00,117.000,.88679
1989-11-20T22:00:00,118.000,.87230
1989-11-20T23:00:00,119.000,.86436
1989-11-21T00:00:00,120.000,.84274
1989-11-21T01:00:00,121.000,.81371
1989-11-21T02:00:00,122.000,.80273
1989-11-21T03:00:00,123.000,.80378
1989-11-21T04:00:00,124.000,.80849
1989-11-21T05:00:00,125.000,.81527
1989-11-21T06:00:00,126.000,.82306
1989-11-21T07:00:00,127.000,.83133
1989-11-21T08:00:00,128.000,.83964
1989-11-21T09:00:00,129.000,.84774
1989-11-21T10:00:00,130.000,.85555
1989-11-21T11:00:00,131.000,.86314
1989-11-21T12:00:00,132.000,.87048
1989-11-21T13:00:00,133.000,.87755
1989-11-21T14:00:00,134.000,.88419
1989-11-21T15:00:00,135.000,.89033
1989-11-21T16:00:00,136.000,.89580
1989-11-21T17:00:00,137.000,.90046
1989-11-21T18:00:00,138.000,.90467
1989-11-21T19:00:00,139.000,.90870
1989-11-21T20:00:00,140.000,.91235
1989-11-21T21:00:00,141.000,.91568
1989-11-21T22:00:00,142.000,.91892
1989-11-21T23:00:00,143.000,.92224
1989-11-22T00:00:00,144.000,.92563
1989-11-22T01:00:00,145.000,.92902
1989-11-22T02:00:00,146.000,.93256
1989-11-22T03:00:00,147.000,.93605
1989-11-22T04:00:00,148.000,.93941
1989-11-22T05:00:00,149.000,.94242
1989-11-22T06:00:00,150.000,.94505
1989-11-22T07:00:00,151.000,.94777
1989-11-22T08:00:00,152.000,.95142
1989-11-22T09:00:00,153.000,.95638
1989-11-22T10:00:00,154.000,.96213
1989-11-22T11:00:00,155.000,.96780
1989-11-22T12:00:00,156.000,.97402
1989-11-22T13:00:00,157.000,.98035
1989-11-22T14:00:00,158.000,.98665
1989-11-22T15:00:00,159.000,.99193
1989-11-22T16:00:00,160.000,.99562
1989-11-22T17:00:00,161.000,.99793
1989-11-22T18:00:00,162.000,.99902
1989-11-22T19:00:00,163.000,.99971
1989-11-22T20:00:00,164.000,1.00000
1989-11-22T21:00:00,165.000,.99986
1989-11-22T22:00:00,166.000,.99906
1989-11-22T23:00:00,167.000,.99742
1989-11-23T00:00:00,168.000,.99529
1989-11-23T01:00:00,169.000,.99335
1989-11-23T02:00:00,170.000,.99148
1989-11-23T03:00:00,171.000,.98979
1989-11-23T04:00:00,172.000,.98803
1989-11-23T05:00:00,173.000,.98603
1989-11-23T06:00:00,174.000,.98382
1989-11-23T07:00:00,175.000,.98160
1989-11-23T08:00:00,176.000,.97992
1989-11-23T09:00:00,177.000,.97980
1989-11-23T10:00:00,178.000,.98177
1989-11-23T11:00:00,179.000,.98570
1989-11-23T12:00:00,180.000,.99109
1989-11-23T13:00:00,181.000,.99629
1989-11-23T14:00:00,182.000,1.00038
1989-11-23T15:00:00,183.000,1.00260
1989-11-23T16:00:00,184.000,1.00258
1989-11-23T17:00:00,185.000,1.00078
1989-11-23T18:00:00,186.000,.99812
1989-11-23T19:00:00,187.000,.99506
1989-11-23T20:00:00,188.000,.99216
1989-11-23T21:00:00,189.000,.98981
1989-11-23T22:00:00,190.000,.98825
1989-11-23T23:00:00,191.000,.98716
1989-11-24T00:00:00,192.000,.98651
1989-11-24T01:00:00,193.000,.98633
1989-11-24T02:00:00,194.000,.98524
1989-11-24T03:00:00,195.000,.98351
1989-11-24T04:00:00,196.000,.98189
1989-11-24T05:00:00,197.000,.98044
1989-11-24T06:00:00,198.000,.97905
1989-11-24T07:00:00,199.000,.97793
1989-11-24T08:00:00,200.000,.97782
1989-11-24T09:00:00,201.000,.98016
1989-11-24T10:00:00,202.000,.98506
1989-11-24T11:00:00,203.000,.99144
1989-11-24T12:00:00,204.000,.99800
1989-11-24T13:00:00,205.000,1.00327
1989-11-24T14:00:00,206.000,1.00709
1989-11-24T15:00:00,207.000,1.00880
1989-11-24T16:00:00,208.000,1.00816
1989-11-24T17:00:00,209.000,1.00593
1989-11-24T18:00:00,210.000,1.00314
1989-11-24T19:00:00,211.000,1.00087
1989-11-24T20:00:00,212.000,.99934
1989-11-24T21:00:00,213.000,.99836
1989-11-24T22:00:00,214.000,.99766
1989-11-24T23:00:00,215.000,.99640
1989-11-25T00:00:00,216.000,.99418
1989-11-25T01:00:00,217.000,.99138
1989-11-25T02:00:00,218.000,.98851
1989-11-25T03:00:00,219.000,.98583
1989-11-25T04:00:00,220.000,.98378
1989-11-25T05:00:00,221.000,.98255
1989-11-25T06:00:00,222.000,.98175
1989-11-25T07:00:00,223.000,.98164
1989-11-25T08:00:00,224.000,.98275
1989-11-25T09:00:00,225.000,.98514
1989-11-25T10:00:00,226.000,.97068
1989-11-25T11:00:00,227.000,.92354
1989-11-25T12:00:00,228.000,.89426
1989-11-25T13:00:00,229.000,.89185
1989-11-25T14:00:00,230.000,.89696
1989-11-25T15:00:00,231.000,.90271
1989-11-25T16:00:00,232.000,.90850
1989-11-25T17:00:00,233.000,.91459
1989-11-25T18:00:00,234.000,.92106
1989-11-25T19:00:00,235.000,.92818
1989-11-25T20:00:00,236.000,.93569
1989-11-25T21:00:00,237.000,.94377
1989-11-25T22:00:00,238.000,.95211
1989-11-25T23:00:00,239.000,.95997
1989-11-26T00:00:00,240.000,.96718
1989-11-26T01:00:00,241.000,.97373
1989-11-26T02:00:00,242.000,.97951
1989-11-26T03:00:00,243.000,.98482
1989-11-26T04:00:00,244.000,.98924
1989-11-26T05:00:00,245.000,.99276
1989-11-26T06:00:00,246.000,.99597
1989-11-26T07:00:00,247.000,.99905
1989-11-26T08:00:00,248.000,1.00105
1989-11-26T09:00:00,249.000,1.00275
1989-11-26T10:00:00,250.000,1.00543
1989-11-26T11:00:00,251.000,1.00923
1989-11-26T12:00:00,252.000,1.01398
1989-11-26T13:00:00,253.000,1.01928
1989-11-26T14:00:00,254.000,1.02367
1989-11-26T15:00:00,255.000,1.02643
1989-11-26T16:00:00,256.000,1.02787
1989-11-26T17:00:00,257.000,1.02872
1989-11-26T18:00:00,258.000,1.02921
1989-11-26T19:00:00,259.000,1.02930
1989-11-26T20:00:00,260.000,1.02875
1989-11-26T21:00:00,261.000,1.02731
1989-11-26T22:00:00,262.000,1.02513
1989-11-26T23:00:00,263.000,1.02245
1989-11-27T00:00:00,264.000,1.01953
1989-11-27T01:00:00,265.000,1.01666
1989-11-27T02:00:00,266.000,1.01396
1989-11-27T03:00:00,267.000,1.01144
1989-11-27T04:00:00,268.000,1.00895
1989-11-27T05:00:00,269.000,1.00661
1989-11-27T06:00:00,270.000,1.00458
1989-11-27T07:00:00,271.000,1.00251
1989-11-27T08:00:00,272.000,1.00078
1989-11-27T09:00:00,273.000,1.00044
1989-11-27T10:00:00,274.000,1.00206
1989-11-27T11:00:00,275.000,1.00482
1989-11-27T12:00:00,276.000,1.00788
1989-11-27T13:00:00,277.000,1.01048
1989-11-27T14:00:00,278.000,1.01201
1989-11-27T15:00:00,279.000,1.01202
1989-11-27T16:00:00,280.000,1.01058
1989-11-27T17:00:00,281.000,1.00857
1989-11-27T18:00:00,282.000,1.00679
1989-11-27T19:00:00,283.000,1.00558
1989-11-27T20:00:00,284.000,1.00456
1989-11-27T21:00:00,285.000,1.00359
1989-11-27T22:00:00,286.000,1.00333
1989-11-27T23:00:00,287.000,1.00350
1989-11-28T00:00:00,288.000,1.00359
1989-11-28T01:00:00,289.000,1.00345
1989-11-28T02:00:00,290.000,1.00309
1989-11-28T03:00:00,291.000,1.00268
1989-11-28T04:00:00,292.000,1.00236
1989-11-28T05:00:00,293.000,1.00200
1989-11-28T06:00:00,294.000,1.00174
1989-11-28T07:00:00,295.000,1.00170
1989-11-28T08:00:00,296.000,1.00144
1989-11-28T09:00:00,297.000,1.00070
1989-11-28T10:00:00,298.000,.99964
1989-11-28T11:00:00,299.000,.99870
1989-11-28T12:00:00,300.000,.99927
1989-11-28T13:00:00,301.000,1.00242
1989-11-28T14:00:00,302.000,1.00624
1989-11-28T15:00:00,303.000,1.00929
1989-11-28T16:00:00,304.000,1.01147
1989-11-28T17:00:00,305.000,1.01326
1989-11-28T18:00:00,306.000,1.01484
1989-11-28T19:00:00,307.000,1.01620
1989-11-28T20:00:00,308.000,1.01758
1989-11-28T21:00:00,309.000,1.01900
1989-11-28T22:00:00,310.000,1.01974
1989-11-28T23:00:00,311.000,1.01930
1989-11-29T00:00:00,312.000,1.01796
1989-11-29T01:00:00,313.000,1.01640
1989-11-29T02:00:00,314.000,1.01637
1989-11-29T03:00:00,315.000,1.01749
1989-11-29T04:00:00,316.000,1.01869
1989-11-29T05:00:00,317.000,1.01953
1989-11-29T06:00:00,318.000,1.02001
1989-11-29T07:00:00,319.000,1.02026
1989-11-29T08:00:00,320.000,1.02059
1989-11-29T09:00:00,321.000,1.02201
1989-11-29T10:00:00,322.000,1.02515
1989-11-29T11:00:00,323.000,1.02907
1989-11-29T12:00:00,324.000,1.03296
1989-11-29T13:00:00,325.000,1.03613
1989-11-29T14:00:00,326.000,1.03808
1989-11-29T15:00:00,327.000,1.03856
1989-11-29T16:00:00,328.000,1.03780
1989-11-29T17:00:00,329.000,1.03644
1989-11-29T18:00:00,330.000,1.03481
1989-11-29T19:00:00,331.000,1.03254
1989-11-29T20:00:00,332.000,1.02995
1989-11-29T21:00:00,333.000,1.02710
1989-11-29T22:00:00,334.000,1.02403
1989-11-29T23:00:00,335.000,1.02060
1989-11-30T00:00:00,336.000,1.01728
1989-11-30T01:00:00,337.000,1.01438
1989-11-30T02:00:00,338.000,1.01181
1989-11-30T03:00:00,339.000,1.00950
1989-11-30T04:00:00,340.000,1.00749
1989-11-30T05:00:00,341.000,1.00582
1989-11-30T06:00:00,342.000,1.00410
1989-11-30T07:00:00,343.000,1.00237
1989-11-30T08:00:00,344.000,1.00075
1989-11-30T09:00:00,345.000,.99953
1989-11-30T10:00:00,346.000,.99924
1989-11-30T11:00:00,347.000,.99935
1989-11-30T12:00:00,348.000,.99969
1989-11-30T13:00:00,349.000,.99998
1989-11-30T14:00:00,350.000,1.00006
1989-11-30T15:00:00,351.000,.99985
1989-11-30T16:00:00,352.000,.99950
1989-11-30T17:00:00,353.000,.99938
1989-11-30T18:00:00,354.000,.99945
1989-11-30T19:00:00,355.000,.99961
1989-11-30T20:00:00,356.000,.99969
1989-11-30T21:00:00,357.000,.99955
