Simulated discharge at the outlet at every model timestep.
Date_yyyy-mm-dd_hours(iso8601format),Time(hours),Outlet_Discharge(m3/s)
1989-11-16T00:03:00,.05000,.00000
1989-11-16T00:06:05,.10150,.25457
1989-11-16T00:09:16,.15455,.21930
1989-11-16T00:12:33,.20918,.18338
1989-11-16T00:15:55,.26546,.15021
1989-11-16T00:19:24,.32342,.12265
1989-11-16T00:22:59,.38312,.10151
1989-11-16T00:26:40,.44462,.08598
1989-11-16T00:30:28,.50796,.07508
1989-11-16T00:34:23,.57319,.06782
1989-11-16T00:38:25,.64039,.06340
1989-11-16T00:42:34,.70960,.06119
1989-11-16T00:46:51,.78089,.06071
1989-11-16T00:51:15,.85432,.06161
1989-11-16T00:55:47,.92995,.06358
1989-11-16T01:00:28,1.00784,.06639
1989-11-16T01:05:17,1.08808,.06983
1989-11-16T01:10:14,1.17072,.07373
1989-11-16T01:15:21,1.25584,.07798
1989-11-16T01:20:36,1.34352,.08246
1989-11-16T01:26:01,1.43382,.08712
1989-11-16T01:31:36,1.52684,.09191
1989-11-16T01:37:21,1.62264,.09682
1989-11-16T01:43:16,1.72132,.10184
1989-11-16T01:49:22,1.82296,.10699
1989-11-16T01:55:39,1.92765,.11226
1989-11-16T02:02:07,2.03548,.11767
1989-11-16T02:08:47,2.14655,.12322
1989-11-16T02:15:39,2.26094,.12891
1989-11-16T02:22:43,2.37877,.13474
1989-11-16T02:30:00,2.50013,.14070
1989-11-16T02:37:30,2.62514,.14677
1989-11-16T02:45:14,2.75389,.15296
1989-11-16T02:53:11,2.88651,.15927
1989-11-16T03:01:23,3.02310,.16572
1989-11-16T03:09:49,3.16380,.17231
1989-11-16T03:18:31,3.30871,.17906
1989-11-16T03:27:28,3.45797,.18592
1989-11-16T03:36:42,3.61171,.19292
1989-11-16T03:46:12,3.77006,.20006
1989-11-16T03:55:59,3.93316,.20732
1989-11-16T04:06:04,4.10116,.21472
1989-11-16T04:16:27,4.27419,.22222
1989-11-16T04:27:08,4.45242,.22984
1989-11-16T04:38:09,4.63599,.23757
1989-11-16T04:49:30,4.82507,.24541
1989-11-16T05:01:11,5.01983,.25195
1989-11-16T05:13:13,5.22042,.24622
1989-11-16T05:25:37,5.42703,.23963
1989-11-16T05:38:23,5.63984,.23256
1989-11-16T05:51:32,5.85904,.22547
1989-11-16T06:05:05,6.08481,.21851
1989-11-16T06:19:02,6.31735,.21171
1989-11-16T06:33:24,6.55687,.20505
1989-11-16T06:48:12,6.80358,.19847
1989-11-16T07:03:27,7.05769,.19200
1989-11-16T07:19:09,7.31942,.18562
1989-11-16T07:35:20,7.58900,.17932
1989-11-16T07:52:00,7.86667,.17313
1989-11-16T08:09:09,8.15267,.16704
1989-11-16T08:26:50,8.44725,.16111
1989-11-16T08:45:02,8.75067,.15535
1989-11-16T09:03:47,9.06319,.14967
1989-11-16T09:23:06,9.38509,.14420
1989-11-16T09:42:59,9.71664,.13896
1989-11-16T10:03:29,10.05814,.13387
1989-11-16T10:24:35,10.40988,.12902
1989-11-16T10:46:19,10.77218,.12445
1989-11-16T11:08:43,11.14534,.12009
1989-11-16T11:31:46,11.52970,.11595
1989-11-16T11:55:32,11.92559,.11193
1989-11-16T12:20:00,12.33336,.10805
1989-11-16T12:45:12,12.75336,.10433
1989-11-16T13:11:09,13.18596,.10093
1989-11-16T13:37:53,13.63154,.09781
1989-11-16T14:05:25,14.09049,.09523
1989-11-16T14:33:47,14.56320,.09293
1989-11-16T15:03:00,15.05010,.09095
1989-11-16T15:33:05,15.55160,.08917
1989-11-16T16:04:05,16.06815,.08760
1989-11-16T16:36:00,16.60020,.08619
1989-11-16T17:08:53,17.14820,.08484
1989-11-16T17:42:45,17.71265,.08362
1989-11-16T18:17:38,18.29403,.08251
1989-11-16T18:53:34,18.89285,.08152
1989-11-16T19:30:34,19.50963,.08058
1989-11-16T20:08:41,20.14492,.07978
1989-11-16T20:47:57,20.79927,.07908
1989-11-16T21:28:23,21.47325,.07849
1989-11-16T22:10:02,22.16745,.07800
1989-11-16T22:52:56,22.88247,.07755
1989-11-16T23:37:08,23.61894,.07727
1989-11-17T00:22:39,24.37751,.07702
1989-11-17T01:09:31,25.15884,.07684
1989-11-17T01:57:48,25.96360,.07666
1989-11-17T02:47:33,26.79251,.07654
1989-11-17T03:38:46,27.64628,.07632
1989-11-17T04:31:32,28.52567,.07636
1989-11-17T05:25:53,29.43144,.07646
1989-11-17T06:21:51,30.36439,.07654
1989-11-17T07:19:31,31.32532,.07655
1989-11-17T08:18:54,32.31508,.07656
1989-11-17T09:18:54,33.31508,.07660
1989-11-17T10:18:54,34.31508,.07659
1989-11-17T11:18:54,35.31508,.07652
1989-11-17T12:18:54,36.31508,.07653
1989-11-17T13:18:54,37.31508,.07643
1989-11-17T14:18:54,38.31508,.07641
1989-11-17T15:18:54,39.31508,.07631
1989-11-17T16:18:54,40.31508,.07614
1989-11-17T17:18:54,41.31508,.07602
1989-11-17T18:18:54,42.31508,.07715
1989-11-17T19:18:54,43.31508,.07887
1989-11-17T20:18:54,44.31508,.07844
1989-11-17T21:18:54,45.31508,.07845
1989-11-17T22:18:54,46.31508,.08076
1989-11-17T23:18:54,47.31508,.08632
1989-11-18T00:18:54,48.31508,.08731
1989-11-18T01:18:54,49.31508,.08690
1989-11-18T02:18:54,50.31508,.08648
1989-11-18T03:18:54,51.31508,.08584
1989-11-18T04:18:54,52.31508,.08502
1989-11-18T05:18:54,53.31508,.08418
1989-11-18T06:18:54,54.31508,.08330
1989-11-18T07:18:54,55.31508,.08234
1989-11-18T08:18:54,56.31508,.08128
1989-11-18T09:18:54,57.31508,.08006
1989-11-18T10:18:54,58.31508,.07892
1989-11-18T11:18:54,59.31508,.07783
1989-11-18T12:18:54,60.31508,.07682
1989-11-18T13:18:54,61.31508,.07600
1989-11-18T14:18:54,62.31508,.07532
1989-11-18T15:18:54,63.31508,.07518
1989-11-18T16:18:54,64.31508,.07546
1989-11-18T17:18:54,65.31508,.07560
1989-11-18T18:18:54,66.31508,.07546
1989-11-18T19:18:54,67.31508,.07525
1989-11-18T20:18:54,68.31508,.07513
1989-11-18T21:18:54,69.31508,.07511
1989-11-18T22:18:54,70.31508,.07518
1989-11-18T23:18:54,71.31508,.07523
1989-11-19T00:18:54,72.31508,.07524
1989-11-19T01:18:54,73.31508,.07530
1989-11-19T02:18:54,74.31508,.07518
1989-11-19T03:18:54,75.31508,.07489
1989-11-19T04:18:54,76.31508,.07486
1989-11-19T05:18:54,77.31508,.07493
1989-11-19T06:18:54,78.31508,.07483
1989-11-19T07:18:54,79.31508,.07470
1989-11-19T08:18:54,80.31508,.07436
1989-11-19T09:18:54,81.31508,.07387
1989-11-19T10:18:54,82.31508,.07349
1989-11-19T11:18:54,83.31508,.07304
1989-11-19T12:18:54,84.31508,.07272
1989-11-19T13:18:54,85.31508,.07234
1989-11-19T14:18:54,86.31508,.07230
1989-11-19T15:18:54,87.31508,.07332
1989-11-19T16:18:54,88.31508,.07494
1989-11-19T17:18:54,89.31508,.07535
1989-11-19T18:18:54,90.31508,.07668
1989-11-19T19:18:54,91.31508,.07608
1989-11-19T20:18:54,92.31508,.07586
1989-11-19T21:18:54,93.31508,.07573
1989-11-19T22:18:54,94.31508,.07568
1989-11-19T23:18:54,95.31508,.07574
1989-11-20T00:18:54,96.31508,.07572
1989-11-20T01:18:54,97.31508,.07627
1989-11-20T02:18:54,98.31508,.07743
1989-11-20T03:18:54,99.31508,.07656
1989-11-20T04:18:54,100.31508,.07618
1989-11-20T05:18:54,101.31508,.07607
1989-11-20T06:18:54,102.31508,.07812
1989-11-20T07:18:54,103.31508,.08629
1989-11-20T08:18:54,104.31508,.09424
1989-11-20T09:18:54,105.31508,.09262
1989-11-20T10:18:54,106.31508,.09086
1989-11-20T11:18:54,107.31508,.08877
1989-11-20T12:18:54,108.31508,.08679
1989-11-20T13:18:54,109.31508,.08498
1989-11-20T14:18:54,110.31508,.08329
1989-11-20T15:18:54,111.31508,.08186
1989-11-20T16:18:54,112.31508,.08061
1989-11-20T17:18:54,113.31508,.07956
1989-11-20T18:18:54,114.31508,.07843
1989-11-20T19:18:54,115.31508,.07750
1989-11-20T20:18:54,116.31508,.07849
1989-11-20T21:18:54,117.31508,.08239
1989-11-20T22:18:54,118.31508,.08470
1989-11-20T23:18:54,119.31508,.08568
1989-11-21T00:18:54,120.31508,.09218
1989-11-21T01:18:54,121.31508,.09819
1989-11-21T02:18:54,122.31508,.09662
1989-11-21T03:18:54,123.31508,.09457
1989-11-21T04:18:54,124.31508,.09226
1989-11-21T05:18:54,125.31508,.09007
1989-11-21T06:18:54,126.31508,.08809
1989-11-21T07:18:54,127.31508,.08625
1989-11-21T08:18:54,128.31508,.08463
1989-11-21T09:18:54,129.31508,.08316
1989-11-21T10:18:54,130.31508,.08185
1989-11-21T11:18:54,131.31508,.08062
1989-11-21T12:18:54,132.31508,.07951
1989-11-21T13:18:54,133.31508,.07849
1989-11-21T14:18:54,134.31508,.07762
1989-11-21T15:18:54,135.31508,.07685
1989-11-21T16:18:54,136.31508,.07625
1989-11-21T17:18:54,137.31508,.07581
1989-11-21T18:18:54,138.31508,.07537
1989-11-21T19:18:54,139.31508,.07495
1989-11-21T20:18:54,140.31508,.07465
1989-11-21T21:18:54,141.31508,.07437
1989-11-21T22:18:54,142.31508,.07407
1989-11-21T23:18:54,143.31508,.07374
1989-11-22T00:18:54,144.31508,.07342
1989-11-22T01:18:54,145.31508,.07311
1989-11-22T02:18:54,146.31508,.07274
1989-11-22T03:18:54,147.31508,.07245
1989-11-22T04:18:54,148.31508,.07216
1989-11-22T05:18:54,149.31508,.07197
1989-11-22T06:18:54,150.31508,.07181
1989-11-22T07:18:54,151.31508,.07152
1989-11-22T08:18:54,152.31508,.07096
1989-11-22T09:18:54,153.31508,.07020
1989-11-22T10:18:54,154.31508,.06947
1989-11-22T11:18:54,155.31508,.06892
1989-11-22T12:18:54,156.31508,.06809
1989-11-22T13:18:54,157.31508,.06747
1989-11-22T14:18:54,158.31508,.06678
1989-11-22T15:18:54,159.31508,.06652
1989-11-22T16:18:54,160.31508,.06650
1989-11-22T17:18:54,161.31508,.06659
1989-11-22T18:18:54,162.31508,.06683
1989-11-22T19:18:54,163.31508,.06688
1989-11-22T20:18:54,164.31508,.06705
1989-11-22T21:18:54,165.31508,.06721
1989-11-22T22:18:54,166.31508,.06751
1989-11-22T23:18:54,167.31508,.06792
1989-11-23T00:18:54,168.31508,.06826
1989-11-23T01:18:54,169.31508,.06843
1989-11-23T02:18:54,170.31508,.06866
1989-11-23T03:18:54,171.31508,.06879
1989-11-23T04:18:54,172.31508,.06902
1989-11-23T05:18:54,173.31508,.06926
1989-11-23T06:18:54,174.31508,.06952
1989-11-23T07:18:54,175.31508,.06973
1989-11-23T08:18:54,176.31508,.06975
1989-11-23T09:18:54,177.31508,.06935
1989-11-23T10:18:54,178.31508,.06864
1989-11-23T11:18:54,179.31508,.06773
1989-11-23T12:18:54,180.31508,.06676
1989-11-23T13:18:54,181.31508,.06620
1989-11-23T14:18:54,182.31508,.06589
1989-11-23T15:18:54,183.31508,.06599
1989-11-23T16:18:54,184.31508,.06641
1989-11-23T17:18:54,185.31508,.06695
1989-11-23T18:18:54,186.31508,.06738
1989-11-23T19:18:54,187.31508,.06779
1989-11-23T20:18:54,188.31508,.06804
1989-11-23T21:18:54,189.31508,.06815
1989-11-23T22:18:54,190.31508,.06810
1989-11-23T23:18:54,191.31508,.06809
1989-11-24T00:18:54,192.31508,.06800
1989-11-24T01:18:54,193.31508,.06786
1989-11-24T02:18:54,194.31508,.06818
1989-11-24T03:18:54,195.31508,.06838
1989-11-24T04:18:54,196.31508,.06849
1989-11-24T05:18:54,197.31508,.06859
1989-11-24T06:18:54,198.31508,.06868
1989-11-24T07:18:54,199.31508,.06867
1989-11-24T08:18:54,200.31508,.06839
1989-11-24T09:18:54,201.31508,.06751
1989-11-24T10:18:54,202.31508,.06641
1989-11-24T11:18:54,203.31508,.06534
1989-11-24T12:18:54,204.31508,.06450
1989-11-24T13:18:54,205.31508,.06413
1989-11-24T14:18:54,206.31508,.06391
1989-11-24T15:18:54,207.31508,.06415
1989-11-24T16:18:54,208.31508,.06467
1989-11-24T17:18:54,209.31508,.06521
1989-11-24T18:18:54,210.31508,.06562
1989-11-24T19:18:54,211.31508,.06573
1989-11-24T20:18:54,212.31508,.06575
1989-11-24T21:18:54,213.31508,.06572
1989-11-24T22:18:54,214.31508,.06571
1989-11-24T23:18:54,215.31508,.06596
1989-11-25T00:18:54,216.31508,.06636
1989-11-25T01:18:54,217.31508,.06672
1989-11-25T02:18:54,218.31508,.06701
1989-11-25T03:18:54,219.31508,.06723
1989-11-25T04:18:54,220.31508,.06727
1989-11-25T05:18:54,221.31508,.06719
1989-11-25T06:18:54,222.31508,.06715
1989-11-25T07:18:54,223.31508,.06694
1989-11-25T08:18:54,224.31508,.06649
1989-11-25T09:18:54,225.31508,.06590
1989-11-25T10:18:54,226.31508,.07014
1989-11-25T11:18:54,227.31508,.08152
1989-11-25T12:18:54,228.31508,.08444
1989-11-25T13:18:54,229.31508,.08265
1989-11-25T14:18:54,230.31508,.08023
1989-11-25T15:18:54,231.31508,.07821
1989-11-25T16:18:54,232.31508,.07646
1989-11-25T17:18:54,233.31508,.07479
1989-11-25T18:18:54,234.31508,.07319
1989-11-25T19:18:54,235.31508,.07156
1989-11-25T20:18:54,236.31508,.07014
1989-11-25T21:18:54,237.31508,.06864
1989-11-25T22:18:54,238.31508,.06731
1989-11-25T23:18:54,239.31508,.06627
1989-11-26T00:18:54,240.31508,.06535
1989-11-26T01:18:54,241.31508,.06458
1989-11-26T02:18:54,242.31508,.06399
1989-11-26T03:18:54,243.31508,.06339
1989-11-26T04:18:54,244.31508,.06313
1989-11-26T05:18:54,245.31508,.06292
1989-11-26T06:18:54,246.31508,.06260
1989-11-26T07:18:54,247.31508,.06232
1989-11-26T08:18:54,248.31508,.06253
1989-11-26T09:18:54,249.31508,.06242
1989-11-26T10:18:54,250.31508,.06191
1989-11-26T11:18:54,251.31508,.06126
1989-11-26T12:18:54,252.31508,.06048
1989-11-26T13:18:54,253.31508,.05973
1989-11-26T14:18:54,254.31508,.05955
1989-11-26T15:18:54,255.31508,.05967
1989-11-26T16:18:54,256.31508,.05989
1989-11-26T17:18:54,257.31508,.06001
1989-11-26T18:18:54,258.31508,.06021
1989-11-26T19:18:54,259.31508,.06044
1989-11-26T20:18:54,260.31508,.06083
1989-11-26T21:18:54,261.31508,.06135
1989-11-26T22:18:54,262.31508,.06186
1989-11-26T23:18:54,263.31508,.06232
1989-11-27T00:18:54,264.31508,.06269
1989-11-27T01:18:54,265.31508,.06304
1989-11-27T02:18:54,266.31508,.06340
1989-11-27T03:18:54,267.31508,.06361
1989-11-27T04:18:54,268.31508,.06379
1989-11-27T05:18:54,269.31508,.06388
1989-11-27T06:18:54,270.31508,.06389
1989-11-27T07:18:54,271.31508,.06403
1989-11-27T08:18:54,272.31508,.06398
1989-11-27T09:18:54,273.31508,.06352
1989-11-27T10:18:54,274.31508,.06279
1989-11-27T11:18:54,275.31508,.06217
1989-11-27T12:18:54,276.31508,.06165
1989-11-27T13:18:54,277.31508,.06138
1989-11-27T14:18:54,278.31508,.06138
1989-11-27T15:18:54,279.31508,.06166
1989-11-27T16:18:54,280.31508,.06209
1989-11-27T17:18:54,281.31508,.06237
1989-11-27T18:18:54,282.31508,.06247
1989-11-27T19:18:54,283.31508,.06243
1989-11-27T20:18:54,284.31508,.06247
1989-11-27T21:18:54,285.31508,.06249
1989-11-27T22:18:54,286.31508,.06226
1989-11-27T23:18:54,287.31508,.06213
1989-11-28T00:18:54,288.31508,.06208
1989-11-28T01:18:54,289.31508,.06209
1989-11-28T02:18:54,290.31508,.06212
1989-11-28T03:18:54,291.31508,.06211
1989-11-28T04:18:54,292.31508,.06208
1989-11-28T05:18:54,293.31508,.06208
1989-11-28T06:18:54,294.31508,.06202
1989-11-28T07:18:54,295.31508,.06192
1989-11-28T08:18:54,296.31508,.06197
1989-11-28T09:18:54,297.31508,.06209
1989-11-28T10:18:54,298.31508,.06220
1989-11-28T11:18:54,299.31508,.06219
1989-11-28T12:18:54,300.31508,.06167
1989-11-28T13:18:54,301.31508,.06066
1989-11-28T14:18:54,302.31508,.06015
1989-11-28T15:18:54,303.31508,.05990
1989-11-28T16:18:54,304.31508,.05978
1989-11-28T17:18:54,305.31508,.05964
1989-11-28T18:18:54,306.31508,.05952
1989-11-28T19:18:54,307.31508,.05943
1989-11-28T20:18:54,308.31508,.05925
1989-11-28T21:18:54,309.31508,.05910
1989-11-28T22:18:54,310.31508,.05922
1989-11-28T23:18:54,311.31508,.05956
1989-11-29T00:18:54,312.31508,.05989
1989-11-29T01:18:54,313.31508,.06008
1989-11-29T02:18:54,314.31508,.05959
1989-11-29T03:18:54,315.31508,.05926
1989-11-29T04:18:54,316.31508,.05911
1989-11-29T05:18:54,317.31508,.05908
1989-11-29T06:18:54,318.31508,.05909
1989-11-29T07:18:54,319.31508,.05911
1989-11-29T08:18:54,320.31508,.05903
1989-11-29T09:18:54,321.31508,.05853
1989-11-29T10:18:54,322.31508,.05769
1989-11-29T11:18:54,323.31508,.05703
1989-11-29T12:18:54,324.31508,.05656
1989-11-29T13:18:54,325.31508,.05635
1989-11-29T14:18:54,326.31508,.05640
1989-11-29T15:18:54,327.31508,.05674
1989-11-29T16:18:54,328.31508,.05715
1989-11-29T17:18:54,329.31508,.05749
1989-11-29T18:18:54,330.31508,.05785
1989-11-29T19:18:54,331.31508,.05840
1989-11-29T20:18:54,332.31508,.05880
1989-11-29T21:18:54,333.31508,.05921
1989-11-29T22:18:54,334.31508,.05957
1989-11-29T23:18:54,335.31508,.05999
1989-11-30T00:18:54,336.31508,.06034
1989-11-30T01:18:54,337.31508,.06053
1989-11-30T02:18:54,338.31508,.06063
1989-11-30T03:18:54,339.31508,.06068
1989-11-30T04:18:54,340.31508,.06067
1989-11-30T05:18:54,341.31508,.06063
1989-11-30T06:18:54,342.31508,.06071
1989-11-30T07:18:54,343.31508,.06075
1989-11-30T08:18:54,344.31508,.06077
1989-11-30T09:18:54,345.31508,.06067
1989-11-30T10:18:54,346.31508,.06033
1989-11-30T11:18:54,347.31508,.06015
1989-11-30T12:18:54,348.31508,.05991
1989-11-30T13:18:54,349.31508,.05978
1989-11-30T14:18:54,350.31508,.05969
1989-11-30T15:18:54,351.31508,.05967
1989-11-30T16:18:54,352.31508,.05964
1989-11-30T17:18:54,353.31508,.05951
1989-11-30T18:18:54,354.31508,.05941
1989-11-30T19:18:54,355.31508,.05932
1989-11-30T20:18:54,356.31508,.05928
1989-11-30T21:18:54,357.31508,.05930
1989-11-30T22:18:54,358.31508,.05946
1989-11-30T23:18:54,359.31508,.05989
1989-12-01T00:18:54,360.31508,.06023
1989-12-01T01:18:54,361.31508,.06049
1989-12-01T02:18:54,362.31508,.06072
1989-12-01T03:18:54,363.31508,.06086
1989-12-01T04:18:54,364.31508,.06093
1989-12-01T05:18:54,365.31508,.06099
1989-12-01T06:18:54,366.31508,.06108
1989-12-01T07:18:54,367.31508,.06114
1989-12-01T08:18:54,368.31508,.06113
1989-12-01T09:18:54,369.31508,.06102
1989-12-01T10:18:54,370.31508,.06080
1989-12-01T11:18:54,371.31508,.06016
1989-12-01T12:18:54,372.31508,.05954
1989-12-01T13:18:54,373.31508,.05920
1989-12-01T14:18:54,374.31508,.05900
1989-12-01T15:18:54,375.31508,.05916
1989-12-01T16:18:54,376.31508,.05946
1989-12-01T17:18:54,377.31508,.05970
1989-12-01T18:18:54,378.31508,.05983
1989-12-01T19:18:54,379.31508,.05983
1989-12-01T20:18:54,380.31508,.05984
1989-12-01T21:18:54,381.31508,.05988
1989-12-01T22:18:54,382.31508,.05996
1989-12-01T23:18:54,383.31508,.06009
1989-12-02T00:18:54,384.31508,.06024
1989-12-02T01:18:54,385.31508,.06034
