Simulated discharge(m3/s) at the outlet - regular timestep    1.00 hours. Simulated discharge is the mean value over the timestep with the date at the end of the timestep
Date_yyyy/mm/dd_hours(iso8601format),Time(hours),Outlet-Discharge
1989-11-16T01:00:00,1.000,.09766
1989-11-16T02:00:00,2.000,.09297
1989-11-16T03:00:00,3.000,.14353
1989-11-16T04:00:00,4.000,.19127
1989-11-16T05:00:00,5.000,.23522
1989-11-16T06:00:00,6.000,.23361
1989-11-16T07:00:00,7.000,.20356
1989-11-16T08:00:00,8.000,.17834
1989-11-16T09:00:00,9.000,.15742
1989-11-16T10:00:00,10.000,.13988
1989-11-16T11:00:00,11.000,.12561
1989-11-16T12:00:00,12.000,.11437
1989-11-16T13:00:00,13.000,.10473
1989-11-16T14:00:00,14.000,.09744
1989-11-16T15:00:00,15.000,.09228
1989-11-16T16:00:00,16.000,.08856
1989-11-16T17:00:00,17.000,.08575
1989-11-16T18:00:00,18.000,.08348
1989-11-16T19:00:00,19.000,.08171
1989-11-16T20:00:00,20.000,.08019
1989-11-16T21:00:00,21.000,.07906
1989-11-16T22:00:00,22.000,.07823
1989-11-16T23:00:00,23.000,.07759
1989-11-17T00:00:00,24.000,.07717
1989-11-17T01:00:00,25.000,.07691
1989-11-17T02:00:00,26.000,.07669
1989-11-17T03:00:00,27.000,.07649
1989-11-17T04:00:00,28.000,.07633
1989-11-17T05:00:00,29.000,.07641
1989-11-17T06:00:00,30.000,.07651
1989-11-17T07:00:00,31.000,.07655
1989-11-17T08:00:00,32.000,.07656
1989-11-17T09:00:00,33.000,.07659
1989-11-17T10:00:00,34.000,.07659
1989-11-17T11:00:00,35.000,.07654
1989-11-17T12:00:00,36.000,.07652
1989-11-17T13:00:00,37.000,.07646
1989-11-17T14:00:00,38.000,.07641
1989-11-17T15:00:00,39.000,.07634
1989-11-17T16:00:00,40.000,.07619
1989-11-17T17:00:00,41.000,.07606
1989-11-17T18:00:00,42.000,.07679
1989-11-17T19:00:00,43.000,.07833
1989-11-17T20:00:00,44.000,.07857
1989-11-17T21:00:00,45.000,.07845
1989-11-17T22:00:00,46.000,.08003
1989-11-17T23:00:00,47.000,.08457
1989-11-18T00:00:00,48.000,.08700
1989-11-18T01:00:00,49.000,.08703
1989-11-18T02:00:00,50.000,.08661
1989-11-18T03:00:00,51.000,.08604
1989-11-18T04:00:00,52.000,.08528
1989-11-18T05:00:00,53.000,.08445
1989-11-18T06:00:00,54.000,.08358
1989-11-18T07:00:00,55.000,.08264
1989-11-18T08:00:00,56.000,.08162
1989-11-18T09:00:00,57.000,.08044
1989-11-18T10:00:00,58.000,.07928
1989-11-18T11:00:00,59.000,.07818
1989-11-18T12:00:00,60.000,.07714
1989-11-18T13:00:00,61.000,.07626
1989-11-18T14:00:00,62.000,.07554
1989-11-18T15:00:00,63.000,.07523
1989-11-18T16:00:00,64.000,.07537
1989-11-18T17:00:00,65.000,.07555
1989-11-18T18:00:00,66.000,.07551
1989-11-18T19:00:00,67.000,.07531
1989-11-18T20:00:00,68.000,.07516
1989-11-18T21:00:00,69.000,.07511
1989-11-18T22:00:00,70.000,.07516
1989-11-18T23:00:00,71.000,.07522
1989-11-19T00:00:00,72.000,.07524
1989-11-19T01:00:00,73.000,.07528
1989-11-19T02:00:00,74.000,.07522
1989-11-19T03:00:00,75.000,.07498
1989-11-19T04:00:00,76.000,.07487
1989-11-19T05:00:00,77.000,.07490
1989-11-19T06:00:00,78.000,.07486
1989-11-19T07:00:00,79.000,.07474
1989-11-19T08:00:00,80.000,.07447
1989-11-19T09:00:00,81.000,.07403
1989-11-19T10:00:00,82.000,.07361
1989-11-19T11:00:00,83.000,.07318
1989-11-19T12:00:00,84.000,.07282
1989-11-19T13:00:00,85.000,.07246
1989-11-19T14:00:00,86.000,.07231
1989-11-19T15:00:00,87.000,.07300
1989-11-19T16:00:00,88.000,.07443
1989-11-19T17:00:00,89.000,.07522
1989-11-19T18:00:00,90.000,.07626
1989-11-19T19:00:00,91.000,.07627
1989-11-19T20:00:00,92.000,.07593
1989-11-19T21:00:00,93.000,.07577
1989-11-19T22:00:00,94.000,.07569
1989-11-19T23:00:00,95.000,.07572
