          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.250,           0.001,           0.002,           0.000,           0.000,           0.000,           0.073,           0.000,        4184.829,           0.089,           0.290
          24.378,          25.000,           0.466,           1.759,           0.160,           0.000,          11.387,           0.105,           0.000,        4195.064,           0.975,           0.135
          48.315,          27.653,           0.555,           2.590,           0.299,           0.000,          18.530,           0.485,           0.000,        4188.789,           1.272,           0.142
          72.315,          27.653,           0.727,           3.393,           0.380,           0.000,          25.791,           0.091,           0.000,        4181.134,           0.982,           0.133
          96.315,          28.714,           0.849,           4.210,           0.491,           0.000,          32.664,           0.136,           0.000,        4174.181,           1.003,           0.134
         120.315,          36.645,           1.113,           4.805,           0.509,           0.000,          40.297,           0.619,           0.000,        4172.610,           1.453,           0.146
         144.315,          37.735,           1.214,           5.081,           0.528,           0.000,          47.820,           0.170,           0.000,        4166.677,           0.991,           0.132
         168.315,          37.735,           1.325,           6.344,           0.738,           0.000,          54.183,           0.060,           0.000,        4158.914,           0.896,           0.129
         192.315,          37.735,           1.355,           7.191,           0.908,           0.000,          60.445,           0.029,           0.000,        4151.604,           0.898,           0.129
         216.315,          37.735,           1.372,           8.147,           1.123,           0.000,          66.559,           0.013,           0.000,        4144.311,           0.875,           0.127
         240.315,          42.146,           1.721,           9.516,           1.260,           0.000,          73.129,           0.058,           0.000,        4140.191,           0.868,           0.128
         264.315,          42.146,           1.766,          11.175,           1.616,           0.000,          78.806,           0.013,           0.000,        4132.518,           0.823,           0.125
         288.315,          42.146,           1.773,          12.084,           1.827,           0.000,          84.578,           0.006,           0.000,        4125.593,           0.824,           0.125
         312.315,          42.146,           1.777,          13.272,           2.112,           0.000,          90.181,           0.002,           0.000,        4118.527,           0.787,           0.123
         336.315,          42.146,           1.779,          14.585,           2.440,           0.000,          95.560,           0.001,           0.000,        4111.456,           0.805,           0.123
         360.315,          42.146,           1.779,          15.248,           2.594,           0.000,         101.089,           0.000,           0.000,        4105.074,           0.814,           0.123
         384.315,          42.146,           1.779,          15.665,           2.694,           0.000,         106.632,           0.000,           0.000,        4098.981,           0.819,           0.123
         408.315,          42.146,           1.779,          16.120,           2.813,           0.000,         112.109,           0.000,           0.000,        4092.919,           0.803,           0.123
         432.315,          42.146,           1.779,          16.637,           2.945,           0.000,         117.474,           0.000,           0.000,        4086.881,           0.797,           0.122
         456.315,          42.146,           1.779,          17.072,           3.056,           0.000,         122.803,           0.000,           0.000,        4080.992,           0.786,           0.122
         480.315,          42.146,           1.779,          17.798,           3.242,           0.000,         127.968,           0.000,           0.000,        4074.925,           0.751,           0.120
         504.315,          42.146,           1.779,          18.616,           3.456,           0.000,         132.996,           0.000,           0.000,        4068.854,           0.735,           0.119
         528.315,          42.146,           1.779,          19.790,           3.767,           0.000,         137.833,           0.000,           0.000,        4062.545,           0.695,           0.118
         552.315,          42.146,           1.779,          20.888,           4.058,           0.000,         142.572,           0.000,           0.000,        4056.392,           0.693,           0.117
         576.315,          42.146,           1.779,          21.649,           4.260,           0.000,         147.343,           0.000,           0.000,        4050.611,           0.712,           0.118
         600.315,          42.146,           1.779,          22.698,           4.542,           0.000,         152.017,           0.000,           0.000,        4044.635,           0.655,           0.116
         624.315,          60.221,           1.841,          23.430,           4.724,           0.000,         158.268,           0.709,           0.000,        4053.238,           1.789,           0.167
         648.315,          62.631,           2.073,          24.025,           4.773,           0.000,         164.847,           0.118,           0.000,        4049.837,           0.763,           0.121
         672.214,          94.608,           2.474,          24.763,           4.789,           0.000,         174.631,           0.672,           0.000,        4068.853,           1.622,           0.153
         696.637,         118.063,           2.875,          25.720,           4.836,           0.000,         185.474,           0.126,           0.000,        4081.069,           0.930,           0.128
         720.637,         135.483,           2.984,          26.033,           4.858,           0.000,         192.935,           1.053,           0.000,        4087.959,           2.486,           0.181
