          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
         505.774,           0.000,           0.015,           0.002,           0.000,           0.000,           0.187,           1.512,           0.000,         805.247,           2.627,           0.426
         506.774,           0.000,           0.030,           0.005,           0.000,           0.000,           0.366,           1.498,           0.000,         805.201,           2.506,           0.414
         507.774,           0.000,           0.044,           0.007,           0.000,           0.000,           0.538,           1.483,           0.000,         805.152,           2.395,           0.402
         508.774,           0.000,           0.059,           0.010,           0.000,           0.000,           0.702,           1.469,           0.000,         805.102,           2.291,           0.391
         509.774,           0.000,           0.073,           0.013,           0.000,           0.000,           0.860,           1.454,           0.000,         805.050,           2.195,           0.381
         510.774,           0.000,           0.087,           0.015,           0.001,           0.000,           1.012,           1.440,           0.000,         804.996,           2.105,           0.371
         511.774,           0.000,           0.101,           0.018,           0.001,           0.000,           1.158,           1.426,           0.000,         804.941,           2.022,           0.362
         512.774,           0.000,           0.115,           0.022,           0.001,           0.000,           1.299,           1.412,           0.000,         804.885,           1.944,           0.354
         513.774,           0.000,           0.129,           0.025,           0.001,           0.000,           1.436,           1.399,           0.000,         804.828,           1.872,           0.346
         514.774,           0.000,           0.142,           0.028,           0.001,           0.000,           1.569,           1.385,           0.000,         804.769,           1.804,           0.339
         515.774,           0.000,           0.156,           0.031,           0.002,           0.000,           1.698,           1.372,           0.000,         804.709,           1.740,           0.332
         516.774,           0.000,           0.169,           0.035,           0.002,           0.000,           1.823,           1.358,           0.000,         804.649,           1.681,           0.325
         517.774,           0.000,           0.182,           0.038,           0.002,           0.000,           1.945,           1.345,           0.000,         804.588,           1.624,           0.319
         518.774,           0.000,           0.195,           0.042,           0.003,           0.000,           2.064,           1.332,           0.000,         804.526,           1.572,           0.314
         519.774,           0.232,           0.210,           0.044,           0.003,           0.000,           2.180,           1.524,           0.000,         804.471,           1.538,           0.310
         520.774,           0.486,           0.226,           0.045,           0.003,           0.000,           2.296,           1.653,           0.000,         804.445,           1.561,           0.309
         521.774,           0.696,           0.241,           0.047,           0.003,           0.000,           2.410,           1.738,           0.000,         804.417,           1.583,           0.308
         522.774,           0.696,           0.257,           0.049,           0.003,           0.000,           2.523,           1.644,           0.000,         804.381,           1.586,           0.306
         523.774,           0.696,           0.273,           0.050,           0.003,           0.000,           2.636,           1.579,           0.000,         804.336,           1.571,           0.304
         524.774,           0.696,           0.288,           0.052,           0.003,           0.000,           2.747,           1.564,           0.000,         804.275,           1.524,           0.302
         525.774,           0.696,           0.303,           0.054,           0.003,           0.000,           2.857,           1.548,           0.000,         804.213,           1.480,           0.298
         526.774,           0.696,           0.318,           0.056,           0.003,           0.000,           2.965,           1.533,           0.000,         804.150,           1.439,           0.294
         528.774,           0.696,           0.348,           0.060,           0.003,           0.000,           3.176,           1.503,           0.000,         804.024,           1.362,           0.287
         552.774,           0.696,           0.663,           0.134,           0.019,           0.000,           5.347,           1.189,           0.000,         802.367,           0.867,           0.240
         576.742,           2.783,           1.015,           0.189,           0.025,           0.000,           7.535,           1.361,           0.000,         801.520,           1.061,           0.251
         600.167,          25.281,           1.382,           0.239,           0.026,           0.000,          21.490,           1.428,           0.000,         807.085,           3.195,           0.521
         624.638,          33.167,           1.775,           0.289,           0.026,           0.000,          28.426,           1.515,           0.000,         807.579,           3.145,           0.491
         648.060,          41.285,           2.161,           0.333,           0.026,           0.000,          34.493,           1.558,           0.000,         808.086,           4.103,           0.594
         672.339,          57.057,           2.559,           0.385,           0.027,           0.000,          45.439,           1.557,           0.000,         809.958,           6.267,           0.889
         696.698,          57.057,           2.911,           0.479,           0.033,           0.000,          51.747,           1.205,           0.000,         808.743,           1.685,           0.334
         720.698,          57.057,           3.178,           0.607,           0.069,           0.000,          54.271,           0.938,           0.000,         806.912,           0.979,           0.257
         744.698,          57.057,           3.386,           0.737,           0.152,           0.000,          56.315,           0.731,           0.000,         804.949,           0.779,           0.236
         768.759,          69.981,           3.790,           0.790,           0.156,           0.000,          63.182,           1.568,           0.000,         807.343,           2.911,           0.474
         792.754,          70.543,           4.181,           0.857,           0.161,           0.000,          66.605,           1.322,           0.000,         806.049,           1.367,           0.290
         816.754,          70.543,           4.488,           0.968,           0.194,           0.000,          68.779,           1.015,           0.000,         804.309,           0.902,           0.242
         840.754,          70.543,           4.722,           1.089,           0.276,           0.000,          70.659,           0.781,           0.000,         802.464,           0.747,           0.227
         864.754,          71.667,           5.012,           1.177,           0.342,           0.000,          72.435,           1.325,           0.000,         800.885,           0.752,           0.222
         888.056,          79.722,           5.398,           1.233,           0.358,           0.000,          74.603,           2.049,           0.000,         802.333,           3.738,           0.519
         912.585,          84.029,           5.841,           1.295,           0.359,           0.000,          80.295,           1.592,           0.000,         802.648,           2.160,           0.365
         936.195,          92.396,           6.272,           1.352,           0.362,           0.000,          83.308,           2.170,           0.000,         803.116,           5.614,           0.733
         960.244,         100.044,           6.713,           1.419,           0.363,           0.000,          93.408,           1.361,           0.000,         804.160,           2.679,           0.448
         984.219,         121.081,           7.109,           1.518,           0.373,           0.000,         100.712,           2.172,           0.000,         806.569,          11.491,           1.586
        1008.705,         121.678,           7.560,           1.591,           0.375,           0.000,         112.606,           1.389,           0.000,         805.979,           2.260,           0.397
        1032.705,         121.678,           7.911,           1.719,           0.401,           0.000,         115.353,           1.037,           0.000,         804.409,           1.129,           0.264
        1056.705,         122.521,           8.323,           1.797,           0.420,           0.000,         117.379,           1.218,           0.000,         802.824,           0.929,           0.239
        1080.705,         122.521,           8.639,           1.914,           0.486,           0.000,         119.192,           0.902,           0.000,         801.054,           0.784,           0.225
        1104.705,         122.802,           8.916,           2.031,           0.585,           0.000,         120.893,           0.875,           0.000,         799.296,           0.726,           0.217
        1128.705,         122.802,           9.148,           2.152,           0.719,           0.000,         122.516,           0.643,           0.000,         797.529,           0.683,           0.211
        1152.705,         122.802,           9.317,           2.280,           0.894,           0.000,         124.072,           0.475,           0.000,         795.769,           0.651,           0.206
        1176.705,         123.083,           9.480,           2.405,           1.079,           0.000,         125.572,           0.563,           0.000,         794.073,           0.632,           0.202
        1200.705,         123.083,           9.632,           2.528,           1.275,           0.000,         127.021,           0.411,           0.000,         792.389,           0.611,           0.198
        1224.705,         123.645,           9.850,           2.640,           1.438,           0.000,         128.429,           0.696,           0.000,         790.829,           0.605,           0.195
        1248.705,         123.645,          10.050,           2.756,           1.614,           0.000,         129.795,           0.496,           0.000,         789.247,           0.589,           0.192
        1272.705,         123.645,          10.191,           2.877,           1.830,           0.000,         131.118,           0.354,           0.000,         787.663,           0.571,           0.189
        1296.308,         128.983,          10.611,           2.948,           1.898,           0.000,         132.464,           1.579,           0.000,         789.224,           1.204,           0.235
        1320.649,         128.983,          11.101,           3.043,           1.930,           0.000,         134.032,           1.089,           0.000,         788.020,           0.792,           0.203
        1344.649,         128.983,          11.434,           3.186,           2.032,           0.000,         135.381,           0.757,           0.000,         786.636,           0.644,           0.190
        1368.649,         128.983,          11.661,           3.323,           2.212,           0.000,         136.647,           0.529,           0.000,         785.171,           0.580,           0.185
        1392.649,         128.983,          11.818,           3.454,           2.451,           0.000,         137.863,           0.372,           0.000,         783.674,           0.547,           0.181
        1416.262,         145.279,          12.091,           3.556,           2.634,           0.000,         140.142,           1.675,           0.000,         790.466,           5.261,           0.780
