Simulated discharge at the outlet at every model timestep.
Date_yyyy-mm-dd_hours(iso8601format),Time(hours),Outlet_Discharge(m3/s)
2003-01-22T01:46:26,505.77408,1.28329
2003-01-22T02:46:26,506.77408,1.22598
2003-01-22T03:46:26,507.77408,1.17335
2003-01-22T04:46:26,508.77408,1.12518
2003-01-22T05:46:26,509.77408,1.08104
2003-01-22T06:46:26,510.77408,1.04058
2003-01-22T07:46:26,511.77408,1.00342
2003-01-22T08:46:26,512.77408,.96925
2003-01-22T09:46:26,513.77408,.93782
2003-01-22T10:46:26,514.77408,.90888
2003-01-22T11:46:26,515.77408,.88221
2003-01-22T12:46:26,516.77408,.85760
2003-01-22T13:46:26,517.77408,.83487
2003-01-22T14:46:26,518.77408,.81388
2003-01-22T15:46:26,519.77408,.79919
2003-01-22T16:46:26,520.77408,.78958
2003-01-22T17:46:26,521.77408,.78358
2003-01-22T18:46:26,522.77408,.77654
2003-01-22T19:46:26,523.77408,.76977
2003-01-22T20:46:26,524.77408,.76174
2003-01-22T21:46:26,525.77408,.75190
2003-01-22T22:46:26,526.77408,.74063
2003-01-22T23:46:26,527.77408,.72871
2003-01-23T00:46:26,528.77408,.71676
2003-01-23T01:46:26,529.77408,.70516
2003-01-23T02:46:26,530.77408,.69411
2003-01-23T03:46:26,531.77408,.68370
2003-01-23T04:46:26,532.77408,.67396
2003-01-23T05:46:26,533.77408,.66484
2003-01-23T06:46:26,534.77408,.65628
2003-01-23T07:46:26,535.77408,.64824
2003-01-23T08:46:26,536.77408,.64068
2003-01-23T09:46:26,537.77408,.63357
2003-01-23T10:46:26,538.77408,.62685
2003-01-23T11:46:26,539.77408,.62053
2003-01-23T12:46:26,540.77408,.61457
2003-01-23T13:46:26,541.77408,.60894
2003-01-23T14:46:26,542.77408,.60360
2003-01-23T15:46:26,543.77408,.59853
2003-01-23T16:46:26,544.77408,.59374
2003-01-23T17:46:26,545.77408,.58920
2003-01-23T18:46:26,546.77408,.58489
2003-01-23T19:46:26,547.77408,.58080
2003-01-23T20:46:26,548.77408,.57692
2003-01-23T21:46:26,549.77408,.57322
2003-01-23T22:46:26,550.77408,.56969
2003-01-23T23:46:26,551.77408,.56634
2003-01-24T00:46:26,552.77408,.56313
2003-01-24T01:46:26,553.77408,.56041
2003-01-24T02:46:26,554.77408,.56086
2003-01-24T03:46:26,555.77408,.55821
2003-01-24T04:46:26,556.77408,.57034
2003-01-24T05:24:27,557.40760,.59052
2003-01-24T06:04:22,558.07280,.60759
2003-01-24T06:46:16,558.77126,.62500
2003-01-24T07:30:16,559.50464,.64270
2003-01-24T08:16:28,560.27469,.65878
2003-01-24T09:04:59,561.08325,.67159
2003-01-24T09:55:56,561.93223,.67930
2003-01-24T10:49:25,562.82366,.68159
2003-01-24T11:45:34,563.75966,.67929
2003-01-24T12:44:32,564.74246,.67375
2003-01-24T13:44:32,565.74246,.66651
2003-01-24T14:44:32,566.74246,.65867
2003-01-24T15:44:32,567.74246,.65076
2003-01-24T16:44:32,568.74246,.64304
2003-01-24T17:44:32,569.74246,.63562
2003-01-24T18:44:32,570.74246,.62852
2003-01-24T19:44:32,571.74246,.62173
2003-01-24T20:44:32,572.74246,.61525
2003-01-24T21:44:32,573.74246,.60907
2003-01-24T22:44:32,574.74246,.60318
2003-01-24T23:44:32,575.74246,.59755
2003-01-25T00:44:32,576.74246,.59217
2003-01-25T01:30:30,577.50852,.60783
2003-01-25T02:00:30,578.00852,.62981
2003-01-25T02:15:36,578.26023,.65140
2003-01-25T02:27:49,578.46364,.67705
2003-01-25T02:40:37,578.67722,.70880
2003-01-25T02:54:05,578.90147,.75734
2003-01-25T03:06:17,579.10488,.81956
2003-01-25T03:19:06,579.31846,.90957
2003-01-25T03:32:33,579.54272,1.04320
2003-01-25T03:42:44,579.71223,1.18528
2003-01-25T03:53:24,579.89021,1.38282
2003-01-25T04:03:30,580.05851,1.63400
2003-01-25T04:11:08,580.18564,1.87776
2003-01-25T04:19:08,580.31913,2.18080
2003-01-25T04:27:33,580.45929,2.55323
2003-01-25T04:34:52,580.58135,2.93533
2003-01-25T04:40:59,580.68306,3.29451
2003-01-25T04:47:23,580.78985,3.70564
2003-01-25T04:54:07,580.90197,4.17687
2003-01-25T05:01:10,581.01971,4.71701
2003-01-25T05:08:36,581.14333,5.32143
2003-01-25T05:16:23,581.27314,5.98465
2003-01-25T05:24:33,581.40943,6.67123
2003-01-25T05:33:09,581.55254,7.34534
2003-01-25T05:42:10,581.70280,7.96435
2003-01-25T05:51:38,581.86058,8.47419
2003-01-25T06:01:34,582.02625,8.84959
2003-01-25T06:12:00,582.20020,9.08453
2003-01-25T06:22:58,582.38284,9.18720
2003-01-25T06:34:28,582.57462,9.18313
2003-01-25T06:46:33,582.77599,9.10662
2003-01-25T06:59:14,582.98743,8.97599
2003-01-25T07:12:33,583.20943,8.82230
2003-01-25T07:26:33,583.44254,8.65022
2003-01-25T07:41:14,583.68731,8.46273
2003-01-25T07:56:39,583.94431,8.25591
2003-01-25T08:12:50,584.21416,8.02586
2003-01-25T08:29:51,584.49751,7.77269
2003-01-25T08:47:42,584.79502,7.50006
2003-01-25T09:06:26,585.10741,7.24629
2003-01-25T09:24:07,585.40204,7.09494
2003-01-25T09:42:41,585.71140,6.98210
2003-01-25T10:02:10,586.03624,6.88451
2003-01-25T10:22:38,586.37731,6.76455
2003-01-25T10:44:07,586.73544,6.59716
2003-01-25T11:06:41,587.11147,6.38001
2003-01-25T11:30:22,587.50631,6.12470
2003-01-25T11:55:15,587.92088,5.84612
2003-01-25T12:21:22,588.35619,5.55664
