Simulated discharge(m3/s) at the outlet - regular timestep    1.00 hours. Simulated discharge is the mean value over the timestep with the date at the end of the timestep
Date_yyyy/mm/dd_hours(iso8601format),Time(hours),Outlet-Discharge
2003-01-22T01:00:00,505.000,1.28329
2003-01-22T02:00:00,506.000,1.27034
2003-01-22T03:00:00,507.000,1.21409
2003-01-22T04:00:00,508.000,1.16247
2003-01-22T05:00:00,509.000,1.11521
2003-01-22T06:00:00,510.000,1.07190
2003-01-22T07:00:00,511.000,1.03219
2003-01-22T08:00:00,512.000,.99570
2003-01-22T09:00:00,513.000,.96215
2003-01-22T10:00:00,514.000,.93128
2003-01-22T11:00:00,515.000,.90285
2003-01-22T12:00:00,516.000,.87665
2003-01-22T13:00:00,517.000,.85246
2003-01-22T14:00:00,518.000,.83013
2003-01-22T15:00:00,519.000,.81056
2003-01-22T16:00:00,520.000,.79702
2003-01-22T17:00:00,521.000,.78823
2003-01-22T18:00:00,522.000,.78199
2003-01-22T19:00:00,523.000,.77501
2003-01-22T20:00:00,524.000,.76796
2003-01-22T21:00:00,525.000,.75952
2003-01-22T22:00:00,526.000,.74935
2003-01-22T23:00:00,527.000,.73794
2003-01-23T00:00:00,528.000,.72601
2003-01-23T01:00:00,529.000,.71414
2003-01-23T02:00:00,530.000,.70266
2003-01-23T03:00:00,531.000,.69176
2003-01-23T04:00:00,532.000,.68150
2003-01-23T05:00:00,533.000,.67190
2003-01-23T06:00:00,534.000,.66291
2003-01-23T07:00:00,535.000,.65446
2003-01-23T08:00:00,536.000,.64654
2003-01-23T09:00:00,537.000,.63908
2003-01-23T10:00:00,538.000,.63205
2003-01-23T11:00:00,539.000,.62543
2003-01-23T12:00:00,540.000,.61919
2003-01-23T13:00:00,541.000,.61330
2003-01-23T14:00:00,542.000,.60773
2003-01-23T15:00:00,543.000,.60245
2003-01-23T16:00:00,544.000,.59745
2003-01-23T17:00:00,545.000,.59271
2003-01-23T18:00:00,546.000,.58822
2003-01-23T19:00:00,547.000,.58397
2003-01-23T20:00:00,548.000,.57993
2003-01-23T21:00:00,549.000,.57608
2003-01-23T22:00:00,550.000,.57242
2003-01-23T23:00:00,551.000,.56894
2003-01-24T00:00:00,552.000,.56561
2003-01-24T01:00:00,553.000,.56252
2003-01-24T02:00:00,554.000,.56051
2003-01-24T03:00:00,555.000,.56026
2003-01-24T04:00:00,556.000,.56095
2003-01-24T05:00:00,557.000,.57490
2003-01-24T06:00:00,558.000,.60063
2003-01-24T07:00:00,559.000,.62778
2003-01-24T08:00:00,560.000,.65067
2003-01-24T09:00:00,561.000,.66807
2003-01-24T10:00:00,562.000,.67882
2003-01-24T11:00:00,563.000,.68118
2003-01-24T12:00:00,564.000,.67796
2003-01-24T13:00:00,565.000,.67188
2003-01-24T14:00:00,566.000,.66449
