Simulated discharge at the outlet at every model timestep.
Date_yyyy-mm-dd_hours(iso8601format),Time(hours),Outlet_Discharge(m3/s)
2003-01-01T00:03:00,.05000,.00000
2003-01-01T00:06:05,.10150,.00000
2003-01-01T00:09:16,.15455,.00000
2003-01-01T00:12:33,.20918,.00000
2003-01-01T00:15:55,.26546,.00000
2003-01-01T00:19:24,.32342,.00000
2003-01-01T00:22:59,.38312,.00000
2003-01-01T00:26:40,.44462,.00000
2003-01-01T00:30:28,.50796,.00000
2003-01-01T00:34:23,.57319,.00000
2003-01-01T00:38:25,.64039,.00000
2003-01-01T00:42:34,.70960,.00000
2003-01-01T00:46:51,.78089,.00000
2003-01-01T00:51:15,.85432,.00000
2003-01-01T00:55:47,.92995,.00000
2003-01-01T01:00:28,1.00784,.00000
2003-01-01T01:05:17,1.08808,.00000
2003-01-01T01:10:14,1.17072,.00000
2003-01-01T01:15:21,1.25584,.00000
2003-01-01T01:20:36,1.34352,.00000
2003-01-01T01:26:01,1.43382,.00000
2003-01-01T01:31:36,1.52684,.00000
2003-01-01T01:37:21,1.62264,.00000
2003-01-01T01:43:16,1.72132,.00000
2003-01-01T01:49:22,1.82296,.02915
2003-01-01T01:55:39,1.92765,.04803
2003-01-01T02:02:07,2.03548,.06443
2003-01-01T02:08:47,2.14655,.08061
2003-01-01T02:15:39,2.26094,.09775
2003-01-01T02:22:43,2.37877,.11627
2003-01-01T02:30:00,2.50013,.13613
2003-01-01T02:37:30,2.62514,.15713
2003-01-01T02:45:14,2.75389,.17891
2003-01-01T02:53:11,2.88651,.20106
2003-01-01T03:01:23,3.02310,.22319
2003-01-01T03:09:49,3.16380,.24504
2003-01-01T03:18:31,3.30871,.26705
2003-01-01T03:27:28,3.45797,.28980
2003-01-01T03:36:42,3.61171,.31295
2003-01-01T03:46:12,3.77006,.33604
2003-01-01T03:55:59,3.93316,.35728
2003-01-01T04:06:04,4.10116,.37837
2003-01-01T04:16:27,4.27419,.39883
2003-01-01T04:27:08,4.45242,.41839
2003-01-01T04:38:09,4.63599,.43705
2003-01-01T04:49:30,4.82507,.45373
2003-01-01T05:01:11,5.01983,.46734
2003-01-01T05:13:13,5.22042,.47585
2003-01-01T05:25:37,5.42703,.48797
2003-01-01T05:38:23,5.63984,.49692
2003-01-01T05:51:32,5.85904,.50379
2003-01-01T06:05:05,6.08481,.51379
2003-01-01T06:17:17,6.28822,.52702
2003-01-01T06:29:29,6.49163,.54120
2003-01-01T06:41:42,6.69504,.55601
2003-01-01T06:54:31,6.90862,.56506
2003-01-01T07:07:58,7.13288,.57070
2003-01-01T07:22:06,7.36835,.57657
2003-01-01T07:36:56,7.61559,.58461
2003-01-01T07:52:30,7.87520,.59283
2003-01-01T08:08:52,8.14779,.60093
2003-01-01T08:26:02,8.43400,.60816
2003-01-01T08:44:04,8.73453,.61371
2003-01-01T09:03:00,9.05009,.61488
2003-01-01T09:22:53,9.38142,.61435
2003-01-01T09:43:22,9.72292,.60981
2003-01-01T10:04:28,10.07466,.60541
2003-01-01T10:26:13,10.43696,.59956
2003-01-01T10:48:36,10.81012,.59172
2003-01-01T11:11:40,11.19448,.58536
2003-01-01T11:35:25,11.59037,.58347
2003-01-01T11:59:53,11.99814,.58137
2003-01-01T12:25:05,12.41814,.57991
2003-01-01T12:51:02,12.85074,.57650
2003-01-01T13:17:46,13.29632,.57344
2003-01-01T13:45:18,13.75527,.57388
2003-01-01T14:13:40,14.22798,.57181
2003-01-01T14:42:53,14.71488,.57249
2003-01-01T15:12:58,15.21638,.57444
2003-01-01T15:43:58,15.73293,.58089
2003-01-01T16:13:58,16.23291,.59751
2003-01-01T16:29:59,16.49999,.61451
2003-01-01T16:46:49,16.78042,.63037
2003-01-01T17:04:29,17.07488,.64784
2003-01-01T17:23:02,17.38406,.66826
2003-01-01T17:42:31,17.70870,.68577
2003-01-01T18:02:58,18.04957,.70657
2003-01-01T18:24:26,18.40748,.72718
2003-01-01T18:46:59,18.78329,.74496
2003-01-01T19:10:40,19.17790,.76027
2003-01-01T19:35:32,19.59223,.78091
2003-01-01T20:01:38,20.02727,.79833
2003-01-01T20:29:02,20.48407,.82435
2003-01-01T20:57:49,20.96371,.84232
2003-01-01T21:28:02,21.46733,.85585
2003-01-01T21:59:46,21.99614,.86324
2003-01-01T22:33:04,22.55138,.86658
2003-01-01T23:08:03,23.13438,.87229
2003-01-01T23:44:47,23.74654,.87685
2003-01-02T00:23:21,24.38930,.87737
2003-01-02T01:03:51,25.06420,.88713
2003-01-02T01:46:22,25.77285,.89040
2003-01-02T02:31:00,26.51693,.90184
2003-01-02T03:17:53,27.29821,.91326
2003-01-02T04:07:06,28.11855,.92249
2003-01-02T04:58:47,28.97992,.92322
2003-01-02T05:53:03,29.88435,.91719
2003-01-02T06:50:02,30.83400,.91186
2003-01-02T07:49:52,31.83114,.90012
2003-01-02T08:49:52,32.83114,.88663
2003-01-02T09:49:52,33.83114,.88040
2003-01-02T10:49:52,34.83114,.89036
2003-01-02T11:49:52,35.83114,.90732
2003-01-02T12:35:53,36.59819,.94558
2003-01-02T13:24:12,37.40358,.98900
2003-01-02T14:14:57,38.24925,1.02528
2003-01-02T15:08:13,39.13720,1.03866
2003-01-02T16:04:10,40.06955,1.04104
2003-01-02T17:02:54,41.04852,1.02837
2003-01-02T18:02:54,42.04852,1.01005
2003-01-02T19:02:54,43.04852,.99308
2003-01-02T20:02:54,44.04852,.97226
2003-01-02T21:02:54,45.04852,.95103
2003-01-02T22:02:54,46.04852,.93037
2003-01-02T23:02:54,47.04852,.94655
2003-01-03T00:02:54,48.04852,.97178
2003-01-03T00:27:16,48.45469,1.00172
2003-01-03T00:52:52,48.88118,1.04864
2003-01-03T01:19:44,49.32899,1.11094
2003-01-03T01:47:57,49.79919,1.16455
2003-01-03T02:17:34,50.29290,1.21844
2003-01-03T02:48:40,50.81129,1.28474
2003-01-03T03:21:20,51.35561,1.35945
2003-01-03T03:55:37,51.92714,1.44417
2003-01-03T04:31:38,52.52725,1.51190
2003-01-03T05:09:26,53.15736,1.56288
2003-01-03T05:49:08,53.81898,1.58738
2003-01-03T06:30:49,54.51368,1.59041
2003-01-03T07:14:35,55.24311,1.57742
2003-01-03T08:00:32,56.00902,1.55476
2003-01-03T08:48:47,56.81322,1.51585
2003-01-03T09:39:27,57.65763,1.46618
2003-01-03T10:32:39,58.54427,1.41762
2003-01-03T11:28:30,59.47523,1.38032
2003-01-03T12:27:09,60.45274,1.35892
2003-01-03T13:27:09,61.45274,1.32590
2003-01-03T14:27:09,62.45274,1.28398
2003-01-03T15:27:09,63.45274,1.23666
2003-01-03T16:27:09,64.45274,1.18572
2003-01-03T17:27:09,65.45274,1.13562
2003-01-03T18:27:09,66.45274,1.08882
2003-01-03T19:27:09,67.45274,1.04621
2003-01-03T20:27:09,68.45274,1.00800
2003-01-03T21:27:09,69.45274,.97380
2003-01-03T22:27:09,70.45274,.94309
2003-01-03T23:27:09,71.45274,.91552
2003-01-04T00:27:09,72.45274,.89070
2003-01-04T01:27:09,73.45274,.86829
2003-01-04T02:27:09,74.45274,.84800
2003-01-04T03:27:09,75.45274,.82961
2003-01-04T04:27:09,76.45274,.81290
2003-01-04T05:27:09,77.45274,.79766
2003-01-04T06:27:09,78.45274,.78374
2003-01-04T07:27:09,79.45274,.77098
2003-01-04T08:27:09,80.45274,.75925
2003-01-04T09:27:09,81.45274,.74845
2003-01-04T10:27:09,82.45274,.73850
2003-01-04T11:27:09,83.45274,.72930
2003-01-04T12:27:09,84.45274,.72079
2003-01-04T13:27:09,85.45274,.71286
2003-01-04T14:27:09,86.45274,.70549
2003-01-04T15:27:09,87.45274,.69864
2003-01-04T16:27:09,88.45274,.69225
2003-01-04T17:27:09,89.45274,.68629
2003-01-04T18:27:09,90.45274,.68070
2003-01-04T19:27:09,91.45274,.67546
2003-01-04T20:27:09,92.45274,.67051
2003-01-04T21:27:09,93.45274,.66585
