          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,         653.491,           0.006,           0.005
          24.378,           0.118,           0.000,           0.001,           0.000,           0.000,           0.004,           0.109,           0.000,         648.520,           3.771,           1.038
          48.037,           1.317,           0.015,           0.033,           0.022,           0.000,           0.046,           1.189,           0.000,         644.133,           7.838,           1.116
          72.037,           1.317,           0.015,           0.033,           0.022,           0.000,           0.086,           1.189,           0.000,         639.874,          11.785,           1.118
          96.037,           1.379,           0.015,           0.033,           0.022,           0.000,           0.123,           1.247,           0.000,         635.827,          15.521,           1.119
         120.009,           3.619,           0.015,           0.033,           0.022,           0.000,           0.159,           2.334,           0.000,         632.543,          19.666,           1.125
         144.009,           3.973,           0.058,           0.048,           0.030,           0.000,           0.192,           2.324,           0.000,         628.995,          23.263,           1.125
         168.009,           4.091,           0.058,           0.048,           0.030,           0.000,           0.223,           2.328,           0.000,         625.467,          26.626,           1.124
         192.009,           4.209,           0.058,           0.048,           0.030,           0.000,           0.253,           2.332,           0.000,         622.033,          29.890,           1.125
         216.009,           4.209,           0.058,           0.048,           0.030,           0.000,           0.281,           2.332,           0.000,         618.621,          33.011,           1.126
         240.009,           4.842,           0.361,           0.150,           0.090,           0.000,           0.308,           2.597,           0.000,         615.248,          35.954,           1.127
         264.222,          11.551,           0.443,           0.163,           0.095,           0.000,           0.339,           3.243,           0.000,         615.314,          41.440,           1.155
         288.457,          13.563,           0.632,           0.192,           0.107,           0.000,           0.365,           3.097,           0.000,         613.267,          45.080,           1.151
         312.107,          13.563,           0.688,           0.201,           0.111,           0.000,           0.391,           3.041,           0.000,         610.121,          47.891,           1.145
         336.172,          16.884,           0.688,           0.201,           0.111,           0.000,           0.417,           3.368,           0.000,         608.787,          51.876,           1.162
         360.112,          27.331,           0.779,           0.210,           0.113,           0.000,           0.439,           3.762,           0.000,         611.651,          58.516,           1.273
         384.312,          64.543,           0.896,           0.218,           0.113,           0.000,           0.483,           3.653,           0.000,         625.615,          81.223,           1.366
         408.128,          66.121,           0.906,           0.219,           0.113,           0.000,           0.511,           3.787,           0.000,         622.891,          85.110,           1.281
         432.765,          75.949,           0.907,           0.219,           0.113,           0.000,           0.546,           3.675,           0.000,         623.650,          93.896,           1.318
         456.765,          75.974,           0.956,           0.223,           0.113,           0.000,           0.576,           3.631,           0.000,         620.232,          97.051,           1.286
         480.765,          75.974,           1.082,           0.234,           0.115,           0.000,           0.605,           3.504,           0.000,         616.771,         100.201,           1.280
         504.083,          77.433,           1.267,           0.253,           0.121,           0.000,           0.632,           4.316,           0.000,         613.750,         103.383,           1.284
